ev_tdlam_before,EpTrueRewMean,entloss,EpThisIter,EpRewMean,TimestepsSoFar,surrgain,EpLenMean,entropy,meankl,TimeElapsed,EpisodesSoFar,optimgain
0.012754857540130615,23.525,0.0,43,49.850376,1014,0.021036237,23.525,0.6844905,0.00885652,12.661469221115112,43,0.021036237
0.008768439292907715,27.575,0.0,35,62.52654,2045,0.026926687,27.575,0.6658087,0.007837109,20.497989892959595,78,0.026926687
0.0013880729675292969,34.35,0.0,24,80.1405,3041,0.019625593,34.35,0.64158463,0.0078142155,28.649730682373047,102,0.019625593
-0.001615762710571289,44.675,0.0,22,105.654686,4071,0.023954693,44.675,0.61796,0.008333029,37.297494411468506,124,0.023954693
0.006491959095001221,57.95,0.0,11,140.2411,5052,0.017259229,57.95,0.6040527,0.007661583,44.74385690689087,135,0.017259229
0.011671900749206543,73.2,0.0,9,178.81021,6036,0.013912477,73.2,0.58293307,0.006723907,52.8956880569458,144,0.013912477
0.006965041160583496,88.8,0.0,6,214.13667,7053,0.007545989,88.8,0.59405154,0.001746601,60.374332666397095,150,0.007545989
0.0003362894058227539,108.075,0.0,5,261.6402,8038,0.0127120465,108.075,0.5701295,0.008615617,68.08918571472168,155,0.0127120465
0.0003085136413574219,126.15,0.0,7,305.34702,9063,0.009421305,126.15,0.5783135,0.008069681,75.7790629863739,162,0.009421305
-2.5987625122070312e-05,141.55,0.0,7,345.4019,10228,0.013633845,141.55,0.5724534,0.009048705,83.8545789718628,169,0.013633845
-0.00028645992279052734,154.625,0.0,5,380.63922,11177,0.016275622,154.625,0.60034895,0.0098886695,91.91967916488647,174,0.016275622
9.655952453613281e-06,162.15,0.0,6,419.84296,12132,0.008366025,162.15,0.57041293,0.0063840104,100.15653944015503,180,0.008366025
0.0007238984107971191,170.55,0.0,6,476.66943,13162,0.015286498,170.55,0.58226156,0.00804092,108.2445011138916,186,0.015286498
-3.9577484130859375e-05,164.025,0.0,7,510.98517,14199,0.020332115,164.025,0.60087943,0.0082492465,116.18404054641724,193,0.020332115
1.1205673217773438e-05,159.95,0.0,8,572.3755,15323,0.012459187,159.95,0.58908856,0.006707948,124.5764889717102,201,0.012459187
-1.823902130126953e-05,148.475,0.0,9,653.6869,16367,0.018088527,148.475,0.5761421,0.009319029,132.97508478164673,210,0.018088527
-2.384185791015625e-07,113.225,0.0,13,742.5908,17261,0.023597386,113.225,0.5687932,0.009188073,140.86247658729553,223,0.023597386
-4.76837158203125e-07,75.275,0.0,19,843.3436,18413,0.01605546,75.275,0.5617263,0.009589061,149.0181920528412,242,0.01605546
