entropy,EpLenMean,EpTrueRewMean,ev_tdlam_before,TimeElapsed,EpRewMean,surrgain,entloss,TimestepsSoFar,meankl,EpisodesSoFar,optimgain,EpThisIter
0.6850531,25.075,25.075,0.002854764461517334,12.748344421386719,53.750267,0.020606346,0.0,1021,0.008311639,41,0.020606346,41
0.66500866,27.375,27.375,0.009865939617156982,20.949108600616455,64.96598,0.029881187,0.0,2028,0.008352587,77,0.029881187,36
0.6369451,33.875,33.875,0.02498769760131836,28.756137132644653,80.83022,0.017636035,0.0,3034,0.0075269123,105,0.017636035,28
0.6153209,47.175,47.175,0.012865185737609863,35.94325566291809,115.13701,0.015506374,0.0,4064,0.007477469,121,0.015506374,16
0.5918639,58.525,58.525,0.01207733154296875,44.18221402168274,148.24673,0.019541655,0.0,5067,0.008317909,136,0.019541655,15
0.5917679,77.15,77.15,0.015754997730255127,52.25463271141052,195.91183,0.01011589,0.0,6120,0.0052365772,145,0.01011589,9
0.60226965,90.55,90.55,0.0026514530181884766,60.04646825790405,236.32712,0.0122432485,0.0,7158,0.0059886975,151,0.0122432485,6
0.5950986,108.5,108.5,0.0005930066108703613,67.84738993644714,298.35175,0.006360026,0.0,8180,0.0072401003,158,0.006360026,7
0.6340209,124.875,124.875,0.0003134608268737793,75.54890251159668,358.54996,0.01211851,0.0,9189,0.008226459,164,0.01211851,6
0.58341014,140.25,140.25,0.007756412029266357,83.883460521698,411.13208,0.01084683,0.0,10155,0.0074398797,171,0.01084683,7
0.6001975,152.3,152.3,0.00046432018280029297,92.00205111503601,470.01505,0.017361747,0.0,11217,0.008883103,177,0.017361747,6
0.62212217,155.775,155.775,0.0007038116455078125,99.67422795295715,508.546,0.0129745975,0.0,12283,0.0101077445,184,0.0129745975,7
0.6305933,145.775,145.775,-5.364418029785156e-06,107.42121505737305,566.44867,0.025649093,0.0,13237,0.009232517,193,0.025649093,9
0.5915523,102.65,102.65,-1.1444091796875e-05,115.71150231361389,635.4359,0.020643773,0.0,14261,0.009325011,211,0.020643773,18
0.58373034,44.575,44.575,-1.3113021850585938e-06,124.63818883895874,750.6087,0.025580544,0.0,15355,0.008198554,237,0.025580544,26
0.57421863,31.0,31.0,3.5762786865234375e-07,133.12682461738586,834.0807,0.01775562,0.0,16332,0.007467854,271,0.01775562,34
0.5551532,30.625,30.625,0.0,141.65532088279724,1114.1453,0.014516056,0.0,17387,0.007402447,306,0.014516056,35
0.5160897,25.825,25.825,-1.1920928955078125e-07,149.62830519676208,1388.8905,0.014347814,0.0,18381,0.007652088,344,0.014347814,38
0.47505644,21.925,21.925,3.5762786865234375e-07,157.88615822792053,1452.1483,0.01598249,0.0,19448,0.0057471916,391,0.01598249,47
0.42442793,23.525,23.525,1.1920928955078125e-07,166.44134902954102,1902.8699,0.013278962,0.0,20467,0.006482713,434,0.013278962,43
0.38809603,21.2,21.2,2.384185791015625e-07,174.6751046180725,2090.48,0.016268639,0.0,21500,0.0059710355,482,0.016268639,48
0.34544203,21.575,21.575,2.384185791015625e-07,182.9243950843811,2564.087,0.01055615,0.0,22499,0.0056113563,527,0.01055615,45
