# {"t_start": 1551115716.6884377, "env_id": "CartPole-v0"} 
r,l,t
21.0,21,9.589083
25.0,25,9.712752
14.0,14,9.785069
35.0,35,9.959643
10.0,10,9.997351
46.0,46,10.199061
27.0,27,10.521501
26.0,26,10.764261
11.0,11,10.834145
16.0,16,10.92005
21.0,21,11.031807
15.0,15,11.198969
13.0,13,11.347188
16.0,16,11.415168
11.0,11,11.458076
47.0,47,11.630286
33.0,33,11.742463
27.0,27,11.833152
23.0,23,11.967398
13.0,13,12.029271
11.0,11,12.164634
21.0,21,12.338169
19.0,19,12.419117
15.0,15,12.493944
17.0,17,12.576947
65.0,65,13.038764
32.0,32,13.23295
34.0,34,13.410745
37.0,37,13.658249
15.0,15,13.751821
12.0,12,13.786195
12.0,12,13.824965
22.0,22,14.014167
11.0,11,14.109728
22.0,22,14.284479
12.0,12,14.378894
16.0,16,14.475201
25.0,25,14.620463
10.0,10,14.736312
17.0,17,14.906421
15.0,15,14.997087
13.0,13,15.04231
31.0,31,15.240473
21.0,21,15.3304
10.0,10,15.38172
22.0,22,15.524379
22.0,22,15.70793
24.0,24,19.99894
15.0,15,20.065513
47.0,47,20.387531
57.0,57,20.691728
14.0,14,20.755753
12.0,12,20.804382
17.0,17,20.901338
21.0,21,20.96468
57.0,57,21.332994
15.0,15,21.461823
17.0,17,21.559719
35.0,35,21.753463
40.0,40,22.095667
19.0,19,22.165085
22.0,22,22.221498
14.0,14,22.255118
11.0,11,22.287831
57.0,57,22.48409
15.0,15,22.524832
26.0,26,22.639335
21.0,21,22.741987
17.0,17,22.832009
24.0,24,23.098603
58.0,58,23.604993
25.0,25,23.848986
22.0,22,23.986138
25.0,25,24.136669
19.0,19,24.242406
11.0,11,24.301142
29.0,29,24.479096
12.0,12,24.534084
28.0,28,24.692773
14.0,14,24.824191
49.0,49,25.240718
20.0,20,25.349524
24.0,24,25.484426
41.0,41,25.81069
18.0,18,25.916943
38.0,38,26.139938
16.0,16,28.767088
111.0,111,29.475045
62.0,62,29.665889
22.0,22,29.719715
20.0,20,29.767764
46.0,46,29.951638
27.0,27,30.192667
18.0,18,30.460544
21.0,21,30.604371
61.0,61,31.127738
37.0,37,31.31484
13.0,13,31.35701
17.0,17,31.415667
35.0,35,31.520648
45.0,45,31.699856
92.0,92,32.245437
42.0,42,32.453913
18.0,18,32.541105
19.0,19,32.657819
58.0,58,33.136811
22.0,22,33.202058
22.0,22,33.300502
18.0,18,33.407566
27.0,27,33.569236
21.0,21,33.720148
81.0,81,34.371862
25.0,25,34.472528
30.0,30,34.757264
28.0,28,37.211334
33.0,33,37.418663
29.0,29,37.737848
52.0,52,38.036667
32.0,32,38.235305
41.0,41,38.461278
54.0,54,38.778662
35.0,35,38.984211
53.0,53,39.365516
34.0,34,39.534587
65.0,65,39.847481
34.0,34,40.167753
61.0,61,40.493845
27.0,27,40.570189
15.0,15,40.611964
91.0,91,40.866976
85.0,85,41.546916
27.0,27,41.639846
25.0,25,41.835739
37.0,37,42.116502
86.0,86,42.550062
57.0,57,43.074444
78.0,78,45.844862
168.0,168,46.767774
53.0,53,47.247245
43.0,43,47.505324
160.0,160,48.497337
48.0,48,48.765142
24.0,24,48.914862
80.0,80,49.392357
130.0,130,49.807066
55.0,55,50.24596
33.0,33,50.466673
32.0,32,50.668418
86.0,86,51.292993
103.0,103,53.783178
156.0,156,54.768377
35.0,35,54.921512
72.0,72,55.210062
19.0,19,55.415606
200.0,200,56.63842
172.0,172,57.737618
148.0,148,58.71034
87.0,87,59.372588
53.0,53,59.539183
140.0,140,62.645931
140.0,140,63.459486
147.0,147,64.1179
168.0,168,65.360248
125.0,125,66.178386
199.0,199,67.355447
200.0,200,70.352936
200.0,200,71.367736
200.0,200,72.501266
173.0,173,73.417698
200.0,200,74.746713
55.0,55,75.052229
176.0,176,78.522321
200.0,200,79.673
171.0,171,80.723672
200.0,200,81.64381
200.0,200,82.701414
200.0,200,83.761539
200.0,200,87.082395
200.0,200,88.23115
200.0,200,89.317132
200.0,200,90.623891
200.0,200,91.849093
200.0,200,94.84238
200.0,200,96.083844
200.0,200,97.240156
200.0,200,98.280491
200.0,200,99.832056
200.0,200,102.862405
200.0,200,103.67978
200.0,200,104.979694
152.0,152,105.601964
200.0,200,107.062391
167.0,167,110.503141
200.0,200,111.732244
200.0,200,112.67494
184.0,184,113.862648
200.0,200,115.234586
200.0,200,116.345516
200.0,200,119.516096
135.0,135,120.520386
41.0,41,120.766765
143.0,143,121.50478
200.0,200,123.043438
196.0,196,123.861658
192.0,192,127.460896
175.0,175,128.423765
200.0,200,129.239893
146.0,146,130.452954
125.0,125,131.45354
96.0,96,131.968847
157.0,157,132.888299
69.0,69,135.585326
200.0,200,136.800772
200.0,200,137.945232
21.0,21,137.9964
92.0,92,138.54541
134.0,134,139.34345
200.0,200,140.51594
200.0,200,143.854895
14.0,14,143.918828
200.0,200,144.855615
15.0,15,144.901779
35.0,35,145.03111
21.0,21,145.091664
200.0,200,146.149597
200.0,200,147.469803
18.0,18,147.565918
146.0,146,148.46139
98.0,98,148.982741
200.0,200,152.463731
200.0,200,153.616998
167.0,167,154.589223
126.0,126,155.515538
188.0,188,156.543157
200.0,200,160.277071
70.0,70,160.713019
64.0,64,160.977524
28.0,28,161.082165
49.0,49,161.423086
71.0,71,161.982235
120.0,120,162.61893
17.0,17,162.701527
27.0,27,162.826943
121.0,121,163.535555
147.0,147,164.357589
37.0,37,164.574949
65.0,65,164.964845
44.0,44,165.161948
139.0,139,166.200957
16.0,16,168.415404
42.0,42,168.579435
29.0,29,168.839805
109.0,109,169.466361
13.0,13,169.565603
51.0,51,169.912283
12.0,12,169.998885
33.0,33,170.22554
30.0,30,170.374086
31.0,31,170.647332
35.0,35,170.936335
24.0,24,171.084103
34.0,34,171.240298
39.0,39,171.398144
11.0,11,171.43776
84.0,84,171.913255
87.0,87,172.269449
32.0,32,172.631685
43.0,43,172.883989
84.0,84,173.332779
58.0,58,173.595978
29.0,29,173.675771
71.0,71,174.027824
60.0,60,176.557195
42.0,42,176.901509
26.0,26,177.071636
32.0,32,177.254101
29.0,29,177.418441
30.0,30,177.540491
47.0,47,177.888911
39.0,39,178.106438
33.0,33,178.252964
65.0,65,178.50861
32.0,32,178.699116
45.0,45,178.868523
35.0,35,179.021566
14.0,14,179.059517
59.0,59,179.248255
29.0,29,179.369156
19.0,19,179.487257
68.0,68,180.061638
46.0,46,180.544164
21.0,21,180.663413
13.0,13,180.724909
29.0,29,180.897317
52.0,52,181.141704
29.0,29,181.351316
14.0,14,181.543541
62.0,62,181.904217
15.0,15,181.981365
31.0,31,182.245911
36.0,36,182.423759
28.0,28,185.07292
32.0,32,185.351852
55.0,55,185.763844
72.0,72,186.215089
34.0,34,186.32462
50.0,50,186.558413
15.0,15,186.63518
16.0,16,186.703411
42.0,42,186.948418
58.0,58,187.306972
15.0,15,187.389943
15.0,15,187.515905
12.0,12,187.691458
15.0,15,187.763207
35.0,35,188.03065
32.0,32,188.213373
30.0,30,188.414343
12.0,12,188.558842
50.0,50,188.968906
14.0,14,189.034129
27.0,27,189.174978
37.0,37,189.528424
11.0,11,189.631227
21.0,21,189.777162
11.0,11,189.845496
10.0,10,189.942033
46.0,46,190.181395
35.0,35,190.623644
27.0,27,190.800387
12.0,12,190.875224
14.0,14,190.916015
30.0,30,191.080535
27.0,27,191.230914
15.0,15,191.322568
19.0,19,191.431002
35.0,35,191.622989
23.0,23,191.706837
43.0,43,194.390911
15.0,15,194.459273
48.0,48,194.670402
9.0,9,194.766242
15.0,15,194.898566
28.0,28,195.033087
11.0,11,195.075135
25.0,25,195.222004
27.0,27,195.379951
26.0,26,195.53738
18.0,18,195.645434
15.0,15,195.776457
35.0,35,196.074688
37.0,37,196.25626
18.0,18,196.348482
13.0,13,196.401632
10.0,10,196.440788
15.0,15,196.561071
14.0,14,196.642955
26.0,26,196.739291
12.0,12,196.780871
15.0,15,196.848416
33.0,33,197.070971
44.0,44,197.30523
19.0,19,197.421824
9.0,9,197.496003
27.0,27,197.828272
73.0,73,198.208955
36.0,36,198.464235
30.0,30,198.681454
27.0,27,198.812901
12.0,12,198.888697
44.0,44,199.110057
31.0,31,199.239873
9.0,9,199.268701
11.0,11,199.318805
27.0,27,199.620668
28.0,28,199.775637
34.0,34,199.908227
39.0,39,200.166219
27.0,27,202.331159
22.0,22,202.421861
31.0,31,202.520614
34.0,34,202.675131
27.0,27,203.090718
18.0,18,203.281988
27.0,27,203.409926
24.0,24,203.54742
26.0,26,203.724627
19.0,19,203.908051
20.0,20,204.041657
10.0,10,204.101996
9.0,9,204.146271
30.0,30,204.301771
10.0,10,204.351327
50.0,50,204.616757
24.0,24,204.850099
10.0,10,205.067436
9.0,9,205.148012
24.0,24,205.324021
28.0,28,205.444184
14.0,14,205.608738
14.0,14,205.714009
14.0,14,205.787773
26.0,26,205.925327
13.0,13,205.981495
12.0,12,206.041818
27.0,27,206.154044
11.0,11,206.186495
16.0,16,206.232232
11.0,11,206.264612
12.0,12,206.297744
10.0,10,206.324968
11.0,11,206.356169
13.0,13,206.392741
14.0,14,206.435302
28.0,28,206.592156
18.0,18,206.804517
14.0,14,206.890209
12.0,12,206.928369
25.0,25,207.007388
27.0,27,207.109055
12.0,12,207.149341
11.0,11,207.184344
9.0,9,207.212781
26.0,26,207.409133
35.0,35,207.614244
11.0,11,207.664849
9.0,9,207.704474
20.0,20,207.795853
28.0,28,207.92858
11.0,11,207.984341
36.0,36,208.189968
25.0,25,210.738103
25.0,25,210.843019
13.0,13,210.914525
10.0,10,210.977029
10.0,10,211.041962
13.0,13,211.138328
18.0,18,211.249482
25.0,25,211.366013
21.0,21,211.444111
13.0,13,211.507074
20.0,20,211.60319
12.0,12,211.67033
13.0,13,211.732471
23.0,23,211.852468
18.0,18,212.15032
33.0,33,212.394908
10.0,10,212.429536
26.0,26,212.554713
26.0,26,212.658728
11.0,11,212.705326
34.0,34,212.962476
43.0,43,213.193461
11.0,11,213.244466
33.0,33,213.345617
10.0,10,213.377501
32.0,32,213.528316
20.0,20,213.659255
16.0,16,213.785582
13.0,13,213.925228
14.0,14,214.08607
