EpRewMean,TimeElapsed,TimestepsSoFar,EpThisIter,entloss,EpTrueRewMean,optimgain,ev_tdlam_before,surrgain,entropy,EpisodesSoFar,meankl,EpLenMean
43.20816,11.974315881729126,1009,47,0.0,20.775,0.018008169,-0.0012389421463012695,0.018008169,0.68416077,47,0.00881123,20.775
53.442345,20.73138999938965,2039,39,0.0,26.3,0.018374247,-0.007571578025817871,0.018374247,0.66192424,86,0.008358566,26.3
69.8324,29.073939085006714,3065,28,0.0,33.225,0.020301003,0.01603025197982788,0.020301003,0.6348408,114,0.007893625,33.225
87.90268,37.695258378982544,4066,22,0.0,40.575,0.022146132,0.007733047008514404,0.022146132,0.614625,136,0.0068983203,40.575
119.19553,45.60004806518555,5056,13,0.0,54.375,0.021012131,0.0014399290084838867,0.021012131,0.5987991,149,0.0061013894,54.375
170.9407,54.18191146850586,6101,10,0.0,71.55,0.0120058935,0.0010432004928588867,0.0120058935,0.5874974,159,0.0059015327,71.55
213.80449,62.197463035583496,7020,6,0.0,87.475,0.011454842,0.0795862078666687,0.011454842,0.563287,165,0.006138862,87.475
261.95993,70.38170266151428,8048,6,0.0,105.35,0.009881385,0.007858514785766602,0.009881385,0.55387074,171,0.008080239,105.35
325.09952,77.82163166999817,9195,6,0.0,126.275,0.014523992,-3.0159950256347656e-05,0.014523992,0.56307423,177,0.008725645,126.275
368.17242,86.25954270362854,10195,5,0.0,139.475,0.008398257,-0.00026023387908935547,0.008398257,0.5947634,182,0.009215446,139.475
428.4146,94.20928001403809,11195,5,0.0,156.425,0.006197109,-2.968311309814453e-05,0.006197109,0.6060103,187,0.0045544542,156.425
473.2495,102.37658357620239,12147,5,0.0,169.925,0.0092662405,8.028745651245117e-05,0.0092662405,0.58732754,192,0.0070405444,169.925
523.1515,110.75629568099976,13298,6,0.0,181.25,0.0063767647,-8.988380432128906e-05,0.0063767647,0.5953758,198,0.007753377,181.25
557.7505,119.03042364120483,14213,6,0.0,184.8,0.013241809,-0.0001596212387084961,0.013241809,0.59303033,204,0.008667705,184.8
588.2725,127.50497508049011,15304,7,0.0,181.4,0.009131766,-0.00013506412506103516,0.009131766,0.5859369,211,0.0057333848,181.4
594.8631,135.43110179901123,16220,7,0.0,170.625,0.015217373,-3.218650817871094e-05,0.015217373,0.608464,218,0.0082693845,170.625
575.5313,143.36327266693115,17367,11,0.0,144.3,0.016809577,-4.1961669921875e-05,0.016809577,0.5803491,229,0.0075882645,144.3
636.02856,152.2110140323639,18248,5,0.0,143.35,0.014356118,2.6226043701171875e-06,0.014356118,0.61414576,234,0.008542046,143.35
691.50757,160.41534280776978,19447,15,0.0,109.9,0.032762676,-1.3828277587890625e-05,0.032762676,0.5686655,249,0.009100288,109.9
805.0206,168.45275926589966,20444,23,0.0,62.75,0.015786266,6.4373016357421875e-06,0.015786266,0.5622159,272,0.009210968,62.75
1007.02234,176.90316820144653,21496,29,0.0,40.6,0.019996718,7.748603820800781e-07,0.019996718,0.5213617,301,0.008788783,40.6
1146.5144,186.04966807365417,22528,37,0.0,27.85,0.016757943,1.3709068298339844e-06,0.016757943,0.4990763,338,0.008079685,27.85
1210.1248,194.31406426429749,23536,40,0.0,25.2,0.0078110145,-2.384185791015625e-07,0.0078110145,0.46519744,378,0.0067407666,25.2
1109.9889,202.6952862739563,24565,53,0.0,18.375,0.013607448,1.7881393432617188e-07,0.013607448,0.4377328,431,0.0072740344,18.375
1450.5186,210.88741731643677,25580,49,0.0,21.375,0.0094960015,2.980232238769531e-07,0.0094960015,0.4088332,480,0.006362444,21.375
1379.7805,218.68486404418945,26616,63,0.0,15.9,0.009163678,5.960464477539063e-08,0.009163678,0.40215507,543,0.0054324004,15.9
1511.2523,226.76074051856995,27625,59,0.0,16.925,0.0058460888,1.1920928955078125e-07,0.0058460888,0.3653232,602,0.006558613,16.925
1559.1364,235.81655597686768,28664,66,0.0,15.525,0.008146666,1.1920928955078125e-07,0.008146666,0.35466146,668,0.0061749085,15.525
1892.0127,243.62051439285278,29696,68,0.0,16.0,0.0069854837,0.0,0.0069854837,0.3439467,736,0.0057708914,16.0
1925.8246,252.03418564796448,30719,59,0.0,17.125,0.0059276163,1.7881393432617188e-07,0.0059276163,0.30405706,795,0.008558224,17.125
1886.2666,260.3047568798065,31717,64,0.0,14.8,0.005640607,-1.1920928955078125e-07,0.005640607,0.28849488,859,0.0050962637,14.8
1717.9346,269.19845485687256,32765,78,0.0,13.025,0.0071653826,0.0,0.0071653826,0.2685415,937,0.0063044094,13.025
1976.5391,277.76039028167725,33784,70,0.0,13.525,0.010440826,0.0,0.010440826,0.276816,1007,0.0076342137,13.525
2037.5172,287.07737040519714,34810,80,0.0,14.4,0.008673288,1.1920928955078125e-07,0.008673288,0.22456682,1087,0.0071381866,14.4
2220.3013,295.29073095321655,35832,78,0.0,13.6,0.009702342,0.0,0.009702342,0.17813832,1165,0.005434161,13.6
2100.196,303.0557804107666,36852,78,0.0,12.525,0.0076487255,0.0,0.0076487255,0.17500721,1243,0.0069898563,12.525
2050.0532,310.77874636650085,37885,82,0.0,12.075,0.014216842,-1.1920928955078125e-07,0.014216842,0.18862024,1325,0.007226641,12.075
2030.0485,318.5438940525055,38907,86,0.0,11.775,0.0076834965,5.960464477539063e-08,0.0076834965,0.16703777,1411,0.0049538445,11.775
2170.0496,326.94832706451416,39923,82,0.0,12.8,0.01397432,5.960464477539063e-08,0.01397432,0.18886656,1493,0.009550873,12.8
2334.097,335.7065830230713,40953,70,0.0,13.975,0.008589275,5.960464477539063e-08,0.008589275,0.1786126,1563,0.007655681,13.975
2212.4402,344.0438437461853,41978,81,0.0,12.65,0.011135049,0.0,0.011135049,0.17540143,1644,0.009382221,12.65
2451.4258,352.1507258415222,43006,67,0.0,14.875,0.006750865,5.960464477539063e-08,0.006750865,0.1665931,1711,0.004961924,14.875
2411.0774,360.01777935028076,44029,73,0.0,13.825,0.011864765,-1.1920928955078125e-07,0.011864765,0.15231603,1784,0.008587855,13.825
2699.7253,368.85148072242737,45033,67,0.0,15.475,0.007394428,0.0,0.007394428,0.1494336,1851,0.009979319,15.475
2900.102,377.1257257461548,46078,60,0.0,17.075,0.0057551265,0.0,0.0057551265,0.11921632,1911,0.0074465685,17.075
2948.0503,384.9562895298004,47099,61,0.0,17.5,0.0053264685,0.0,0.0053264685,0.12406308,1972,0.0067911195,17.5
3087.7668,393.52885460853577,48116,61,0.0,17.525,0.0059954734,0.0,0.0059954734,0.11097914,2033,0.007695686,17.525
2834.265,401.4330759048462,49133,71,0.0,14.8,0.0049826973,5.960464477539063e-08,0.0049826973,0.117001,2104,0.005894215,14.8
3079.9192,408.17916226387024,50175,62,0.0,15.55,0.0040897285,1.1920928955078125e-07,0.0040897285,0.10987528,2166,0.004082444,15.55
