entloss,EpLenMean,surrgain,meankl,EpThisIter,EpTrueRewMean,TimestepsSoFar,EpisodesSoFar,EpRewMean,optimgain,TimeElapsed,ev_tdlam_before,entropy
0.0,24.5,0.01704834,0.007534518,41,24.5,1016,41,43.915405,0.01704834,10.597707748413086,-1.7404556274414062e-05,0.68578196
0.0,27.575,0.016639857,0.0067192526,37,27.575,2041,78,47.927673,0.016639857,17.606268882751465,-0.01399075984954834,0.66738963
0.0,27.875,0.022319585,0.008866123,35,27.875,3037,113,47.43432,0.022319585,25.417612314224243,0.02831321954727173,0.6332427
0.0,38.45,0.02147187,0.009128067,21,38.45,4071,134,64.530685,0.02147187,32.180809020996094,0.04328334331512451,0.6150942
0.0,57.8,0.02056561,0.008472316,11,57.8,5089,145,100.24812,0.02056561,38.529842138290405,0.004513740539550781,0.6045103
0.0,75.25,0.021047281,0.007811439,10,75.25,6141,155,131.1399,0.021047281,45.73730754852295,0.03078627586364746,0.57639587
0.0,88.825,0.01710394,0.009154024,7,88.825,7031,162,153.99084,0.01710394,53.97882676124573,0.025967180728912354,0.57261086
0.0,108.3,0.013972385,0.007156245,6,108.3,8045,168,183.11377,0.013972385,61.278066873550415,0.13380402326583862,0.5776956
0.0,122.825,0.008711591,0.009065738,7,122.825,9088,175,199.37456,0.008711591,68.0360586643219,0.24976211786270142,0.5676758
0.0,135.75,0.012548998,0.00713096,6,135.75,10199,181,216.08777,0.012548998,75.8929512500763,0.040760815143585205,0.5277965
0.0,147.575,0.015207238,0.008984406,5,147.575,11136,186,234.29756,0.015207238,83.26892828941345,0.14438599348068237,0.5168637
0.0,157.55,0.01056414,0.0073776473,5,157.55,12136,191,246.34485,0.01056414,91.14054870605469,0.034942030906677246,0.54541385
0.0,173.65,0.011024877,0.0097751,5,173.65,13136,196,274.92548,0.011024877,99.23735666275024,0.0013626813888549805,0.53359264
0.0,180.4,0.015577123,0.008067708,6,180.4,14247,202,281.6193,0.015577123,105.82105302810669,0.0033245086669921875,0.50772613
0.0,183.15,0.004677847,0.0052726674,5,183.15,15247,207,279.2713,0.004677847,113.31352019309998,0.06428098678588867,0.50029314
0.0,190.25,0.009242494,0.008241037,5,190.25,16192,212,293.32602,0.009242494,120.69432330131531,0.39955228567123413,0.48437792
0.0,193.7,0.011948142,0.009528263,6,193.7,17371,218,321.8776,0.011948142,127.52759528160095,0.0007117390632629395,0.48758942
0.0,195.65,0.0041206996,0.003832184,5,195.65,18362,223,341.44568,0.0041206996,134.78553342819214,0.03656017780303955,0.52912307
0.0,195.65,0.004773719,0.002196889,5,195.65,19362,228,358.04654,0.004773719,141.4818811416626,5.078315734863281e-05,0.53796315
0.0,194.075,0.010508252,0.007944144,5,194.075,20299,233,373.3751,0.010508252,147.96711373329163,0.0001563429832458496,0.559938
0.0,195.575,0.01215384,0.008113504,6,195.575,21499,239,382.35028,0.01215384,154.73178148269653,0.00643002986907959,0.5127869
0.0,194.225,0.006066366,0.0016688881,5,194.225,22416,244,397.5255,0.006066366,161.9872317314148,-0.0003294944763183594,0.51171225
0.0,195.6,0.008024445,0.0050490713,5,195.6,23416,249,416.95767,0.008024445,169.2699728012085,-0.0001571178436279297,0.5003934
0.0,195.1,0.006436879,0.0056679454,5,195.1,24396,254,415.78296,0.006436879,176.6363365650177,-0.001024007797241211,0.46445164
0.0,195.85,0.006448687,0.006445363,6,195.85,25596,260,403.63107,0.006448687,183.2991545200348,-0.0002294778823852539,0.507357
0.0,195.85,0.00498678,0.006654933,5,195.85,26596,265,397.07333,0.00498678,189.92142724990845,-0.00010001659393310547,0.46860552
0.0,197.1,0.0048649306,0.0073434617,5,197.1,27596,270,389.10876,0.0048649306,197.13929057121277,-8.106231689453125e-05,0.4704693
0.0,197.425,0.007550135,0.0076269503,5,197.425,28596,275,381.15817,0.007550135,203.62980794906616,-0.00017833709716796875,0.46306002
0.0,196.525,0.008411346,0.006628099,5,196.525,29560,280,374.8675,0.008411346,210.51236748695374,-0.00013184547424316406,0.46614695
0.0,198.6,0.009160167,0.008523792,5,198.6,30560,285,371.7348,0.009160167,217.66063475608826,-0.00010788440704345703,0.4714316
0.0,198.2,0.005682282,0.006981625,6,198.2,31744,291,362.3958,0.005682282,223.87085556983948,-6.890296936035156e-05,0.44967133
0.0,193.425,0.013784884,0.0072579533,6,193.425,32733,297,347.88763,0.013784884,230.2291488647461,-0.00010037422180175781,0.43199816
0.0,190.175,0.006664579,0.006983331,5,190.175,33603,302,334.75977,0.006664579,237.5878496170044,-0.00010943412780761719,0.42194188
0.0,190.175,0.009929188,0.007966821,6,190.175,34803,308,327.11212,0.009929188,244.8524923324585,-8.678436279296875e-05,0.41449657
0.0,190.175,0.009608245,0.007125979,5,190.175,35803,313,323.1084,0.009608245,252.2493839263916,-0.00011742115020751953,0.3869524
0.0,191.075,0.006023667,0.0081166,5,191.075,36803,318,322.16644,0.006023667,258.8639626502991,-8.797645568847656e-05,0.3755095
0.0,191.075,0.007955713,0.005413372,5,191.075,37803,323,319.77252,0.007955713,265.9291250705719,-0.00011408329010009766,0.4139802
0.0,191.075,0.014608361,0.006780587,5,191.075,38803,328,316.93945,0.014608361,273.7425751686096,-0.00013780593872070312,0.3956023
0.0,191.525,0.016022746,0.004823669,5,191.525,39803,333,315.45355,0.016022746,280.4450888633728,-9.679794311523438e-05,0.40267694
0.0,196.125,0.011927661,0.0068882145,6,196.125,40848,339,321.9641,0.011927661,287.2122724056244,-0.0001455545425415039,0.3997628
0.0,196.125,0.006124308,0.004957677,5,196.125,41848,344,320.81268,0.006124308,293.7793574333191,-8.535385131835938e-05,0.4109144
0.0,194.25,0.013252188,0.006337382,6,194.25,42973,350,319.8238,0.013252188,300.8277289867401,-0.0002155303955078125,0.43913156
0.0,194.25,0.0113853635,0.0058664083,5,194.25,43973,355,320.83624,0.0113853635,308.2451593875885,-0.00013196468353271484,0.42376
0.0,192.925,0.008289761,0.0065741045,5,192.925,44920,360,322.29913,0.008289761,314.68778681755066,-0.00014400482177734375,0.38438195
0.0,191.925,0.012453323,0.008696597,6,191.925,46080,366,321.68472,0.012453323,322.287734746933,-9.1552734375e-05,0.39373088
0.0,191.925,0.013400396,0.009095516,5,191.925,47080,371,324.32642,0.013400396,329.5069992542267,-7.62939453125e-05,0.4019087
0.0,193.25,0.008156884,0.0067652827,5,193.25,48080,376,329.29312,0.008156884,336.72923970222473,-5.841255187988281e-05,0.39612997
0.0,195.8,0.010218069,0.0075840172,5,195.8,49080,381,336.16238,0.010218069,342.98306250572205,-4.458427429199219e-05,0.40082353
0.0,197.1,0.007878865,0.0033166604,5,197.1,50080,386,340.93256,0.007878865,349.8882405757904,-6.639957427978516e-05,0.3919202
