EpLenMean,EpThisIter,EpisodesSoFar,ev_tdlam_before,surrgain,meankl,entloss,EpTrueRewMean,optimgain,EpRewMean,TimeElapsed,entropy,TimestepsSoFar
23.475,43,43,-0.005825400352478027,0.018004261,0.009160724,0.0,23.475,0.018004261,39.847633,11.710856437683105,0.68418324,1021
29.6,33,76,-0.0024187564849853516,0.023421189,0.008126293,0.0,29.6,0.023421189,50.710667,19.092692613601685,0.6642895,2013
40.375,25,101,0.025361835956573486,0.022340888,0.008168018,0.0,40.375,0.022340888,68.90723,25.77232265472412,0.6377011,3060
49.175,18,119,0.049701809883117676,0.023327734,0.008382799,0.0,49.175,0.023327734,82.72684,32.31570053100586,0.61526775,4096
64.4,7,126,0.001704096794128418,0.012197545,0.008740397,0.0,64.4,0.012197545,106.35526,38.81998133659363,0.60588396,4974
84.45,8,134,0.014092087745666504,0.013327198,0.008879684,0.0,84.45,0.013327198,139.32895,45.352030992507935,0.6009532,6120
98.4,8,142,0.025132477283477783,0.013074817,0.0078333095,0.0,98.4,0.013074817,160.45291,51.536295652389526,0.57093096,7107
113.675,6,148,0.008615434169769287,0.008479271,0.0059986953,0.0,113.675,0.008479271,183.9058,57.92546510696411,0.6042477,8130
133.7,5,153,0.0021008849143981934,0.010639006,0.008087186,0.0,133.7,0.010639006,219.53894,64.26530075073242,0.6026311,9130
148.6,7,160,-0.0002435445785522461,0.021685157,0.007981175,0.0,148.6,0.021685157,256.04327,71.35726070404053,0.57972777,10240
156.725,6,166,0.005730569362640381,0.0096840905,0.008153201,0.0,156.725,0.0096840905,271.97815,78.35895204544067,0.5834749,11243
160.675,5,171,0.10176169872283936,0.01095023,0.0060184235,0.0,160.675,0.01095023,282.6394,85.96425199508667,0.61367977,12199
169.075,6,177,0.0934174656867981,0.010283905,0.0055193263,0.0,169.075,0.010283905,299.86823,92.13342380523682,0.58420014,13214
177.35,5,182,0.26164907217025757,0.009344871,0.007987584,0.0,177.35,0.009344871,312.34296,99.27517437934875,0.5683469,14201
179.8,6,188,-2.872943878173828e-05,0.011117766,0.008094233,0.0,179.8,0.011117766,321.6251,106.80776476860046,0.54124624,15322
179.65,5,193,0.6621475517749786,0.015035439,0.008759273,0.0,179.65,0.015035439,311.51144,113.80775880813599,0.5759822,16316
184.05,5,198,0.7391792237758636,0.0079534,0.007835546,0.0,184.05,0.0079534,303.1624,119.57644701004028,0.5690782,17246
186.975,6,204,0.7912410795688629,0.005956698,0.005804701,0.0,186.975,0.005956698,295.01883,127.48345899581909,0.5866411,18366
182.2,6,210,0.6976865530014038,0.0066472925,0.007332197,0.0,182.2,0.0066472925,273.99124,134.50054693222046,0.5712095,19287
180.775,7,217,0.7717676162719727,0.011132295,0.0073829866,0.0,180.775,0.011132295,256.83496,141.54549026489258,0.5475174,20445
172.6,7,224,0.7532148957252502,0.012211546,0.007421706,0.0,172.6,0.012211546,234.87173,148.63949179649353,0.52931297,21426
167.175,6,230,0.828548327088356,0.008866515,0.007878164,0.0,167.175,0.008866515,216.81596,155.80541062355042,0.5870543,22409
164.225,6,236,0.7481638789176941,0.016270341,0.008919742,0.0,164.225,0.016270341,209.57344,163.46249628067017,0.5381085,23441
165.375,5,241,0.8178666830062866,0.012141611,0.008739712,0.0,165.375,0.012141611,208.32254,171.05578184127808,0.56252706,24414
168.475,6,247,0.3988785147666931,0.009115085,0.0072769956,0.0,168.475,0.009115085,213.60005,177.8387975692749,0.5996382,25571
172.775,5,252,0.6458086967468262,0.010150053,0.004555096,0.0,172.775,0.010150053,218.02393,184.30982398986816,0.55751157,26570
177.025,5,257,0.5737016499042511,0.0068389806,0.008402112,0.0,177.025,0.0068389806,226.12996,191.58320498466492,0.5582689,27526
182.8,5,262,0.009935140609741211,0.0068639223,0.0085967425,0.0,182.8,0.0068639223,245.21558,198.71630597114563,0.55848706,28526
189.9,6,268,0.2604461908340454,0.0063135372,0.009085696,0.0,189.9,0.0063135372,268.39728,204.60232210159302,0.533602,29684
194.5,5,273,0.05024456977844238,0.0029683607,0.007213394,0.0,194.5,0.0029683607,292.22003,211.46282291412354,0.5370854,30684
196.075,5,278,-0.00011897087097167969,0.0075610974,0.009905539,0.0,196.075,0.0075610974,317.44882,218.76185584068298,0.5774834,31684
196.75,5,283,-8.594989776611328e-05,0.0073491065,0.008142553,0.0,196.75,0.0073491065,347.9311,226.6248905658722,0.53791535,32684
197.825,5,288,0.04316943883895874,0.010916218,0.009134225,0.0,197.825,0.010916218,377.82782,233.50584530830383,0.55831873,33684
198.95,5,293,-7.867813110351562e-06,0.0057565384,0.008442011,0.0,198.95,0.0057565384,418.8667,241.19275307655334,0.5579545,34684
