optimgain,EpRewMean,entloss,entropy,surrgain,TimeElapsed,EpLenMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before,EpThisIter,meankl,EpTrueRewMean
0.020583889,44.6447,0.0,0.6850455,0.020583889,12.1371431350708,25.075,1021,41,0.003494441509246826,41,0.008319641,25.075
0.02029126,48.501457,0.0,0.665056,0.02029126,19.366114139556885,27.875,2048,77,0.01822638511657715,36,0.007622098,27.875
0.022912921,53.610218,0.0,0.6391995,0.022912921,26.373777866363525,31.475,3054,106,3.7670135498046875e-05,29,0.008288844,31.475
0.025763348,68.82878,0.0,0.60785395,0.025763348,33.0563280582428,40.925,4096,127,0.08201748132705688,21,0.008834431,40.925
0.030947002,94.487724,0.0,0.59875154,0.030947002,38.92231774330139,56.9,5075,139,0.051853299140930176,12,0.0082065305,56.9
0.018295849,128.46857,0.0,0.57356226,0.018295849,46.2276394367218,75.725,6136,148,0.012672185897827148,9,0.0070703467,75.725
0.022878326,162.39139,0.0,0.57881963,0.022878326,52.859331369400024,93.225,7161,155,0.03458130359649658,7,0.008648122,93.225
0.013495652,185.62119,0.0,0.5575321,0.013495652,59.93857717514038,109.25,8139,161,0.1997535228729248,6,0.008094754,109.25
0.017517421,220.53133,0.0,0.5492563,0.017517421,67.07850670814514,126.675,9163,167,0.07110679149627686,6,0.008705192,126.675
0.01568104,240.75468,0.0,0.5798103,0.01568104,73.75457000732422,140.1,10214,173,0.21036094427108765,6,0.00845706,140.1
0.0071683647,273.23697,0.0,0.5705134,0.0071683647,80.35649418830872,153.975,11234,179,0.0022203922271728516,6,0.0054202364,153.975
0.011542706,283.3448,0.0,0.56032985,0.011542706,86.84918546676636,159.025,12170,184,0.0007322430610656738,5,0.008026764,159.025
0.018288739,308.5111,0.0,0.5652158,0.018288739,93.95042395591736,168.25,13213,190,9.268522262573242e-05,6,0.008770788,168.25
0.010033876,321.40314,0.0,0.55028605,0.010033876,100.81738257408142,173.0,14281,196,0.0011720657348632812,6,0.006562286,173.0
0.01308682,332.67105,0.0,0.5295277,0.01308682,108.28080439567566,172.575,15242,202,-5.1856040954589844e-05,6,0.0066776862,172.575
0.019985478,336.2552,0.0,0.5363265,0.019985478,116.37184262275696,173.775,16314,208,-0.00016438961029052734,6,0.0065517165,173.775
