# {"env_id": "CartPole-v0", "t_start": 1551092760.7598417} 
r,l,t
11.0,11,9.674229
41.0,41,9.893471
30.0,30,9.981064
24.0,24,10.116119
17.0,17,10.246533
23.0,23,10.444129
22.0,22,10.612281
15.0,15,10.687562
32.0,32,10.843312
14.0,14,10.912714
17.0,17,10.991363
12.0,12,11.08516
12.0,12,11.202702
15.0,15,11.255265
37.0,37,11.403866
32.0,32,11.542348
15.0,15,11.60926
33.0,33,11.760631
23.0,23,11.863443
15.0,15,11.899662
25.0,25,11.960954
18.0,18,12.09227
18.0,18,12.228115
27.0,27,12.366797
17.0,17,12.453796
18.0,18,12.540945
25.0,25,12.673421
17.0,17,12.784961
18.0,18,12.928416
29.0,29,13.080486
21.0,21,13.174122
19.0,19,13.256571
27.0,27,13.321422
49.0,49,13.507712
46.0,46,13.668131
15.0,15,13.711256
40.0,40,13.925295
21.0,21,14.189531
9.0,9,14.243299
24.0,24,14.370339
49.0,49,14.584376
24.0,24,14.777897
25.0,25,14.882653
22.0,22,17.712602
19.0,19,17.854387
23.0,23,17.927198
43.0,43,18.045789
29.0,29,18.130141
26.0,26,18.297923
13.0,13,18.380056
15.0,15,18.443249
17.0,17,18.496662
30.0,30,18.659396
21.0,21,18.785804
13.0,13,18.823465
21.0,21,18.902221
24.0,24,19.006262
13.0,13,19.042533
16.0,16,19.115807
18.0,18,19.200911
18.0,18,19.335102
24.0,24,19.491203
38.0,38,19.731194
23.0,23,19.860835
16.0,16,19.938832
31.0,31,20.16739
26.0,26,20.297741
57.0,57,20.486302
32.0,32,20.60804
42.0,42,20.82584
67.0,67,21.273395
28.0,28,21.457204
69.0,69,21.674329
30.0,30,21.850588
10.0,10,22.016493
35.0,35,22.192183
14.0,14,22.271692
18.0,18,22.334101
25.0,25,22.445482
15.0,15,22.528769
10.0,10,22.558827
46.0,46,23.399814
15.0,15,23.477185
60.0,60,23.838445
30.0,30,23.991483
62.0,62,24.31148
27.0,27,24.440769
39.0,39,24.568076
11.0,11,24.649211
24.0,24,24.902173
51.0,51,25.178411
15.0,15,25.242515
84.0,84,25.661905
57.0,57,25.826656
70.0,70,26.11339
40.0,40,26.303075
33.0,33,26.552892
24.0,24,26.776996
19.0,19,26.877807
18.0,18,26.929385
65.0,65,27.118931
14.0,14,27.164218
33.0,33,27.400234
39.0,39,27.55272
22.0,22,27.619116
26.0,26,27.720824
25.0,25,27.844518
31.0,31,27.934525
15.0,15,27.986045
40.0,40,28.262064
18.0,18,28.429502
71.0,71,29.335062
91.0,91,29.719144
62.0,62,29.896906
21.0,21,29.95735
91.0,91,30.543645
62.0,62,30.760864
92.0,92,31.244446
37.0,37,31.442384
68.0,68,31.646424
38.0,38,31.782604
27.0,27,31.912271
42.0,42,32.152327
24.0,24,32.24495
19.0,19,32.29883
32.0,32,32.415324
27.0,27,32.526483
116.0,116,33.083147
82.0,82,33.490655
22.0,22,33.641369
56.0,56,34.321933
121.0,121,34.903782
50.0,50,35.156676
82.0,82,35.690595
195.0,195,36.692961
42.0,42,36.883143
87.0,87,37.351046
18.0,18,37.474753
95.0,95,37.979781
13.0,13,38.048979
117.0,117,38.491092
60.0,60,38.645991
164.0,164,39.982112
128.0,128,40.57601
133.0,133,41.334076
60.0,60,41.525133
110.0,110,42.172186
111.0,111,42.858344
123.0,123,43.494384
47.0,47,43.829039
59.0,59,44.101994
117.0,117,44.79898
115.0,115,45.868691
200.0,200,46.911141
166.0,166,47.879181
76.0,76,48.299004
52.0,52,48.508168
135.0,135,49.132761
200.0,200,50.088489
152.0,152,51.404574
200.0,200,52.377034
178.0,178,53.081426
200.0,200,53.973106
200.0,200,54.751609
157.0,157,55.724716
189.0,189,57.416486
200.0,200,58.770738
200.0,200,59.995433
177.0,177,61.552088
200.0,200,63.049921
127.0,127,64.235384
157.0,157,65.196429
47.0,47,65.421533
116.0,116,66.10457
186.0,186,67.316472
87.0,87,67.715755
121.0,121,68.571045
161.0,161,69.514668
200.0,200,71.088704
178.0,178,72.048336
200.0,200,73.152727
200.0,200,74.327366
200.0,200,75.600376
200.0,200,76.71764
200.0,200,78.139432
200.0,200,79.143012
159.0,159,79.953502
200.0,200,81.061722
200.0,200,82.338437
200.0,200,83.806635
200.0,200,84.789553
89.0,89,85.112921
200.0,200,86.075789
195.0,195,87.303474
134.0,134,88.243005
200.0,200,89.276837
200.0,200,90.145081
85.0,85,90.530904
143.0,143,90.984503
200.0,200,92.213386
200.0,200,93.421717
186.0,186,94.705383
196.0,196,95.970499
200.0,200,96.808288
200.0,200,97.839
146.0,146,98.433051
193.0,193,99.978258
200.0,200,101.256943
153.0,153,102.510916
188.0,188,103.752035
200.0,200,104.989704
184.0,184,106.32078
200.0,200,108.114658
174.0,174,109.28457
200.0,200,110.671146
200.0,200,111.840718
182.0,182,112.755244
52.0,52,113.128959
200.0,200,114.548208
200.0,200,115.60873
188.0,188,116.683004
200.0,200,117.829401
198.0,198,119.130859
200.0,200,121.018318
200.0,200,121.784617
200.0,200,123.106796
200.0,200,124.363214
50.0,50,124.732847
200.0,200,125.851784
161.0,161,126.917978
200.0,200,127.900551
200.0,200,128.643007
200.0,200,129.806933
200.0,200,130.97808
200.0,200,132.529864
200.0,200,133.352385
200.0,200,134.547637
184.0,184,135.705959
200.0,200,136.954316
200.0,200,137.823192
200.0,200,139.441164
167.0,167,140.307929
200.0,200,141.235101
200.0,200,142.195604
200.0,200,143.343086
200.0,200,144.802192
175.0,175,145.884689
200.0,200,147.123559
192.0,192,148.584211
161.0,161,149.55743
200.0,200,151.031411
151.0,151,151.801411
200.0,200,152.456053
200.0,200,153.704565
200.0,200,154.810346
200.0,200,155.840387
120.0,120,156.907724
200.0,200,157.607871
131.0,131,158.245835
200.0,200,159.270718
200.0,200,160.221676
182.0,182,161.302143
200.0,200,162.565621
200.0,200,163.633346
200.0,200,164.499866
150.0,150,165.204435
109.0,109,165.817359
200.0,200,167.546356
200.0,200,168.46609
200.0,200,169.268642
200.0,200,170.000008
200.0,200,170.903026
200.0,200,171.882009
200.0,200,173.368783
200.0,200,174.261937
200.0,200,175.203037
200.0,200,176.015318
200.0,200,177.168386
156.0,156,178.298062
168.0,168,179.088516
186.0,186,180.081306
200.0,200,180.875995
200.0,200,182.200977
200.0,200,183.699592
200.0,200,184.462658
200.0,200,185.465841
200.0,200,186.524448
200.0,200,187.507696
184.0,184,188.912957
200.0,200,189.775136
185.0,185,190.445663
124.0,124,190.993285
192.0,192,191.946186
200.0,200,192.737386
139.0,139,193.91288
96.0,96,194.403215
152.0,152,195.082225
127.0,127,195.485861
122.0,122,196.124758
200.0,200,197.198701
129.0,129,197.940743
200.0,200,199.537836
200.0,200,200.610678
145.0,145,201.536425
176.0,176,202.482162
200.0,200,203.607693
200.0,200,204.540236
170.0,170,205.851451
194.0,194,206.89469
200.0,200,207.803875
200.0,200,208.811583
200.0,200,209.851791
200.0,200,211.531439
200.0,200,212.596331
200.0,200,214.113993
200.0,200,215.094385
200.0,200,216.357421
200.0,200,217.945543
200.0,200,219.603866
200.0,200,220.244919
200.0,200,221.209768
200.0,200,222.365209
200.0,200,223.753402
200.0,200,224.827014
200.0,200,225.873493
200.0,200,227.318248
127.0,127,227.877639
200.0,200,229.289211
200.0,200,231.053043
200.0,200,231.946766
200.0,200,232.860154
200.0,200,234.264537
200.0,200,235.336284
200.0,200,236.677726
200.0,200,237.967463
181.0,181,238.902577
200.0,200,239.916512
200.0,200,240.753277
200.0,200,242.199702
200.0,200,243.622301
200.0,200,244.877007
200.0,200,246.197594
200.0,200,247.264147
176.0,176,248.965516
200.0,200,250.591952
200.0,200,252.080359
200.0,200,253.097246
200.0,200,254.464886
200.0,200,255.744926
200.0,200,257.422173
155.0,155,258.171547
200.0,200,259.34665
200.0,200,260.161698
200.0,200,261.298224
200.0,200,262.429789
200.0,200,263.458503
200.0,200,264.598208
200.0,200,265.500093
200.0,200,266.525999
200.0,200,268.095052
200.0,200,269.043915
200.0,200,270.133732
200.0,200,271.17265
196.0,196,272.258236
200.0,200,273.69767
200.0,200,274.806293
176.0,176,276.059943
200.0,200,277.298104
200.0,200,279.084664
133.0,133,280.028281
200.0,200,281.561217
200.0,200,282.652961
200.0,200,283.74267
161.0,161,284.611421
200.0,200,286.046566
200.0,200,287.521232
200.0,200,288.455246
200.0,200,289.442226
134.0,134,290.316524
136.0,136,290.918291
179.0,179,291.698663
173.0,173,293.254733
133.0,133,294.004995
195.0,195,295.267536
147.0,147,295.989036
144.0,144,296.823505
200.0,200,297.752603
200.0,200,299.327661
200.0,200,300.411563
47.0,47,300.621428
200.0,200,301.854538
175.0,175,302.908452
200.0,200,304.007554
