EpLenMean,EpThisIter,surrgain,meankl,TimestepsSoFar,EpTrueRewMean,entloss,optimgain,EpRewMean,EpisodesSoFar,entropy,TimeElapsed,ev_tdlam_before
23.475,43,0.018048868,0.009157291,1021,23.475,0.0,0.018048868,31.906178,43,0.68418634,9.407594680786133,-0.007592558860778809
26.0,38,0.026272465,0.008092561,2012,26.0,0.0,0.026272465,35.850002,81,0.6630932,15.214752435684204,-0.001492142677307129
32.675,30,0.022956897,0.008598981,3065,32.675,0.0,0.022956897,44.193565,111,0.6372751,20.714810848236084,-0.0157620906829834
44.075,19,0.021545539,0.0088765565,4089,44.075,0.0,0.021545539,58.295403,130,0.61504525,26.05043864250183,0.062047481536865234
55.225,12,0.019527689,0.008728879,5025,55.225,0.0,0.019527689,71.110374,142,0.60282767,31.427924394607544,0.009256184101104736
73.525,10,0.01324781,0.00883851,6077,73.525,0.0,0.01324781,92.51226,152,0.5813894,37.53990125656128,0.07802045345306396
85.725,7,0.021360714,0.008916717,7021,85.725,0.0,0.021360714,111.67196,159,0.56697005,43.26332974433899,0.16886454820632935
107.45,6,0.006771111,0.0077962605,8108,107.45,0.0,0.006771111,135.42563,165,0.5782515,48.58005166053772,0.3461645245552063
126.4,6,0.005693978,0.0051092757,9201,126.4,0.0,0.005693978,161.26216,171,0.5764185,56.580317735672,0.3597157597541809
133.4,7,0.009851223,0.0071375896,10076,133.4,0.0,0.009851223,179.99078,178,0.5614816,62.81980347633362,0.21910035610198975
148.425,6,0.009333209,0.008260753,11254,148.425,0.0,0.009333209,206.46538,184,0.548268,69.32291460037231,0.2649521827697754
158.975,5,0.004078,0.0026720045,12213,158.975,0.0,0.004078,222.67422,189,0.58819646,75.14029550552368,-0.0005466938018798828
166.825,6,0.010438013,0.0060835565,13231,166.825,0.0,0.010438013,229.40149,195,0.55288804,80.81939172744751,0.3613579273223877
172.15,6,0.012082087,0.0074967244,14259,172.15,0.0,0.012082087,237.37491,201,0.52411515,86.06637835502625,0.0007107853889465332
172.25,5,0.005196151,0.0071451836,15187,172.25,0.0,0.005196151,253.95572,206,0.5768534,91.59356760978699,-5.9604644775390625e-05
173.675,6,0.014202816,0.006654775,16305,173.675,0.0,0.014202816,261.32874,212,0.57513654,99.40709137916565,-7.069110870361328e-05
180.925,6,0.011170859,0.007497454,17313,180.925,0.0,0.011170859,266.87378,218,0.52121097,105.89006209373474,-4.6253204345703125e-05
181.125,5,0.0073020784,0.003636446,18299,181.125,0.0,0.0073020784,271.72235,223,0.57408476,112.48717141151428,-0.00011897087097167969
178.4,6,0.021253865,0.007758453,19349,178.4,0.0,0.021253865,265.2601,229,0.5440404,118.61716175079346,-0.0002014636993408203
180.325,5,0.0050897063,0.0052654967,20310,180.325,0.0,0.0050897063,275.29083,234,0.5516292,124.24130535125732,-0.0001201629638671875
185.875,6,0.0122039355,0.0069132852,21494,185.875,0.0,0.0122039355,280.43515,240,0.5881462,130.1983015537262,-0.0004050731658935547
185.5,5,0.012339486,0.004629957,22461,185.5,0.0,0.012339486,273.8975,245,0.5635843,136.3393943309784,-0.0001367330551147461
186.7,5,0.014933214,0.007896108,23389,186.7,0.0,0.014933214,266.59515,250,0.54004467,142.60143876075745,-0.0001875162124633789
186.525,6,0.010137424,0.007523451,24540,186.525,0.0,0.010137424,265.94907,256,0.59101677,148.47794389724731,-4.851818084716797e-05
186.8,6,0.011131071,0.008780486,25573,186.8,0.0,0.011131071,262.8584,262,0.55196965,153.80315256118774,0.00011843442916870117
183.325,5,0.008396552,0.0069299196,26432,183.325,0.0,0.008396552,257.8045,267,0.5270204,159.3771619796753,0.4782637357711792
188.05,6,0.008729572,0.007055667,27632,188.05,0.0,0.008729572,260.71478,273,0.5158435,164.22398018836975,-2.3245811462402344e-05
188.45,5,0.011419054,0.007723269,28632,188.45,0.0,0.011419054,260.99585,278,0.53384376,169.71325778961182,-0.0001112222671508789
187.025,5,0.010878632,0.006852094,29542,187.025,0.0,0.010878632,258.10947,283,0.5493479,175.35172605514526,0.5389695465564728
187.65,5,0.007467933,0.008302316,30542,187.65,0.0,0.007467933,257.87912,288,0.53582704,180.76524806022644,0.2922547459602356
187.175,6,0.00726626,0.0067457957,31627,187.175,0.0,0.00726626,255.14828,294,0.53048575,185.61816096305847,0.4460878372192383
180.025,7,0.010098102,0.007918896,32592,180.025,0.0,0.010098102,242.7291,301,0.51408863,191.25718665122986,-0.0011023283004760742
182.025,6,0.01120228,0.0091778375,33713,182.025,0.0,0.01120228,241.87971,307,0.51181626,197.30661797523499,0.236660897731781
181.125,5,0.0072098067,0.0073638665,34677,181.125,0.0,0.0072098067,241.64922,312,0.5090368,203.11101460456848,0.00020492076873779297
181.125,5,0.0066200425,0.003746593,35677,181.125,0.0,0.0066200425,241.65079,317,0.50709873,209.60888266563416,-0.00024628639221191406
183.375,5,0.012423782,0.008633447,36677,183.375,0.0,0.012423782,245.5398,322,0.5114134,215.59326267242432,-0.0001474618911743164
181.55,6,0.0065036668,0.006398175,37804,181.55,0.0,0.0065036668,241.87695,328,0.5129528,222.29411149024963,-1.33514404296875e-05
184.425,5,0.0049739787,0.0056557795,38804,184.425,0.0,0.0049739787,244.99588,333,0.5315398,228.30670404434204,1.0192394256591797e-05
191.1,5,0.010248546,0.008514406,39785,191.1,0.0,0.010248546,254.15657,338,0.51145554,233.8780312538147,0.00019246339797973633
194.825,5,0.008710232,0.008437792,40785,194.825,0.0,0.008710232,257.57172,343,0.51107824,240.83040308952332,-0.0007854700088500977
197.1,6,0.013499467,0.008637264,41961,197.1,0.0,0.013499467,259.59808,349,0.51420176,248.20903205871582,-0.0006868839263916016
195.975,5,0.012547684,0.0067032473,42916,195.975,0.0,0.012547684,257.72003,354,0.5285841,253.8503382205963,0.0018637776374816895
195.975,5,0.015093023,0.009033512,43916,195.975,0.0,0.015093023,255.181,359,0.5250282,259.5488979816437,0.006229579448699951
195.875,5,0.011378871,0.007922292,44912,195.875,0.0,0.011378871,255.5821,364,0.52323693,265.3830375671387,-0.006731510162353516
195.425,6,0.006218523,0.00426724,46021,195.425,0.0,0.006218523,251.97128,370,0.52501756,272.8359456062317,0.25557059049606323
194.45,5,0.00848957,0.008144986,46982,194.45,0.0,0.00848957,252.38834,375,0.569256,279.12810921669006,0.15806061029434204
191.15,6,0.0073336232,0.008403018,48031,191.15,0.0,0.0073336232,248.74503,381,0.5924734,284.5437948703766,0.41146838665008545
186.55,6,0.008687159,0.0082850475,49023,186.55,0.0,0.008687159,246.70634,387,0.59874773,290.77888441085815,-0.0007851123809814453
183.225,6,0.0131959785,0.007205913,50045,183.225,0.0,0.0131959785,245.90742,393,0.54810935,296.99608874320984,0.0010191798210144043
