EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed,optimgain,EpThisIter,TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,meankl
24.5,24.5,41,0.0,0.017180227,9.21064043045044,0.017180227,41,1016,-5.435943603515625e-05,26.215439,0.6857312,0.0075867022
30.625,30.625,72,0.0,0.017698478,14.713978290557861,0.017698478,31,2009,-0.006252288818359375,31.132305,0.6652725,0.008059923
32.85,32.85,103,0.0,0.015393863,21.201855659484863,0.015393863,31,3040,0.014495432376861572,32.829502,0.6392627,0.0065432754
34.625,34.625,130,0.0,0.026086017,27.057540893554688,0.026086017,27,4086,0.03201651573181152,32.71393,0.6060856,0.009031972
53.375,53.375,140,0.0,0.015736895,33.028058767318726,0.015736895,10,5092,0.07786977291107178,50.45481,0.6009119,0.0076336004
69.75,69.75,147,0.0,0.006301406,38.97515058517456,0.006301406,7,6061,0.12694507837295532,64.777054,0.5869849,0.0039202683
91.525,91.525,153,0.0,0.0060026953,44.61269664764404,0.0060026953,6,7112,0.20719802379608154,83.98147,0.5914597,0.0072075557
113.275,113.275,160,0.0,0.012423124,49.936500549316406,0.012423124,7,8184,0.3964879512786865,101.50499,0.5646811,0.007685762
127.65,127.65,165,0.0,0.008356509,55.505528926849365,0.008356509,5,9032,0.14578348398208618,111.85939,0.5587831,0.008659231
146.675,146.675,172,0.0,0.019649036,62.91927242279053,0.019649036,7,10222,0.3236948251724243,127.51123,0.54261845,0.009451263
155.85,155.85,178,0.0,0.015185507,68.5354552268982,0.015185507,6,11245,0.09629678726196289,133.81093,0.52740246,0.009957666
169.0,169.0,183,0.0,0.0062669786,73.92371773719788,0.0062669786,5,12243,0.0024793148040771484,166.71213,0.53759956,0.0056321565
175.275,175.275,188,0.0,0.00864318,79.60693693161011,0.00864318,5,13243,0.005482494831085205,185.55627,0.5958148,0.0067159166
177.475,177.475,193,0.0,0.009300521,85.0709400177002,0.009300521,5,14211,0.6069742143154144,192.03938,0.5705775,0.009544989
