TimestepsSoFar,TimeElapsed,entropy,EpLenMean,EpisodesSoFar,ev_tdlam_before,EpThisIter,meankl,surrgain,EpRewMean,entloss,optimgain,EpTrueRewMean
1021,8.667501449584961,0.68419254,23.475,43,-0.010796546936035156,43,0.009150516,0.018124241,23.964718,0.0,0.018124241,23.475
2014,14.654840469360352,0.66302764,26.05,81,0.0027467012405395508,38,0.008420247,0.02774183,26.999756,0.0,0.02774183,26.05
3036,19.732830286026,0.63936377,35.475,108,0.046710312366485596,27,0.008011226,0.01829882,35.651264,0.0,0.01829882,35.475
4095,25.708927631378174,0.6134987,46.725,128,0.09054559469223022,20,0.008034565,0.023300774,45.851555,0.0,0.023300774,46.725
5022,30.70978307723999,0.6138456,58.65,137,-0.0700681209564209,9,0.008084307,0.01447564,56.48011,0.0,0.01447564,58.65
6136,35.27154803276062,0.6160736,80.65,145,0.026977360248565674,8,0.005636637,0.0057513257,79.76131,0.0,0.0057513257,80.65
7114,41.343461751937866,0.578809,97.275,152,0.19049692153930664,7,0.007826823,0.016426282,94.69315,0.0,0.016426282,97.275
8008,47.22987198829651,0.57957375,111.2,158,0.1604129672050476,6,0.008152264,0.016888127,108.28391,0.0,0.016888127,111.2
9065,52.97938132286072,0.59655315,129.975,164,0.44424182176589966,6,0.008040443,0.008042749,121.96018,0.0,0.008042749,129.975
10062,58.32552742958069,0.6016072,145.575,169,0.5655243098735809,5,0.009245025,0.012709258,135.18735,0.0,0.012709258,145.575
11259,64.02531051635742,0.56545496,157.275,176,0.5114394128322601,7,0.0070245676,0.013356676,145.01714,0.0,0.013356676,157.275
12175,69.92379832267761,0.5992621,163.875,181,0.3938167691230774,5,0.0067387694,0.0064912084,152.15886,0.0,0.0064912084,163.875
13146,75.79553270339966,0.574021,170.25,186,0.3945596218109131,5,0.0064467574,0.009333943,162.7327,0.0,0.009333943,170.25
14210,81.88894510269165,0.54077876,177.4,192,0.1187698245048523,6,0.004864636,0.009909388,179.66205,0.0,0.009909388,177.4
15341,87.43457198143005,0.57807374,183.325,198,0.4810780882835388,6,0.00615116,0.0068175616,196.77493,0.0,0.0068175616,183.325
16245,93.79787182807922,0.5774464,184.3,203,-0.00025475025177001953,5,0.007006866,0.0057791444,209.00711,0.0,0.0057791444,184.3
17357,100.0855700969696,0.6138809,182.375,209,-0.001216292381286621,6,0.0040838346,0.0078492,218.4231,0.0,0.0078492,182.375
18278,105.97536706924438,0.562029,184.6,214,-0.00010073184967041016,5,0.006453516,0.013700143,228.86592,0.0,0.013700143,184.6
19364,111.05303621292114,0.57546234,184.5,220,-0.0008667707443237305,6,0.007976314,0.012292662,233.58012,0.0,0.012292662,184.5
20375,117.35727310180664,0.5408428,180.725,226,-0.0005394220352172852,6,0.0042832177,0.008138277,222.19304,0.0,0.008138277,180.725
21442,123.33580160140991,0.5568278,180.8,232,-0.00029158592224121094,6,0.0077325893,0.017357416,214.35327,0.0,0.017357416,180.8
22392,128.71903133392334,0.59192395,180.775,237,-0.0006015300750732422,5,0.006285848,0.0066567603,205.1517,0.0,0.0066567603,180.775
23467,133.7636754512787,0.5986132,180.55,243,-0.0007462501525878906,6,0.0055418797,0.009097123,192.29794,0.0,0.009097123,180.55
24387,139.31006908416748,0.5773705,178.7,248,-0.0005962848663330078,5,0.005984161,0.013193991,182.77867,0.0,0.013193991,178.7
25559,144.41202092170715,0.56525,182.025,254,-0.00258028507232666,6,0.006627914,0.00920595,178.8763,0.0,0.00920595,182.025
26546,149.96813893318176,0.56481075,184.5,259,-0.0009843111038208008,5,0.008908976,0.011850521,179.71451,0.0,0.011850521,184.5
27526,155.3034279346466,0.55179286,188.425,264,-0.0010589361190795898,5,0.0066705397,0.013386352,183.32846,0.0,0.013386352,188.425
28524,160.9688422679901,0.5727872,189.95,269,-0.0007350444793701172,5,0.007030161,0.013005141,184.00389,0.0,0.013005141,189.95
29524,166.5102620124817,0.5955761,192.75,274,0.2832460403442383,5,0.0072999513,0.0063697007,189.68936,0.0,0.0063697007,192.75
30649,172.7861201763153,0.5960009,192.25,280,0.4960770010948181,6,0.0047215256,0.007817117,194.46606,0.0,0.007817117,192.25
31653,178.1423852443695,0.58131224,189.65,286,0.4245966076850891,6,0.006971261,0.010434452,196.53496,0.0,0.010434452,189.65
32592,183.26523733139038,0.5986195,190.15,291,0.43573617935180664,5,0.006558993,0.007697725,197.4893,0.0,0.007697725,190.15
33722,187.98324966430664,0.613143,189.4,297,0.8183529525995255,6,0.008414134,0.0052674124,196.1376,0.0,0.0052674124,189.4
34645,193.35711097717285,0.5598939,187.975,302,0.7065480947494507,5,0.006747312,0.00976612,190.4985,0.0,0.00976612,187.975
35645,199.01878452301025,0.5744177,188.025,307,0.6438320279121399,5,0.0074953744,0.005017239,185.24313,0.0,0.005017239,188.025
36753,204.57991194725037,0.52843,185.725,313,0.2813834547996521,6,0.0065368926,0.01215467,176.99747,0.0,0.01215467,185.725
37753,209.87568521499634,0.5510913,186.0,318,0.7827290892601013,5,0.008828833,0.012491085,169.30508,0.0,0.012491085,186.0
38753,215.5957157611847,0.51386607,188.175,323,0.5111457705497742,5,0.010031294,0.009587675,164.48967,0.0,0.009587675,188.175
39753,220.33307003974915,0.5641899,194.025,328,0.4582138657569885,5,0.0082171485,0.008000211,165.51396,0.0,0.008000211,194.025
40953,226.40916395187378,0.55700827,194.225,334,0.43538326025009155,6,0.0068245768,0.0047478285,159.59848,0.0,0.0047478285,194.225
41953,232.20923590660095,0.5730698,195.775,339,0.03584778308868408,5,0.009141085,0.0136697,162.60567,0.0,0.0136697,195.775
42953,238.02698159217834,0.56103283,197.7,344,0.13205236196517944,5,0.00818374,0.0063789953,165.89543,0.0,0.0063789953,197.7
43953,243.34366822242737,0.5776033,197.7,349,-0.002900242805480957,5,0.0065089054,0.00832296,175.82962,0.0,0.00832296,197.7
44953,248.3728210926056,0.563373,200.0,354,0.0018023252487182617,5,0.0067451857,0.008807898,196.87778,0.0,0.008807898,200.0
45946,254.30679178237915,0.6054803,199.825,359,0.0008347034454345703,5,0.00457536,0.005847965,218.89926,0.0,0.005847965,199.825
46930,259.33250069618225,0.54497015,194.425,365,0.0010594725608825684,6,0.0072075445,0.022469,229.57182,0.0,0.022469,194.425
48123,265.0343611240387,0.58049554,194.25,371,-0.0005733966827392578,6,0.0061705154,0.0052762986,247.74142,0.0,0.0052762986,194.25
49085,270.93582820892334,0.5874825,193.3,376,-0.0002518892288208008,5,0.0076019075,0.012548471,260.3904,0.0,0.012548471,193.3
50028,276.10596799850464,0.57601786,191.875,381,-0.0003165006637573242,5,0.0029574228,0.0062986026,267.41782,0.0,0.0062986026,191.875
