EpThisIter,entloss,TimestepsSoFar,EpRewMean,EpTrueRewMean,ev_tdlam_before,optimgain,surrgain,meankl,entropy,EpisodesSoFar,TimeElapsed,EpLenMean
46,0.0,1018,23.102024,21.95,-0.005276918411254883,0.020376414,0.020376414,0.008351134,0.68491954,46,8.632438659667969,21.95
33,0.0,2035,28.419659,28.85,0.06413322687149048,0.021149002,0.021149002,0.008325625,0.66674733,79,13.765139102935791,28.85
28,0.0,3057,35.294407,36.325,0.06964355707168579,0.019870315,0.019870315,0.008747915,0.6401743,107,19.385275840759277,36.325
17,0.0,4086,44.54354,45.65,0.19370132684707642,0.016826537,0.016826537,0.0066093584,0.62191564,124,25.21968102455139,45.65
13,0.0,5117,56.717274,60.325,0.2603771686553955,0.019103322,0.019103322,0.0077294596,0.58738077,137,30.91510319709778,60.325
8,0.0,6034,73.71281,76.875,0.07650381326675415,0.021611705,0.021611705,0.008391339,0.5722409,145,36.543301820755005,76.875
6,0.0,7045,86.35061,93.525,0.5218712389469147,0.013773639,0.013773639,0.00873056,0.59793764,151,42.19691753387451,93.525
6,0.0,8073,108.73556,110.05,0.00835961103439331,0.016339328,0.016339328,0.007781896,0.57490456,157,47.21440052986145,110.05
6,0.0,9195,133.27347,128.425,0.006422221660614014,0.012775061,0.012775061,0.009337592,0.5880016,163,52.806076526641846,128.425
5,0.0,10159,162.34769,143.775,0.0008264780044555664,0.012912709,0.012912709,0.007926103,0.5700235,168,58.59044599533081,143.775
6,0.0,11169,181.50233,156.75,0.00016325712203979492,0.010902859,0.010902859,0.004974995,0.57684994,174,63.32301592826843,156.75
6,0.0,12209,205.48428,170.525,-0.00017309188842773438,0.014410757,0.014410757,0.004099264,0.56809413,180,69.20299434661865,170.525
5,0.0,13209,214.97908,179.375,-0.001042008399963379,0.009357508,0.009357508,0.006433624,0.5784577,185,74.45648837089539,179.375
6,0.0,14323,221.63911,181.95,-0.0002562999725341797,0.011829882,0.011829882,0.005768955,0.5560292,191,80.20640897750854,181.95
5,0.0,15320,223.5922,186.175,-0.0004898309707641602,0.015280481,0.015280481,0.0072057145,0.5536773,196,85.14260458946228,186.175
5,0.0,16320,224.4354,188.125,-0.00034737586975097656,0.014674262,0.014674262,0.0102012465,0.54692185,201,90.43473553657532,188.125
6,0.0,17342,208.13884,184.575,-0.0001735687255859375,0.016689457,0.016689457,0.009162777,0.5173651,207,96.08357048034668,184.575
5,0.0,18342,206.68892,187.925,-0.00047147274017333984,0.022660458,0.022660458,0.009046599,0.54356605,212,101.00901913642883,187.925
6,0.0,19447,203.30363,190.375,-0.0002771615982055664,0.008073387,0.008073387,0.008268358,0.5749229,218,106.69051575660706,190.375
5,0.0,20447,198.96432,190.95,-0.0003478527069091797,0.007153077,0.007153077,0.0083856685,0.5637107,223,112.4532527923584,190.95
6,0.0,21370,195.0601,186.175,-2.110004425048828e-05,0.007762748,0.007762748,0.008212913,0.53900313,229,117.53019905090332,186.175
7,0.0,22425,184.14888,177.625,-0.00023186206817626953,0.007468495,0.007468495,0.008916488,0.54017127,236,122.67328810691833,177.625
5,0.0,23414,183.37561,177.35,-0.00015223026275634766,0.0074214116,0.0074214116,0.00725071,0.5158077,241,127.91268301010132,177.35
5,0.0,24414,188.21078,181.8,-0.0002422332763671875,0.011920206,0.011920206,0.0070793265,0.4981917,246,133.26486325263977,181.8
5,0.0,25414,189.14235,181.8,-0.0002579689025878906,0.010066853,0.010066853,0.009840652,0.5547718,251,138.88253092765808,181.8
6,0.0,26614,192.5829,184.175,-0.00018465518951416016,0.013845488,0.013845488,0.008946877,0.52885747,257,145.24634218215942,184.175
5,0.0,27614,193.02724,184.175,-0.00014638900756835938,0.008870129,0.008870129,0.009313951,0.530707,262,150.67987489700317,184.175
5,0.0,28614,199.80476,190.075,-0.00012350082397460938,0.007867618,0.007867618,0.009455198,0.48475742,267,155.41630339622498,190.075
5,0.0,29590,200.54707,190.5,-4.696846008300781e-05,0.010355204,0.010355204,0.0073103597,0.48493177,272,161.5767161846161,190.5
5,0.0,30590,210.4631,199.125,-9.1552734375e-05,0.0026630322,0.0026630322,0.006501685,0.5189955,277,167.4672327041626,199.125
5,0.0,31590,210.85208,199.4,9.459257125854492e-05,0.0063058445,0.0063058445,0.008398246,0.52508414,282,173.0164339542389,199.4
5,0.0,32590,210.63875,199.4,0.0001417994499206543,0.009168308,0.009168308,0.009236451,0.5112141,287,178.71450924873352,199.4
6,0.0,33750,209.23518,198.4,0.0022205710411071777,0.011127569,0.011127569,0.0064565316,0.47946596,293,184.26164984703064,198.4
5,0.0,34750,208.51021,198.4,0.07980477809906006,0.006664208,0.006664208,0.0067619234,0.45419002,298,189.4260334968567,198.4
6,0.0,35826,204.39388,195.3,0.5839970111846924,0.010445413,0.010445413,0.009409655,0.45623875,304,194.53476905822754,195.3
5,0.0,36793,202.2083,194.475,0.8020536750555038,0.016918961,0.016918961,0.00924484,0.44366515,309,200.05397868156433,194.475
5,0.0,37793,201.98776,195.075,0.687972903251648,0.015672505,0.015672505,0.010479736,0.4829265,314,205.55220198631287,195.075
5,0.0,38793,201.13383,195.075,0.8004228621721268,0.00876352,0.00876352,0.0066571003,0.44029933,319,211.9152488708496,195.075
5,0.0,39793,200.65596,195.075,0.8605204522609711,0.008146915,0.008146915,0.0071615283,0.47005215,324,217.49295783042908,195.075
5,0.0,40793,201.19724,195.075,0.8388786315917969,0.0068019917,0.0068019917,0.0067955153,0.43901312,329,223.3367314338684,195.075
5,0.0,41793,202.8479,196.075,0.8859589919447899,0.011316249,0.011316249,0.008506722,0.42408794,334,228.7011592388153,196.075
6,0.0,42993,204.16853,196.075,0.8892375901341438,0.006121216,0.006121216,0.007441956,0.41686702,340,233.6053924560547,196.075
5,0.0,43993,208.92624,199.375,0.8972242847084999,0.0065024337,0.0065024337,0.0069911936,0.39608896,345,239.88977193832397,199.375
5,0.0,44993,211.08589,200.0,0.9086320027709007,0.009454114,0.009454114,0.007220762,0.43819147,350,245.36284232139587,200.0
5,0.0,45993,211.89384,200.0,0.9463849067687988,0.009845268,0.009845268,0.010176854,0.449979,355,250.8722801208496,200.0
