TimestepsSoFar,optimgain,surrgain,meankl,ev_tdlam_before,TimeElapsed,entropy,EpLenMean,EpTrueRewMean,EpThisIter,EpisodesSoFar,entloss,EpRewMean
1003,0.016045952,0.016045952,0.0073696277,-0.00048422813415527344,5.359005928039551,0.6859393,24.125,24.125,42,42,0.0,18.14176
2005,0.020304188,0.020304188,0.008482922,0.05578106641769409,8.629072189331055,0.6673213,28.025,28.025,37,79,0.0,17.932957
3072,0.021504253,0.021504253,0.008252843,-0.053113460540771484,12.467475175857544,0.6459152,34.875,34.875,28,107,0.0,22.419292
4016,0.024112426,0.024112426,0.007571716,0.09284549951553345,16.69571852684021,0.6162302,34.925,34.925,26,133,0.0,20.816912
5113,0.016087187,0.016087187,0.008532599,0.6721974313259125,20.921711683273315,0.59848404,52.525,52.525,13,146,0.0,25.49468
6115,0.012503179,0.012503179,0.0073053045,0.5914720594882965,24.151516675949097,0.5808289,69.475,69.475,8,154,0.0,32.125465
7120,0.013574842,0.013574842,0.007848903,0.45208287239074707,28.755072355270386,0.58258235,89.825,89.825,6,160,0.0,45.245937
8091,0.012482762,0.012482762,0.005551751,0.4438718557357788,32.9972927570343,0.5628445,108.3,108.3,6,166,0.0,60.15864
9027,0.016123049,0.016123049,0.009190438,0.4415202736854553,37.01675605773926,0.56069475,127.25,127.25,5,171,0.0,76.033775
10227,0.009506831,0.009506831,0.0075316858,0.10212433338165283,41.54556155204773,0.5587051,145.65,145.65,6,177,0.0,99.26012
11227,0.0063085933,0.0063085933,0.008745014,0.0011865496635437012,46.17234420776367,0.5770314,162.525,162.525,5,182,0.0,122.970604
12227,0.0046875984,0.0046875984,0.0046687685,-0.00033664703369140625,50.53424310684204,0.5552783,172.85,172.85,5,187,0.0,139.28497
13200,0.008490559,0.008490559,0.0037436583,-0.00021088123321533203,55.847580432891846,0.56438434,183.3,183.3,5,192,0.0,152.3875
14200,0.0055053714,0.0055053714,0.005716535,-0.00017261505126953125,60.499855041503906,0.58646375,190.4,190.4,5,197,0.0,166.29147
15198,0.006579033,0.006579033,0.0067620426,0.0004101991653442383,66.65297532081604,0.5973091,193.65,193.65,5,202,0.0,166.34737
16258,0.014933649,0.014933649,0.008085634,0.0009441971778869629,71.07900047302246,0.5506727,189.525,189.525,7,209,0.0,165.6549
17385,0.007000425,0.007000425,0.007369533,-0.0022829771041870117,75.82316565513611,0.5959852,188.95,188.95,6,215,0.0,156.96652
18352,0.011014331,0.011014331,0.0069188424,-0.001161813735961914,80.2584376335144,0.57022077,188.125,188.125,5,220,0.0,147.60197
19334,0.010091385,0.010091385,0.005718968,-0.00038444995880126953,85.06452655792236,0.5952724,187.675,187.675,5,225,0.0,141.09378
20322,0.013360839,0.013360839,0.008610232,-0.0005648136138916016,88.69993805885315,0.5954081,188.05,188.05,5,230,0.0,139.26395
21434,0.012521365,0.012521365,0.005665081,-0.0014661550521850586,92.85161900520325,0.5612588,185.85,185.85,6,236,0.0,131.60701
22434,0.0033174707,0.0033174707,0.0033757389,-0.0011715888977050781,97.11113691329956,0.5930682,185.9,185.9,5,241,0.0,128.66309
23547,0.0072970144,0.0072970144,0.0025911718,-0.0004442930221557617,101.15607023239136,0.5804765,191.35,191.35,6,247,0.0,130.43124
24463,0.007674966,0.007674966,0.009420209,-0.001265883445739746,104.74500870704651,0.5449617,191.95,191.95,5,252,0.0,128.80426
25558,0.014377911,0.014377911,0.0074142604,-0.0005822181701660156,108.46996521949768,0.5476663,190.15,190.15,6,258,0.0,127.48879
26558,0.0076565705,0.0076565705,0.0065778634,-0.0005744695663452148,112.08949637413025,0.5708515,190.325,190.325,5,263,0.0,127.08533
27558,0.010048961,0.010048961,0.008509396,0.0519900918006897,115.6001341342926,0.5651528,190.9,190.9,5,268,0.0,125.70132
28514,0.018364169,0.018364169,0.0065540597,0.611723780632019,119.76524090766907,0.58992285,192.0,192.0,5,273,0.0,127.256546
29646,0.008498726,0.008498726,0.008531983,0.7627258151769638,124.17421102523804,0.5859026,190.3,190.3,6,279,0.0,126.58329
30646,0.013497714,0.013497714,0.0070586693,0.6016562879085541,127.35506534576416,0.5822663,191.5,191.5,5,284,0.0,126.32826
31631,0.020794991,0.020794991,0.0072158496,0.40733450651168823,131.05746984481812,0.5644996,194.2,194.2,5,289,0.0,127.34385
32615,0.0093383,0.0093383,0.003616817,0.027197182178497314,134.955180644989,0.56219697,194.75,194.75,5,294,0.0,128.88028
33615,0.007470503,0.007470503,0.005084388,-0.015462398529052734,138.5506501197815,0.6069922,196.425,196.425,5,299,0.0,133.56577
34711,0.011653583,0.011653583,0.005768519,-0.001157999038696289,141.83832812309265,0.549684,193.825,193.825,6,305,0.0,131.81866
35711,0.0060556782,0.0060556782,0.0016675994,-0.0029937028884887695,145.31944131851196,0.5964707,193.825,193.825,5,310,0.0,131.99966
36826,0.022210997,0.022210997,0.007928197,-0.0005939006805419922,149.52620697021484,0.5526159,193.05,193.05,6,316,0.0,133.24947
37814,0.005787777,0.005787777,0.0031830939,-0.0005475282669067383,152.87209224700928,0.59576654,194.2,194.2,5,321,0.0,137.05232
38814,0.018238552,0.018238552,0.0055869697,-0.0018903017044067383,157.0471110343933,0.5520066,194.2,194.2,5,326,0.0,137.45467
39814,0.011494143,0.011494143,0.007580208,-0.001970648765563965,160.0578112602234,0.6085839,194.975,194.975,5,331,0.0,135.42418
