# {"t_start": 1551114205.2689137, "env_id": "CartPole-v0"} 
r,l,t
18.0,18,6.293355
13.0,13,6.328205
24.0,24,6.472235
13.0,13,6.537854
20.0,20,6.580102
20.0,20,6.61465
20.0,20,6.682585
52.0,52,6.852695
16.0,16,6.901123
33.0,33,6.964761
15.0,15,6.989654
13.0,13,7.014864
22.0,22,7.060204
28.0,28,7.109246
15.0,15,7.132564
12.0,12,7.164242
48.0,48,7.390121
22.0,22,7.505005
25.0,25,7.666022
13.0,13,7.745011
11.0,11,7.790001
20.0,20,7.859062
10.0,10,7.89254
14.0,14,7.937151
13.0,13,7.978102
14.0,14,8.024152
12.0,12,8.059058
10.0,10,8.074859
38.0,38,8.156703
16.0,16,8.204617
20.0,20,8.263162
12.0,12,8.332421
45.0,45,8.460513
28.0,28,8.523355
26.0,26,8.584156
11.0,11,8.611564
16.0,16,8.659113
10.0,10,8.685503
19.0,19,8.731437
12.0,12,8.760617
16.0,16,8.798903
16.0,16,8.836288
26.0,26,8.938334
48.0,48,9.103044
29.0,29,9.253727
16.0,16,9.335572
10.0,10,9.398346
50.0,50,9.599391
28.0,28,11.496853
58.0,58,11.588177
20.0,20,11.63482
16.0,16,11.656782
22.0,22,11.688346
15.0,15,11.814899
20.0,20,11.916735
37.0,37,12.029225
43.0,43,12.192103
61.0,61,12.350234
8.0,8,12.365524
59.0,59,12.527494
29.0,29,12.622155
17.0,17,12.683194
14.0,14,12.763007
23.0,23,12.952036
26.0,26,13.12584
10.0,10,13.163799
18.0,18,13.219593
24.0,24,13.294226
17.0,17,13.359215
113.0,113,13.587903
27.0,27,13.65932
22.0,22,13.733631
13.0,13,13.771031
17.0,17,13.815749
13.0,13,13.849697
26.0,26,13.945672
22.0,22,13.995084
24.0,24,14.041715
23.0,23,14.114426
14.0,14,14.162502
76.0,76,14.445426
12.0,12,14.487012
14.0,14,14.565479
16.0,16,14.74499
25.0,25,14.943716
14.0,14,14.982444
26.0,26,15.331768
20.0,20,15.393564
49.0,49,15.628089
17.0,17,15.677321
97.0,97,15.936298
29.0,29,16.008969
32.0,32,16.071308
33.0,33,16.119965
32.0,32,16.169981
22.0,22,16.206459
14.0,14,16.229889
27.0,27,16.271787
32.0,32,16.380247
38.0,38,16.556979
24.0,24,16.617821
24.0,24,16.670779
29.0,29,16.785003
11.0,11,16.865692
32.0,32,16.982684
16.0,16,17.02759
13.0,13,17.076562
24.0,24,17.171407
35.0,35,17.359074
37.0,37,17.475312
19.0,19,17.533013
123.0,123,17.80399
43.0,43,17.948287
27.0,27,18.039551
49.0,49,18.183618
18.0,18,18.261782
56.0,56,18.776406
37.0,37,18.896602
67.0,67,19.2095
81.0,81,19.504299
36.0,36,19.601195
36.0,36,19.681167
42.0,42,19.749083
44.0,44,19.914028
40.0,40,20.13468
57.0,57,20.325941
84.0,84,20.450167
18.0,18,20.475846
31.0,31,20.518832
63.0,63,20.619234
29.0,29,20.672052
37.0,37,20.785605
43.0,43,20.928636
52.0,52,21.001029
45.0,45,21.066014
16.0,16,21.094173
22.0,22,21.143769
25.0,25,21.190745
16.0,16,21.225515
57.0,57,21.411528
70.0,70,22.186087
53.0,53,22.436241
125.0,125,23.084708
28.0,28,23.251556
46.0,46,23.472536
120.0,120,24.026101
21.0,21,24.079991
47.0,47,24.227747
148.0,148,24.618561
190.0,190,25.108019
67.0,67,25.207319
58.0,58,25.353163
107.0,107,26.040266
69.0,69,26.250654
188.0,188,26.795249
200.0,200,27.78436
150.0,150,28.379656
64.0,64,28.554576
171.0,171,29.361327
56.0,56,29.58575
24.0,24,29.657711
200.0,200,31.043278
41.0,41,31.330909
112.0,112,31.835497
54.0,54,32.011824
79.0,79,32.214028
63.0,63,32.387161
200.0,200,33.206695
115.0,115,33.825463
78.0,78,34.067838
25.0,25,34.135989
57.0,57,34.313463
194.0,194,35.764175
200.0,200,36.528506
137.0,137,36.897433
60.0,60,37.22471
200.0,200,38.149707
163.0,163,38.795732
149.0,149,39.804735
200.0,200,40.658526
174.0,174,41.131378
120.0,120,41.402873
134.0,134,41.807371
200.0,200,42.637962
188.0,188,43.846219
200.0,200,44.56875
162.0,162,45.151438
168.0,168,45.845317
165.0,165,46.50409
174.0,174,47.15324
143.0,143,47.699077
103.0,103,48.341286
158.0,158,48.596395
64.0,64,48.846721
118.0,118,49.480533
144.0,144,50.05897
164.0,164,50.671242
200.0,200,51.607041
187.0,187,52.737235
181.0,181,53.475605
193.0,193,54.416621
200.0,200,55.051179
142.0,142,55.693846
155.0,155,56.105411
151.0,151,57.161591
190.0,190,58.079189
151.0,151,58.913667
200.0,200,59.609263
176.0,176,60.442463
173.0,173,61.032978
200.0,200,62.547035
199.0,199,63.329432
200.0,200,64.334937
137.0,137,65.119419
187.0,187,65.984144
200.0,200,67.465844
200.0,200,68.595103
189.0,189,69.595693
200.0,200,70.214838
110.0,110,70.81318
200.0,200,72.175934
76.0,76,72.901057
161.0,161,73.367004
200.0,200,73.743869
200.0,200,74.451954
200.0,200,75.243175
200.0,200,76.096085
123.0,123,77.225662
200.0,200,78.021115
200.0,200,78.6009
