EpRewMean,EpLenMean,TimestepsSoFar,surrgain,EpisodesSoFar,EpThisIter,optimgain,entropy,ev_tdlam_before,EpTrueRewMean,meankl,TimeElapsed,entloss
13.338602,22.675,1009,0.023595165,44,44,0.023595165,0.6844734,-0.002041459083557129,22.675,0.008815278,6.256691932678223,0.0
14.362867,26.675,2023,0.019465337,82,38,0.019465337,0.6635842,0.020804762840270996,26.675,0.008193348,9.769705057144165,0.0
17.331787,33.45,3056,0.020947246,110,28,0.020947246,0.64087045,0.012539982795715332,33.45,0.00780679,13.009303331375122,0.0
24.76592,47.825,4085,0.021353833,126,16,0.021353833,0.6277938,0.09735715389251709,47.825,0.008271044,16.6690194606781,0.0
34.78599,59.75,5039,0.02086104,141,15,0.02086104,0.5845163,0.15122443437576294,59.75,0.0074468674,21.205271005630493,0.0
45.162434,73.65,6019,0.017536454,151,10,0.017536454,0.5728569,0.22117066383361816,73.65,0.008445518,25.434096097946167,0.0
63.753246,89.55,7022,0.011210468,157,6,0.011210468,0.5953396,0.4564911723136902,89.55,0.008867943,29.101658821105957,0.0
77.424126,103.6,8167,0.011093642,165,8,0.011093642,0.54814506,0.1492856740951538,103.6,0.008434006,33.50979709625244,0.0
91.1924,117.325,9088,0.0082381945,171,6,0.0082381945,0.5758332,0.3844456672668457,117.325,0.005229048,38.29129338264465,0.0
104.39488,136.7,10193,0.005810884,177,6,0.005810884,0.5957583,0.11637496948242188,136.7,0.006571314,43.131412506103516,0.0
111.18076,144.275,11263,0.018180026,187,10,0.018180026,0.54139465,0.02466285228729248,144.275,0.007820552,47.27986764907837,0.0
113.44108,151.4,12263,0.008660229,192,5,0.008660229,0.566107,0.48563867807388306,151.4,0.0072743073,52.46997022628784,0.0
109.76982,150.7,13218,0.013914879,198,6,0.013914879,0.5352722,-0.005937337875366211,150.7,0.0072179176,57.16442918777466,0.0
113.459885,157.3,14319,0.010843749,204,6,0.010843749,0.5484391,-0.003911733627319336,157.3,0.007844856,62.45060753822327,0.0
115.885086,163.35,15309,0.0043774387,209,5,0.0043774387,0.54147255,-0.001201033592224121,163.35,0.005624495,67.54001474380493,0.0
118.84365,166.425,16303,0.015976874,214,5,0.015976874,0.5263598,-0.0041838884353637695,166.425,0.00639588,72.03713750839233,0.0
119.24031,171.275,17303,0.013909427,219,5,0.013909427,0.53473234,-0.020396828651428223,171.275,0.008270048,75.85993671417236,0.0
131.34982,185.9,18303,0.0062570036,224,5,0.0062570036,0.5641906,-0.0019419193267822266,185.9,0.0073850686,80.01837015151978,0.0
135.74704,191.0,19303,0.022462234,229,5,0.022462234,0.55471873,0.5230332314968109,191.0,0.0092370175,83.35892295837402,0.0
133.14856,191.0,20303,0.006457725,234,5,0.006457725,0.59581,0.6706704497337341,191.0,0.00909047,87.74017405509949,0.0
134.97433,198.825,21503,0.0051409323,240,6,0.0051409323,0.5886023,0.6247517168521881,198.825,0.0066912957,92.39432096481323,0.0
127.53996,199.6,22503,0.016410625,245,5,0.016410625,0.56882846,0.9453055784106255,199.6,0.008684087,97.21453404426575,0.0
121.430626,200.0,23503,0.010252976,250,5,0.010252976,0.5798596,0.592316061258316,200.0,0.009090256,101.23187828063965,0.0
115.14815,200.0,24503,0.010846821,255,5,0.010846821,0.5804679,0.5878463983535767,200.0,0.007274501,104.64061498641968,0.0
106.35637,196.975,25582,0.009881361,261,6,0.009881361,0.5518825,0.389772891998291,196.975,0.005079289,108.06930541992188,0.0
101.52825,196.975,26582,0.0126051195,266,5,0.0126051195,0.5693834,0.3307398557662964,196.975,0.008543743,111.63373327255249,0.0
96.99673,196.975,27582,0.010203879,271,5,0.010203879,0.54239464,-0.10719597339630127,196.975,0.006175161,115.51609587669373,0.0
93.86953,196.975,28582,0.006417579,276,5,0.006417579,0.5617858,-0.027775168418884277,196.975,0.0053140176,119.12027883529663,0.0
95.2486,196.975,29582,0.007299575,281,5,0.007299575,0.54737467,0.019595563411712646,196.975,0.00722615,122.71607160568237,0.0
97.1108,196.075,30546,0.018708846,286,5,0.018708846,0.57288235,0.4678739309310913,196.075,0.010407392,126.07741951942444,0.0
99.51871,193.125,31628,0.009726144,292,6,0.009726144,0.55531776,0.36564791202545166,193.125,0.0090420395,129.6260826587677,0.0
103.773705,193.125,32628,0.008329404,297,5,0.008329404,0.56837034,0.30401748418807983,193.125,0.008475207,133.41353106498718,0.0
110.30605,196.15,33628,0.012068057,302,5,0.012068057,0.58069575,0.13884717226028442,196.15,0.010720426,137.08580374717712,0.0
120.0863,196.15,34628,0.013612272,307,5,0.013612272,0.5692317,0.08898073434829712,196.15,0.0093914205,141.00295400619507,0.0
130.81169,196.15,35828,0.01593366,313,6,0.01593366,0.57267976,0.10952115058898926,196.15,0.0091818115,144.65150213241577,0.0
147.79472,196.15,36828,0.015284903,318,5,0.015284903,0.55441153,0.03675204515457153,196.15,0.0083284145,148.49273324012756,0.0
165.02841,196.15,37828,0.0055331453,323,5,0.0055331453,0.59328365,0.013113856315612793,196.15,0.0051592635,151.741863489151,0.0
178.4654,200.0,38828,0.016668264,328,5,0.016668264,0.5509727,0.027744054794311523,200.0,0.007911068,156.0864918231964,0.0
189.38232,200.0,39828,0.012995517,333,5,0.012995517,0.5693463,0.25002801418304443,200.0,0.008902103,160.1127371788025,0.0
200.11528,199.675,40815,0.011195335,338,5,0.011195335,0.59133387,0.5007539093494415,199.675,0.01019856,163.67266488075256,0.0
201.94095,199.35,41802,0.019213215,343,5,0.019213215,0.5866405,0.6109450459480286,199.35,0.008859789,167.41060543060303,0.0
202.63924,199.0,42988,0.015210292,349,6,0.015210292,0.58648235,0.5051912665367126,199.0,0.006401211,170.6079204082489,0.0
188.76451,192.45,43926,0.010835192,355,6,0.010835192,0.5591569,0.5514558255672455,192.45,0.006752461,174.4696593284607,0.0
171.4667,190.7,45056,0.011307829,361,6,0.011307829,0.5647161,0.663192093372345,190.7,0.008035384,178.50098037719727,0.0
156.0975,188.475,45967,0.0069901836,366,5,0.0069901836,0.5677346,0.652746170759201,188.475,0.0068067033,182.98540782928467,0.0
143.8085,185.075,47031,0.0169723,372,6,0.0169723,0.53278255,0.7814676016569138,185.075,0.0068319235,187.22447752952576,0.0
132.41125,183.475,47954,0.005656828,377,5,0.005656828,0.5758273,0.7951512187719345,183.475,0.0063074995,192.09065413475037,0.0
114.94739,177.975,49121,0.0070692133,384,7,0.0070692133,0.5753312,0.816615954041481,177.975,0.0063431645,195.68824982643127,0.0
105.08956,173.7,50119,0.008728435,390,6,0.008728435,0.569063,0.8041509538888931,173.7,0.006416788,199.1181161403656,0.0
