EpThisIter,entloss,ev_tdlam_before,EpisodesSoFar,meankl,entropy,TimeElapsed,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,optimgain,EpRewMean
49,0.0,-0.010214686393737793,49,0.00818636,0.6851461,5.6699538230896,20.125,20.125,0.01742338,1009,0.01742338,11.79665
42,0.0,0.0010623335838317871,91,0.008343923,0.66487014,9.197400331497192,24.625,24.625,0.020358212,2031,0.020358212,16.39194
32,0.0,0.04139447212219238,123,0.010000922,0.65315396,13.23063588142395,30.95,30.95,0.016105574,3014,0.016105574,20.498922
28,0.0,0.3049476742744446,151,0.008410059,0.63992476,17.36363124847412,34.75,34.75,0.025600553,4091,0.025600553,22.207617
21,0.0,0.3031613826751709,172,0.008738225,0.60800266,22.140347242355347,42.975,42.975,0.02825625,5109,0.02825625,26.09489
13,0.0,0.22005689144134521,185,0.00811334,0.5824069,27.00666570663452,54.3,54.3,0.022934772,6104,0.022934772,31.536743
8,0.0,0.16577285528182983,193,0.009018831,0.5947453,32.0908682346344,73.975,73.975,0.018128619,7116,0.018128619,44.884014
8,0.0,-0.013446569442749023,201,0.009297857,0.5646649,37.1456573009491,89.45,89.45,0.020937521,8186,0.020937521,52.80604
5,0.0,0.23574262857437134,206,0.006451805,0.56459785,41.62086725234985,106.2,106.2,0.011610527,9076,0.011610527,62.773094
6,0.0,0.17350691556930542,212,0.008001883,0.56404895,46.57102870941162,126.5,126.5,0.014018112,10169,0.014018112,80.99188
5,0.0,0.3882651925086975,217,0.0071991608,0.5751238,51.45766472816467,142.05,142.05,0.015470129,11120,0.015470129,89.17377
6,0.0,0.7280004918575287,223,0.0082488265,0.56155586,56.32060527801514,154.6,154.6,0.011887681,12165,0.011887681,95.71431
5,0.0,0.4669455885887146,228,0.0074170334,0.581128,61.351529598236084,167.55,167.55,0.007970249,13155,0.007970249,106.38269
6,0.0,0.1819438934326172,234,0.005104644,0.5336742,66.3828992843628,172.95,172.95,0.00897083,14218,0.00897083,114.580246
5,0.0,0.0005349516868591309,239,0.0060341367,0.5403105,71.39502596855164,181.825,181.825,0.01279557,15179,0.01279557,126.59851
6,0.0,0.013964712619781494,245,0.008332388,0.5685578,74.9357979297638,187.4,187.4,0.014459319,16376,0.014459319,131.9642
5,0.0,-0.00029730796813964844,250,0.008064657,0.56068563,78.89392757415771,189.75,189.75,0.01669358,17376,0.01669358,135.1417
5,0.0,0.01675403118133545,255,0.004060017,0.5608095,83.1353018283844,190.425,190.425,0.0026280205,18376,0.0026280205,137.12508
5,0.0,0.042912423610687256,260,0.008042553,0.5590391,87.42219066619873,192.0,192.0,0.0077488474,19374,0.0077488474,144.6495
5,0.0,0.09469294548034668,265,0.0073570674,0.55634725,90.90218901634216,195.475,195.475,0.0085088,20374,0.0085088,144.24214
5,0.0,0.7184284925460815,270,0.006803454,0.53435254,94.93045115470886,195.375,195.375,0.009624297,21340,0.009624297,142.84402
5,0.0,0.5074430704116821,275,0.008426336,0.5956148,98.56246733665466,198.05,198.05,0.0051638596,22340,0.0051638596,137.83945
6,0.0,0.2643299102783203,281,0.0066526327,0.5774736,102.35645341873169,199.025,199.025,0.008728946,23540,0.008728946,133.64215
5,0.0,0.5288362801074982,286,0.008262874,0.53424835,106.74664282798767,199.1,199.1,0.0056723948,24540,0.0056723948,132.89041
5,0.0,0.3553354740142822,291,0.009148028,0.53907037,110.72575974464417,199.1,199.1,0.011581696,25540,0.011581696,126.402145
5,0.0,0.5748869180679321,296,0.007295364,0.5035956,113.85339188575745,199.1,199.1,0.0054853978,26540,0.0054853978,126.815956
5,0.0,0.5849766135215759,301,0.008141587,0.55177057,117.87289357185364,199.15,199.15,0.0105569735,27540,0.0105569735,124.50431
5,0.0,0.17928379774093628,306,0.0059789363,0.529276,121.32555055618286,199.15,199.15,0.0046092677,28540,0.0046092677,120.26878
5,0.0,0.3483664393424988,311,0.0072884858,0.5770096,124.95324325561523,200.0,200.0,0.0076742666,29540,0.0076742666,122.76973
5,0.0,0.4029342532157898,316,0.007914491,0.5833517,128.52270913124084,200.0,200.0,0.0066510523,30540,0.0066510523,121.21565
6,0.0,0.8103326559066772,322,0.008575062,0.59380966,132.52722358703613,200.0,200.0,0.009404407,31740,0.009404407,119.54614
6,0.0,0.002069532871246338,328,0.009428432,0.57697326,135.91210174560547,194.45,194.45,0.01000024,32718,0.01000024,115.60935
5,0.0,0.17346322536468506,333,0.008830763,0.5698559,140.21852803230286,194.45,194.45,0.014147714,33718,0.014147714,115.52578
6,0.0,0.07087010145187378,339,0.007598484,0.5432602,143.9026906490326,191.125,191.125,0.011755712,34785,0.011755712,110.506996
5,0.0,0.4718012809753418,344,0.005995073,0.58678627,147.55166387557983,191.125,191.125,0.008758511,35785,0.008758511,119.11857
5,0.0,0.2751116156578064,349,0.008009573,0.56473327,151.26611137390137,191.125,191.125,0.009802468,36785,0.009802468,123.91909
5,0.0,0.6203736960887909,354,0.00871448,0.59173155,155.57595920562744,191.125,191.125,0.009294108,37785,0.009294108,131.02786
6,0.0,0.32472771406173706,360,0.007868314,0.5449563,159.20225429534912,187.675,187.675,0.01595518,38847,0.01595518,138.19507
5,0.0,0.5495093762874603,365,0.0076940116,0.6081945,163.22857928276062,187.675,187.675,0.0073762317,39847,0.0073762317,145.19006
5,0.0,0.29552870988845825,370,0.009075434,0.57150316,166.4206428527832,192.55,192.55,0.0062915194,40820,0.0062915194,151.00694
5,0.0,0.7357486486434937,375,0.0058511333,0.55512005,170.3242039680481,192.55,192.55,0.012805617,41820,0.012805617,152.62036
5,0.0,0.8772577941417694,380,0.0063855425,0.5781679,174.4542887210846,195.875,195.875,0.00799015,42820,0.00799015,156.2073
6,0.0,0.6472077071666718,386,0.009090029,0.5846018,177.99157547950745,195.875,195.875,0.0067383945,44020,0.0067383945,151.70782
5,0.0,0.7408749461174011,391,0.009181388,0.591543,181.64996671676636,195.875,195.875,0.0096647665,45020,0.0096647665,144.95786
5,0.0,0.8218542188405991,396,0.003966626,0.5729497,186.18183970451355,195.875,195.875,0.0039614863,46020,0.0039614863,138.41231
5,0.0,0.8498513251543045,401,0.0077518886,0.5830315,190.25978589057922,199.325,199.325,0.006932261,47020,0.006932261,133.45967
5,0.0,0.5156408846378326,406,0.0068350304,0.58848035,194.2362504005432,199.325,199.325,0.008833952,48020,0.008833952,128.18655
5,0.0,0.7140659689903259,411,0.0071826773,0.56245863,197.55753254890442,198.925,198.925,0.008506855,48977,0.008506855,125.15959
5,0.0,0.5695196092128754,416,0.007613749,0.5695543,200.69284868240356,198.925,198.925,0.011484945,49977,0.011484945,122.07599
8,0.0,0.2527173161506653,424,0.008511413,0.5109778,201.92176985740662,186.65,186.65,0.01930061,51086,0.01930061,111.34037
