# {"env_id": "CartPole-v0", "t_start": 1551071331.3489933} 
r,l,t
19.0,19,6.012252
21.0,21,6.065018
51.0,51,6.194847
17.0,17,6.230113
16.0,16,6.264495
16.0,16,6.301213
16.0,16,6.332228
49.0,49,6.439668
75.0,75,6.680967
17.0,17,6.71786
11.0,11,6.74217
25.0,25,6.801081
14.0,14,6.834504
11.0,11,6.858171
21.0,21,6.902508
28.0,28,6.962773
12.0,12,6.987929
16.0,16,7.027173
15.0,15,7.129138
16.0,16,7.171224
29.0,29,7.237119
15.0,15,7.273997
13.0,13,7.303388
11.0,11,7.329571
28.0,28,7.435801
34.0,34,7.541604
43.0,43,7.647496
16.0,16,7.719801
13.0,13,7.773697
18.0,18,7.819093
16.0,16,7.854365
15.0,15,7.884887
33.0,33,7.958149
27.0,27,8.070301
18.0,18,8.123897
27.0,27,8.197827
17.0,17,8.239885
13.0,13,8.269896
29.0,29,8.382363
16.0,16,8.42608
24.0,24,8.481848
18.0,18,8.519859
19.0,19,8.567266
34.0,34,8.654356
15.0,15,8.688993
11.0,11,8.720669
19.0,19,10.678483
21.0,21,10.722964
35.0,35,10.81051
24.0,24,10.867506
31.0,31,10.949207
32.0,32,11.024173
43.0,43,11.146539
38.0,38,11.243509
38.0,38,11.331313
40.0,40,11.429433
28.0,28,11.490667
13.0,13,11.51781
40.0,40,11.61166
55.0,55,11.73653
11.0,11,11.761586
10.0,10,11.782851
26.0,26,11.861539
37.0,37,12.065077
17.0,17,12.111852
25.0,25,12.164824
123.0,123,12.440347
27.0,27,12.573223
12.0,12,12.662454
23.0,23,12.772451
28.0,28,12.847093
39.0,39,12.956919
25.0,25,13.094967
14.0,14,13.180707
11.0,11,13.242687
19.0,19,13.361139
30.0,30,13.545252
51.0,51,13.73917
25.0,25,13.925114
19.0,19,14.019537
9.0,9,15.230149
26.0,26,15.287294
37.0,37,15.377206
43.0,43,15.467529
109.0,109,15.701472
49.0,49,15.808483
39.0,39,15.890119
24.0,24,15.941344
22.0,22,15.987412
67.0,67,16.133208
36.0,36,16.212441
39.0,39,16.299391
23.0,23,16.350566
38.0,38,16.43714
63.0,63,16.575819
27.0,27,16.636587
71.0,71,16.79711
30.0,30,16.866175
18.0,18,16.904719
35.0,35,16.984696
19.0,19,17.02474
16.0,16,17.069477
35.0,35,17.147123
85.0,85,17.339483
48.0,48,17.440063
14.0,14,17.468729
22.0,22,18.683324
47.0,47,18.833971
40.0,40,18.950837
95.0,95,19.416069
41.0,41,19.678017
18.0,18,19.751835
118.0,118,20.015216
32.0,32,20.088285
24.0,24,20.153445
52.0,52,20.318227
39.0,39,20.413856
39.0,39,20.50543
27.0,27,20.564163
83.0,83,20.745858
64.0,64,20.890791
29.0,29,20.954647
32.0,32,21.030377
62.0,62,21.359123
38.0,38,21.583911
52.0,52,21.962878
52.0,52,22.191082
16.0,16,22.265074
48.0,48,23.396944
99.0,99,23.631785
17.0,17,23.669742
132.0,132,23.969671
102.0,102,24.211135
135.0,135,24.6279
38.0,38,24.747887
92.0,92,25.035457
200.0,200,25.733558
114.0,114,26.015387
155.0,155,27.412633
103.0,103,27.679657
177.0,177,28.094176
132.0,132,28.389169
