TimestepsSoFar,ev_tdlam_before,entropy,EpisodesSoFar,surrgain,entloss,EpTrueRewMean,meankl,TimeElapsed,EpRewMean,EpLenMean,optimgain,EpThisIter
1018,-0.005472779273986816,0.6849057,46,0.02054725,0.0,21.95,0.008365013,5.891161680221558,21.95,21.95,0.02054725,46
2047,-0.06320357322692871,0.6642528,80,0.022320304,0.0,28.75,0.008726708,10.451175451278687,28.75,28.75,0.022320304,34
3069,-0.004288434982299805,0.63745266,106,0.02183484,0.0,36.7,0.0077277836,13.855460405349731,36.7,36.7,0.02183484,26
4091,0.008807659149169922,0.6078328,128,0.018180082,0.0,42.7,0.008092826,18.534201860427856,42.7,42.7,0.018180082,22
5068,0.00889575481414795,0.58659965,138,0.01759803,0.0,56.725,0.00799123,22.370728254318237,56.725,56.725,0.01759803,10
6140,0.013206839561462402,0.58313537,145,0.014330393,0.0,77.125,0.006573225,25.777453660964966,77.125,77.125,0.014330393,7
7023,0.03835958242416382,0.5784284,150,0.014059158,0.0,93.75,0.009318916,29.32274341583252,93.75,93.75,0.014059158,5
8137,0.004865467548370361,0.58685964,156,0.021096133,0.0,114.475,0.008487435,32.81137776374817,114.475,114.475,0.021096133,6
9090,-0.000962376594543457,0.55039597,163,0.019706514,0.0,130.475,0.007942696,36.08088254928589,130.475,130.475,0.019706514,7
10090,-0.0024265050888061523,0.61373335,168,0.00871276,0.0,149.975,0.0067283246,40.176878452301025,149.975,149.975,0.00871276,5
11094,-1.0728836059570312e-06,0.5466697,174,0.012411279,0.0,161.75,0.008040249,44.19610857963562,161.75,161.75,0.012411279,6
12240,-0.001496434211730957,0.56213635,180,0.009486489,0.0,172.85,0.006302568,48.10278630256653,172.85,172.85,0.009486489,6
13240,-0.0013943910598754883,0.5754076,185,0.009807741,0.0,177.5,0.008277158,51.961302280426025,177.5,177.5,0.009807741,5
14240,-0.00038683414459228516,0.57660675,190,0.0070945057,0.0,180.425,0.008379962,55.75969958305359,180.425,180.425,0.0070945057,5
15240,0.0017794966697692871,0.53788257,195,0.010744795,0.0,181.875,0.007625458,59.459967851638794,181.875,181.875,0.010744795,5
16240,0.0005492568016052246,0.57602185,200,0.008109298,0.0,191.9,0.00883581,63.381694316864014,191.9,191.9,0.008109298,5
17240,0.0006910562515258789,0.55916893,205,0.011045413,0.0,193.75,0.004964336,66.77960896492004,193.75,193.75,0.011045413,5
18240,-4.971027374267578e-05,0.58216476,210,0.00827682,0.0,197.725,0.008080584,70.43597936630249,197.725,197.725,0.00827682,5
19388,-0.000607609748840332,0.5482105,217,0.007958031,0.0,192.35,0.008493412,74.80216526985168,192.35,192.35,0.007958031,7
20388,-0.0003962516784667969,0.5491995,222,0.0042880177,0.0,193.7,0.0070065754,78.30423259735107,193.7,193.7,0.0042880177,5
21352,-0.00026416778564453125,0.57257354,227,0.009021429,0.0,192.8,0.00503203,81.77489018440247,192.8,192.8,0.009021429,5
22352,-0.00019812583923339844,0.5882429,232,0.0065667136,0.0,192.8,0.005375726,85.14082527160645,192.8,192.8,0.0065667136,5
23501,-0.0002827644348144531,0.59028447,238,0.008396913,0.0,191.525,0.0072097965,88.44537591934204,191.525,191.525,0.008396913,6
24501,-0.00047087669372558594,0.5470237,243,0.01231569,0.0,191.525,0.006416538,91.77524709701538,191.525,191.525,0.01231569,5
25501,-0.00024449825286865234,0.60580266,248,0.0070162425,0.0,191.525,0.007718956,95.10492062568665,191.525,191.525,0.0070162425,5
26501,-0.000217437744140625,0.60816544,253,0.004602703,0.0,192.875,0.0039002355,98.44636273384094,192.875,192.875,0.004602703,5
27501,-0.0001971721649169922,0.608189,258,0.008148274,0.0,197.825,0.0060090898,101.81171488761902,197.825,197.825,0.008148274,5
28630,-0.00010752677917480469,0.5872717,265,0.007973917,0.0,191.95,0.0073283673,105.19667339324951,191.95,191.95,0.007973917,7
29562,-0.00018548965454101562,0.5751354,270,0.0047662677,0.0,190.25,0.006691242,108.54679012298584,190.25,190.25,0.0047662677,5
30562,0.00017690658569335938,0.57713675,275,0.00957217,0.0,191.525,0.007877848,111.85686731338501,191.525,191.525,0.00957217,5
31557,-0.00021195411682128906,0.5609799,280,0.01055376,0.0,191.4,0.0076013347,115.22738289833069,191.4,191.4,0.01055376,5
32757,-0.00016391277313232422,0.564508,286,0.006611563,0.0,191.4,0.007806097,118.51263451576233,191.4,191.4,0.006611563,6
33757,-0.0003426074981689453,0.561571,291,0.009898223,0.0,191.4,0.005035937,121.8505334854126,191.4,191.4,0.009898223,5
34757,0.03872954845428467,0.5707886,296,0.012551441,0.0,191.4,0.008470736,125.22091388702393,191.4,191.4,0.012551441,5
35757,0.0002052783966064453,0.6015492,301,0.0067861206,0.0,195.775,0.0069791144,128.58183360099792,195.775,195.775,0.0067861206,5
36757,-0.0007090568542480469,0.57770777,306,0.008044101,0.0,198.175,0.007580151,131.90231800079346,198.175,198.175,0.008044101,5
37757,0.0010024309158325195,0.5774406,311,0.009091303,0.0,199.875,0.005100578,135.27297925949097,199.875,199.875,0.009091303,5
38835,-0.0008338689804077148,0.5737383,317,0.010270566,0.0,196.95,0.007935297,138.6259047985077,196.95,196.95,0.010270566,6
39765,-0.0005778074264526367,0.5847225,322,0.016116364,0.0,195.2,0.007445636,142.0435335636139,195.2,195.2,0.016116364,5
40874,-0.0005884170532226562,0.5829129,328,0.008281722,0.0,192.925,0.0050382586,145.42379808425903,192.925,192.925,0.008281722,6
41969,-0.0004208087921142578,0.57536423,334,0.0126504665,0.0,190.3,0.00836955,148.79153180122375,190.3,190.3,0.0126504665,6
42952,-0.0003521442413330078,0.569509,339,0.010504965,0.0,189.875,0.0072803097,152.18147826194763,189.875,189.875,0.010504965,5
43849,-0.0001804828643798828,0.54361075,344,0.015568417,0.0,187.3,0.007069304,155.60947036743164,187.3,187.3,0.015568417,5
44992,-0.00023508071899414062,0.5770856,350,0.008576378,0.0,185.875,0.0045826724,158.96128106117249,185.875,185.875,0.008576378,6
45922,-0.0001900196075439453,0.5727165,355,0.012349715,0.0,185.75,0.0062874365,162.3516080379486,185.75,185.75,0.012349715,5
47015,-0.00011646747589111328,0.54463494,362,0.019058384,0.0,181.25,0.0074579017,165.7381672859192,181.25,181.25,0.019058384,7
48126,-0.0002676248550415039,0.5589423,368,0.009935389,0.0,181.3,0.0071381954,169.12626481056213,181.3,181.3,0.009935389,6
49071,-0.000186920166015625,0.5722809,373,0.008405421,0.0,181.9,0.0046120556,172.45143914222717,181.9,181.9,0.008405421,5
50011,-0.00018715858459472656,0.57489526,378,0.0062692864,0.0,181.05,0.0046900697,175.4358959197998,181.05,181.05,0.0062692864,5
