# {"t_start": 1551071518.312251, "env_id": "CartPole-v0"} 
r,l,t
18.0,18,3.22895
15.0,15,3.254893
13.0,13,3.28757
23.0,23,3.328218
47.0,47,3.408625
19.0,19,3.441247
14.0,14,3.466646
22.0,22,3.504351
29.0,29,3.554888
12.0,12,3.575894
10.0,10,3.594935
25.0,25,3.671616
26.0,26,3.755856
24.0,24,3.857732
40.0,40,4.016661
62.0,62,4.224162
11.0,11,4.251316
23.0,23,4.315734
12.0,12,4.344635
13.0,13,4.376484
20.0,20,4.424383
12.0,12,4.454388
21.0,21,4.504587
23.0,23,4.56147
48.0,48,4.677163
9.0,9,4.698991
48.0,48,4.830395
42.0,42,4.937355
48.0,48,5.056621
30.0,30,5.13119
20.0,20,5.180218
16.0,16,5.220198
38.0,38,5.321073
13.0,13,5.351493
15.0,15,5.387309
45.0,45,5.484686
27.0,27,5.529841
25.0,25,5.571832
25.0,25,5.614524
27.0,27,5.660698
11.0,11,5.67877
21.0,21,7.508821
18.0,18,7.548796
19.0,19,7.589241
35.0,35,7.669788
10.0,10,7.691936
15.0,15,7.728025
30.0,30,7.802906
50.0,50,7.918962
18.0,18,7.960041
27.0,27,8.020937
40.0,40,8.109595
16.0,16,8.146627
9.0,9,8.165005
18.0,18,8.204723
30.0,30,8.272304
11.0,11,8.303051
87.0,87,8.493001
42.0,42,8.58783
30.0,30,8.655899
48.0,48,8.762076
15.0,15,8.809394
17.0,17,8.851707
21.0,21,8.897707
31.0,31,8.969666
12.0,12,9.001832
43.0,43,9.109487
13.0,13,9.13945
44.0,44,9.230668
14.0,14,9.253139
16.0,16,9.292055
37.0,37,9.351037
59.0,59,9.447187
18.0,18,9.496958
19.0,19,9.546663
31.0,31,9.622231
32.0,32,9.693976
12.0,12,9.726461
49.0,49,10.704795
20.0,20,10.746635
62.0,62,10.897988
36.0,36,10.977287
9.0,9,10.997979
60.0,60,11.131013
87.0,87,11.332883
15.0,15,11.365861
19.0,19,11.407295
10.0,10,11.429716
26.0,26,11.487131
64.0,64,11.632113
24.0,24,11.689107
45.0,45,11.797042
22.0,22,11.852647
107.0,107,12.090108
38.0,38,12.174551
59.0,59,12.310021
12.0,12,12.333509
32.0,32,12.403712
55.0,55,12.524081
35.0,35,12.604494
23.0,23,12.656905
19.0,19,12.702599
65.0,65,12.87328
32.0,32,12.94703
65.0,65,14.036234
44.0,44,14.135655
146.0,146,14.481653
44.0,44,14.581293
