entropy,EpTrueRewMean,EpThisIter,EpisodesSoFar,EpLenMean,optimgain,TimeElapsed,ev_tdlam_before,TimestepsSoFar,meankl,entloss,EpRewMean,surrgain
0.68427587,20.775,47,47,20.775,0.017543197,5.188267469406128,-0.002109527587890625,1009,0.008704662,0.0,20.775,0.017543197
0.6615311,24.95,41,88,24.95,0.018244956,8.541863203048706,-0.00154876708984375,2031,0.0084028235,0.0,24.95,0.018244956
0.6372277,33.675,25,113,33.675,0.01953715,11.856839895248413,0.008025050163269043,3039,0.007823296,0.0,33.675,0.01953715
0.61236656,46.925,18,131,46.925,0.020922929,15.232055902481079,0.01899319887161255,4013,0.0070851026,0.0,46.925,0.020922929
0.5917406,59.575,13,144,59.575,0.030531794,18.56147527694702,0.10228544473648071,4966,0.0072762026,0.0,59.575,0.030531794
0.5908283,76.425,8,152,76.425,0.013068293,21.93989586830139,0.03378182649612427,6059,0.0057980972,0.0,76.425,0.013068293
0.57735527,94.75,6,158,94.75,0.007976079,25.231804847717285,0.16430127620697021,7008,0.008687682,0.0,94.75,0.007976079
0.54644173,111.025,7,165,111.025,0.015147245,28.527450799942017,0.19089722633361816,8057,0.008499425,0.0,111.025,0.015147245
0.52934706,128.375,5,170,128.375,0.008756846,31.827176809310913,0.43308430910110474,9035,0.0068730554,0.0,128.375,0.008756846
0.52862275,146.025,6,176,146.025,0.0071661226,35.13874864578247,0.07142692804336548,10199,0.008393435,0.0,146.025,0.0071661226
0.5236871,159.3,5,181,159.3,0.01574296,38.476738929748535,0.052641987800598145,11126,0.008885108,0.0,159.3,0.01574296
0.5730101,172.675,6,187,172.675,0.008592157,41.80489778518677,0.1835344433784485,12267,0.0072053485,0.0,172.675,0.008592157
0.5337185,180.2,5,192,180.2,0.010314314,45.09083294868469,0.3018423914909363,13267,0.006569553,0.0,180.2,0.010314314
0.5119661,182.15,6,198,182.15,0.013444438,48.39020037651062,0.016804754734039307,14294,0.006818862,0.0,182.15,0.013444438
0.5286354,186.45,5,203,186.45,0.015360149,51.70085906982422,0.40430212020874023,15283,0.008002127,0.0,186.45,0.015360149
0.5755346,187.65,6,209,187.65,0.011539251,54.97361397743225,0.3056274652481079,16341,0.0058669755,0.0,187.65,0.011539251
0.5428891,186.7,5,214,186.7,0.0056812996,58.3243088722229,0.002158522605895996,17267,0.0044351723,0.0,186.7,0.0056812996
0.5390938,188.325,5,219,188.325,0.007066942,61.61726474761963,0.22264885902404785,18259,0.0042790007,0.0,188.325,0.007066942
0.563172,187.625,6,225,187.625,0.012558904,64.89202570915222,0.3508204221725464,19372,0.0067118476,0.0,187.625,0.012558904
0.55710995,179.9,7,232,179.9,0.008693474,68.76898431777954,0.24709409475326538,20463,0.005556998,0.0,179.9,0.008693474
0.5458629,183.375,5,237,183.375,0.013073223,72.54147839546204,-0.0016521215438842773,21429,0.0066254092,0.0,183.375,0.013073223
0.566872,180.625,6,243,180.625,0.01171972,75.77235865592957,0.031943559646606445,22508,0.008171864,0.0,180.625,0.01171972
0.5433552,181.975,5,248,181.975,0.012233311,79.01982617378235,-0.025519967079162598,23442,0.006951723,0.0,181.975,0.012233311
0.56013316,182.475,6,254,182.475,0.008074187,82.28082799911499,0.05743050575256348,24566,0.0059089703,0.0,182.475,0.008074187
0.5954671,178.225,6,260,178.225,0.009781911,85.52108383178711,0.5077581107616425,25588,0.0063482267,0.0,178.225,0.009781911
0.56411123,174.25,7,267,174.25,0.015462002,88.77562284469604,0.4766230583190918,26585,0.0063869124,0.0,174.25,0.015462002
0.5574678,174.15,6,273,174.15,0.011307732,92.0692937374115,0.69832444190979,27629,0.0065117944,0.0,174.15,0.011307732
0.54451954,172.575,5,278,172.575,0.0077105216,95.957204580307,0.6398306488990784,28532,0.003473238,0.0,172.575,0.0077105216
0.55225646,175.15,5,283,175.15,0.006161648,99.63305401802063,0.5875218212604523,29514,0.0049069645,0.0,175.15,0.006161648
0.5555306,175.675,6,289,175.675,0.010004436,102.97424697875977,0.7974138259887695,30669,0.004845741,0.0,175.675,0.010004436
0.5525243,177.4,5,294,177.4,0.0068742763,106.21159100532532,0.6650704741477966,31662,0.008324106,0.0,177.4,0.0068742763
