# {"t_start": 1555481191.0925455, "env_id": "CartPole-v0"} 
r,l,t
36.0,36,10.853802
68.0,68,11.244829
49.0,49,11.503359
46.0,46,11.702268
28.0,28,11.833201
13.0,13,11.905949
21.0,21,11.99927
16.0,16,12.068201
14.0,14,12.141352
52.0,52,12.333442
29.0,29,12.418728
9.0,9,12.472318
10.0,10,12.515619
27.0,27,12.651011
14.0,14,12.704014
21.0,21,12.765352
22.0,22,12.842456
16.0,16,12.881881
23.0,23,12.985151
19.0,19,13.08988
20.0,20,13.191632
19.0,19,13.283808
10.0,10,13.332569
32.0,32,13.487273
16.0,16,13.580655
22.0,22,13.677831
14.0,14,13.756066
16.0,16,13.830241
18.0,18,13.909282
41.0,41,14.06823
19.0,19,14.160871
24.0,24,14.283189
20.0,20,14.391642
17.0,17,14.471567
20.0,20,14.588891
12.0,12,14.639235
71.0,71,14.907903
14.0,14,14.988345
53.0,53,15.158751
10.0,10,15.204679
15.0,15,15.247536
35.0,35,17.560029
34.0,34,17.735085
17.0,17,17.814605
16.0,16,17.885047
23.0,23,17.986622
26.0,26,18.065778
56.0,56,18.237955
38.0,38,18.424529
16.0,16,18.505095
17.0,17,18.585968
17.0,17,18.667985
17.0,17,18.725927
70.0,70,18.964531
15.0,15,19.023501
30.0,30,19.135601
64.0,64,19.402284
17.0,17,19.473242
12.0,12,19.529026
31.0,31,19.678273
79.0,79,20.027315
18.0,18,20.094801
24.0,24,20.163705
42.0,42,20.301241
12.0,12,20.336027
35.0,35,20.470461
18.0,18,20.582846
20.0,20,20.688633
14.0,14,20.770555
15.0,15,20.828535
24.0,24,20.938068
42.0,42,21.107525
51.0,51,21.263056
33.0,33,21.394825
17.0,17,21.447894
41.0,41,22.045968
34.0,34,22.212935
45.0,45,22.444379
32.0,32,22.616332
14.0,14,22.684721
33.0,33,22.815814
26.0,26,22.934462
19.0,19,23.026257
49.0,49,23.223387
32.0,32,23.348206
31.0,31,23.454121
45.0,45,23.604202
39.0,39,23.750251
15.0,15,23.82333
18.0,18,23.90489
57.0,57,24.113996
33.0,33,24.252823
20.0,20,24.322595
20.0,20,24.391357
25.0,25,24.483975
59.0,59,24.626203
18.0,18,24.669547
29.0,29,24.749388
22.0,22,24.829616
19.0,19,24.923265
52.0,52,25.176966
22.0,22,25.259205
18.0,18,25.341186
26.0,26,25.463524
20.0,20,25.578985
13.0,13,25.643842
16.0,16,25.743803
31.0,31,25.900743
34.0,34,26.133913
17.0,17,26.221214
96.0,96,27.089131
35.0,35,27.273038
105.0,105,27.779575
22.0,22,27.847285
93.0,93,28.237446
42.0,42,28.46612
22.0,22,28.605797
14.0,14,28.70248
16.0,16,28.810294
57.0,57,29.088984
33.0,33,29.180184
20.0,20,29.229458
45.0,45,29.386339
42.0,42,29.528809
38.0,38,29.632369
46.0,46,29.745699
42.0,42,29.850518
135.0,135,30.42223
33.0,33,30.612309
139.0,139,31.722437
113.0,113,32.152317
12.0,12,32.198234
146.0,146,32.954301
108.0,108,33.286284
121.0,121,33.816895
18.0,18,33.893158
120.0,120,34.340403
76.0,76,34.55845
116.0,116,35.056632
142.0,142,35.626725
12.0,12,35.665971
132.0,132,36.523562
63.0,63,36.877371
118.0,118,37.344772
34.0,34,37.450834
154.0,154,37.954794
122.0,122,38.481189
192.0,192,39.391569
148.0,148,40.1732
155.0,155,41.256369
166.0,166,41.824487
200.0,200,42.841308
200.0,200,43.841577
200.0,200,44.693372
200.0,200,45.922966
12.0,12,45.983781
200.0,200,46.833332
105.0,105,47.19052
59.0,59,47.393819
85.0,85,47.796939
118.0,118,48.350963
102.0,102,48.945147
118.0,118,49.572515
200.0,200,50.398045
175.0,175,51.376039
200.0,200,52.179484
133.0,133,52.659537
185.0,185,53.54576
200.0,200,54.373314
200.0,200,55.816497
129.0,129,56.350306
200.0,200,57.269611
155.0,155,57.754857
114.0,114,58.15472
174.0,174,58.700925
200.0,200,60.157817
71.0,71,60.4349
65.0,65,60.762153
120.0,120,61.374635
175.0,175,62.352463
200.0,200,63.315611
200.0,200,63.992017
200.0,200,65.143382
200.0,200,65.979264
137.0,137,66.591966
165.0,165,67.311059
200.0,200,68.21945
200.0,200,68.977835
162.0,162,70.056353
200.0,200,71.037154
200.0,200,72.052195
115.0,115,72.574626
129.0,129,73.220726
134.0,134,73.931834
184.0,184,74.711172
200.0,200,75.973984
152.0,152,76.774287
200.0,200,77.57185
197.0,197,78.413652
177.0,177,79.099067
118.0,118,80.036536
200.0,200,80.965005
200.0,200,81.801004
200.0,200,82.51155
200.0,200,83.257033
188.0,188,84.217936
200.0,200,85.588918
200.0,200,86.60993
200.0,200,87.622829
185.0,185,88.714194
200.0,200,89.374181
200.0,200,90.609109
200.0,200,91.392121
200.0,200,92.29675
200.0,200,93.159673
200.0,200,93.913767
200.0,200,95.088844
200.0,200,95.706477
200.0,200,96.555482
183.0,183,97.408625
200.0,200,98.35929
200.0,200,99.567247
200.0,200,100.571363
200.0,200,101.626537
200.0,200,102.530613
177.0,177,103.111454
200.0,200,104.028114
200.0,200,105.03951
200.0,200,105.996416
200.0,200,106.678396
200.0,200,107.735356
175.0,175,108.54432
200.0,200,109.482644
200.0,200,110.229034
200.0,200,111.131068
200.0,200,112.024807
200.0,200,112.763661
200.0,200,113.810223
200.0,200,114.587694
195.0,195,115.574185
200.0,200,116.407838
200.0,200,117.121933
200.0,200,118.212664
200.0,200,118.78958
200.0,200,119.768948
200.0,200,120.644436
200.0,200,121.442014
158.0,158,122.329955
48.0,48,122.480113
200.0,200,123.13965
200.0,200,123.799957
200.0,200,124.583489
200.0,200,125.656871
200.0,200,127.005829
200.0,200,127.583345
200.0,200,128.487189
200.0,200,129.381001
200.0,200,130.281281
200.0,200,131.557543
124.0,124,132.119514
200.0,200,132.909785
155.0,155,133.854793
167.0,167,134.716295
200.0,200,135.603314
200.0,200,136.736037
200.0,200,137.393579
200.0,200,138.026644
200.0,200,139.072755
200.0,200,139.724643
192.0,192,140.520967
200.0,200,141.200523
200.0,200,142.137925
200.0,200,143.105289
200.0,200,144.026326
128.0,128,144.353104
50.0,50,144.478539
153.0,153,145.372562
200.0,200,146.407427
200.0,200,147.174859
200.0,200,147.909467
200.0,200,149.025456
200.0,200,150.205026
200.0,200,151.032655
200.0,200,152.000131
200.0,200,152.938875
200.0,200,153.819693
200.0,200,154.986811
200.0,200,155.842603
200.0,200,156.771055
200.0,200,157.386806
200.0,200,158.060753
159.0,159,159.06466
73.0,73,159.445876
200.0,200,160.187101
64.0,64,160.501515
123.0,123,161.012786
200.0,200,161.918044
200.0,200,162.711107
200.0,200,163.80767
200.0,200,164.862115
200.0,200,165.773992
182.0,182,166.584815
200.0,200,167.371776
200.0,200,168.832263
200.0,200,169.89428
200.0,200,170.605082
200.0,200,171.612612
200.0,200,172.362825
200.0,200,173.721428
200.0,200,174.723644
200.0,200,175.438055
200.0,200,176.344714
200.0,200,177.189471
193.0,193,178.073641
200.0,200,179.284115
200.0,200,180.118546
200.0,200,181.132401
200.0,200,181.999947
200.0,200,182.876049
200.0,200,184.191945
147.0,147,185.003872
200.0,200,185.925122
133.0,133,186.397978
200.0,200,187.163762
200.0,200,188.439996
200.0,200,189.442908
200.0,200,190.357294
200.0,200,191.142745
200.0,200,191.888306
200.0,200,192.746368
200.0,200,194.06576
200.0,200,195.083925
200.0,200,196.093864
200.0,200,197.10507
164.0,164,197.985693
200.0,200,199.412786
200.0,200,200.329918
200.0,200,201.294779
200.0,200,202.333571
200.0,200,203.321209
200.0,200,204.618173
200.0,200,205.283687
200.0,200,205.788546
200.0,200,206.721866
200.0,200,207.419608
200.0,200,208.856037
200.0,200,209.802134
200.0,200,210.648295
125.0,125,211.175945
200.0,200,211.890393
200.0,200,212.71481
200.0,200,214.230421
200.0,200,215.058578
200.0,200,216.08282
200.0,200,217.052768
200.0,200,218.025614
200.0,200,219.412349
190.0,190,220.225819
200.0,200,221.110019
200.0,200,222.112731
200.0,200,223.032017
200.0,200,224.474212
200.0,200,225.338523
200.0,200,226.334635
200.0,200,227.134581
200.0,200,228.1513
200.0,200,229.39396
200.0,200,230.241252
200.0,200,231.275609
200.0,200,232.107121
200.0,200,233.061636
200.0,200,234.136502
200.0,200,235.071442
200.0,200,235.758983
200.0,200,236.641433
200.0,200,237.723043
200.0,200,239.028039
200.0,200,239.558905
200.0,200,240.229006
200.0,200,241.224221
200.0,200,242.012063
200.0,200,243.163822
200.0,200,244.191219
200.0,200,245.239317
200.0,200,246.215159
200.0,200,246.821132
200.0,200,247.640992
200.0,200,248.861516
200.0,200,249.818224
200.0,200,250.456332
200.0,200,251.114516
200.0,200,251.970832
200.0,200,253.176048
197.0,197,253.96394
200.0,200,254.755019
200.0,200,255.384966
200.0,200,256.270292
36.0,36,256.411584
200.0,200,257.621157
200.0,200,258.696093
200.0,200,259.693108
200.0,200,260.609609
200.0,200,261.462525
200.0,200,262.850076
