TimestepsSoFar,EpRewMean,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,meankl,EpThisIter,EpLenMean,optimgain,TimeElapsed,surrgain,entropy
1016,17.365458,41,24.5,-0.00012981891632080078,0.0,0.0076509872,41,24.5,0.017349169,8.478246927261353,0.017349169,0.6856688
2011,19.64944,75,29.25,-0.018774747848510742,0.0,0.0077267634,34,29.25,0.018907584,13.069080829620361,0.018907584,0.6655543
3035,18.82238,110,29.775,0.015143275260925293,0.0,0.008679794,35,29.775,0.022717088,17.856385231018066,0.022717088,0.6297817
3971,22.194578,129,37.625,0.20446300506591797,0.0,0.0070935865,19,37.625,0.019253708,22.704017877578735,0.019253708,0.6165049
5094,39.672623,141,56.4,0.19992178678512573,0.0,0.0067454944,12,56.4,0.011809665,27.197388410568237,0.011809665,0.59757376
6057,49.30082,149,75.975,0.4724889397621155,0.0,0.007628217,8,75.975,0.011057868,32.058502435684204,0.011057868,0.5832366
6978,58.224846,154,92.125,0.6276102960109711,0.0,0.009138752,5,92.125,0.012288986,36.93042802810669,0.012288986,0.6301462
8177,72.3691,164,112.5,0.1169697642326355,0.0,0.007940847,10,112.5,0.01710054,41.89159631729126,0.01710054,0.58084035
9070,90.21488,169,127.475,0.010080575942993164,0.0,0.009130675,5,127.475,0.015886083,46.57790994644165,0.015886083,0.6029793
10042,94.381935,175,135.8,0.6358329057693481,0.0,0.008890822,6,135.8,0.023810193,51.198293924331665,0.023810193,0.5848512
11073,96.48958,182,146.175,0.5504433214664459,0.0,0.008697637,7,146.175,0.021867597,56.14519691467285,0.021867597,0.5529632
12175,111.92482,188,156.65,0.01989215612411499,0.0,0.007619644,6,156.65,0.0056502284,60.86116695404053,0.0056502284,0.5888752
13299,115.826805,195,153.025,0.0037096142768859863,0.0,0.009120157,7,153.025,0.0144400485,66.22980046272278,0.0144400485,0.5623882
14225,126.86772,200,164.65,0.5811332762241364,0.0,0.006914492,5,164.65,0.008318587,71.04603314399719,0.008318587,0.58585984
15331,128.85184,206,169.475,0.3726615905761719,0.0,0.008993598,6,169.475,0.010061748,75.8745174407959,0.010061748,0.5743154
16316,124.020164,211,172.925,0.2700270414352417,0.0,0.00896645,5,172.925,0.0066847387,81.02072167396545,0.0066847387,0.5812106
17316,126.00188,216,176.85,0.2587275505065918,0.0,0.008530276,5,176.85,0.018544588,85.55130672454834,0.018544588,0.5552283
18299,132.84146,221,185.65,0.03853714466094971,0.0,0.007426917,5,185.65,0.018419374,90.2925271987915,0.018419374,0.5723212
