EpTrueRewMean,EpisodesSoFar,surrgain,ev_tdlam_before,entropy,EpThisIter,TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,meankl,optimgain,entloss
23.525,43,0.021081848,0.043414950370788574,0.68447196,43,1014,16.291416,23.525,7.838666915893555,0.008876571,0.021081848,0.0
24.275,85,0.02449457,-0.05763864517211914,0.66182894,42,2031,17.0741,24.275,11.951489448547363,0.008876512,0.02449457,0.0
31.3,113,0.01931731,0.03771376609802246,0.6386783,28,3021,20.54747,31.3,16.215755462646484,0.008143099,0.01931731,0.0
46.675,130,0.025580652,0.06555068492889404,0.61360395,17,4072,28.684326,46.675,21.591674327850342,0.00765835,0.025580652,0.0
61.375,143,0.018892631,0.2926662564277649,0.60653144,13,5109,37.58204,61.375,26.184800624847412,0.008115674,0.018892631,0.0
82.575,149,0.016689125,0.39070993661880493,0.61077523,6,6109,51.858177,82.575,31.125497341156006,0.007917669,0.016689125,0.0
99.8,157,0.016628144,0.43940800428390503,0.5843023,8,7167,63.042664,99.8,35.96595358848572,0.009479022,0.016628144,0.0
111.9,162,0.011119353,0.6036670506000519,0.60391986,5,8090,70.4364,111.9,39.99122643470764,0.0078113507,0.011119353,0.0
127.35,170,0.0146452375,0.4252470135688782,0.55725664,8,9166,79.728195,127.35,44.69815182685852,0.0074670864,0.0146452375,0.0
136.775,176,0.012298154,0.6680846214294434,0.5673593,6,10125,83.90536,136.775,49.51780462265015,0.008231018,0.012298154,0.0
153.3,182,0.017671542,0.465956449508667,0.5734301,6,11142,98.0249,153.3,54.65248680114746,0.00904082,0.017671542,0.0
154.275,188,0.012191896,0.543601930141449,0.53757787,6,12183,100.20416,154.275,58.98690319061279,0.0075003235,0.012191896,0.0
161.925,194,0.0068557924,0.024305522441864014,0.542892,6,13274,122.109985,161.925,64.04233646392822,0.0032944991,0.0068557924,0.0
165.95,199,0.0082740355,0.061192214488983154,0.53745866,5,14205,129.0796,165.95,68.9535825252533,0.005381707,0.0082740355,0.0
165.275,206,0.005469948,0.00018149614334106445,0.54323786,7,15240,140.3802,165.275,73.49300527572632,0.006266406,0.005469948,0.0
172.75,212,0.007877382,0.00023549795150756836,0.5468647,6,16341,153.65909,172.75,77.65724587440491,0.0070321984,0.007877382,0.0
173.2,217,0.009658381,-9.393692016601562e-05,0.53627217,5,17253,159.23482,173.2,82.1370689868927,0.0072383895,0.009658381,0.0
176.325,223,0.008347239,-0.00335085391998291,0.52415943,6,18389,157.86154,176.325,86.56229996681213,0.0057051834,0.008347239,0.0
180.15,228,0.017266937,-0.005769252777099609,0.53915024,5,19389,159.59598,180.15,90.56040716171265,0.008363646,0.017266937,0.0
182.35,233,0.012013895,-0.006713509559631348,0.5355538,5,20374,148.33115,182.35,95.26274871826172,0.008463521,0.012013895,0.0
182.1,239,0.0076105874,-0.003525257110595703,0.57849145,6,21489,138.76859,182.1,100.54933977127075,0.00783461,0.0076105874,0.0
188.85,244,0.010537224,0.32481908798217773,0.566203,5,22489,135.7944,188.85,105.51467061042786,0.008196068,0.010537224,0.0
193.7,249,0.010647629,0.08852547407150269,0.55580217,5,23489,133.76016,193.7,109.99784708023071,0.007985142,0.010647629,0.0
194.9,254,0.007230293,-0.009974122047424316,0.54838574,5,24449,131.37039,194.9,114.90734672546387,0.005892637,0.007230293,0.0
194.325,260,0.0132812625,-0.00976097583770752,0.54837763,6,25584,125.3336,194.325,120.38259100914001,0.008252093,0.0132812625,0.0
194.6,265,0.009996863,-0.0007729530334472656,0.5332173,5,26573,124.38335,194.6,124.84519410133362,0.0057064127,0.009996863,0.0
194.475,270,0.009012239,-0.0009496212005615234,0.5514106,5,27568,124.936424,194.475,129.70435976982117,0.0061182887,0.009012239,0.0
195.025,275,0.015935697,-0.0013037919998168945,0.5483548,5,28568,126.21598,195.025,134.19532346725464,0.010180792,0.015935697,0.0
196.975,280,0.009371457,-0.0006955862045288086,0.56392646,5,29568,128.20158,196.975,138.95318245887756,0.007640861,0.009371457,0.0
196.25,285,0.008554431,-0.0006262063980102539,0.5422301,5,30539,128.30267,196.25,142.68772411346436,0.006532184,0.008554431,0.0
192.0,292,0.009739775,-0.0006353855133056641,0.50514394,7,31729,127.32926,192.0,147.00035119056702,0.006081849,0.009739775,0.0
193.625,297,0.010778051,-0.001017928123474121,0.5176675,5,32729,129.3771,193.625,152.1294083595276,0.007972365,0.010778051,0.0
193.625,302,0.009286579,-0.0001634359359741211,0.5047791,5,33729,130.4598,193.625,156.69869995117188,0.007979619,0.009286579,0.0
193.9,307,0.009596485,-0.00017976760864257812,0.52915573,5,34729,131.68826,193.9,161.81691908836365,0.007607954,0.009596485,0.0
