# {"env_id": "CartPole-v0", "t_start": 1555481186.4820225} 
r,l,t
19.0,19,9.75983
21.0,21,9.857628
51.0,51,10.141916
17.0,17,10.186288
16.0,16,10.230671
16.0,16,10.277273
16.0,16,10.326275
49.0,49,10.48843
75.0,75,10.714171
17.0,17,10.761063
11.0,11,10.795963
25.0,25,10.864079
14.0,14,10.904114
11.0,11,10.934428
21.0,21,10.989558
28.0,28,11.067581
12.0,12,11.098528
16.0,16,11.138691
15.0,15,11.18148
16.0,16,11.263198
29.0,29,11.455368
15.0,15,11.522861
13.0,13,11.599781
11.0,11,11.677925
28.0,28,11.838526
34.0,34,12.048307
43.0,43,12.183122
16.0,16,12.231823
13.0,13,12.273597
18.0,18,12.328779
16.0,16,12.37106
15.0,15,12.413749
33.0,33,12.628747
27.0,27,12.793736
18.0,18,12.891678
27.0,27,12.981136
17.0,17,13.089586
13.0,13,13.185209
29.0,29,13.309712
16.0,16,13.363077
24.0,24,13.508504
18.0,18,13.663135
19.0,19,13.815741
34.0,34,14.058551
15.0,15,14.159115
11.0,11,14.220327
34.0,34,16.592925
30.0,30,16.729881
34.0,34,16.880596
35.0,35,17.049494
49.0,49,17.26552
19.0,19,17.356176
20.0,20,17.461447
25.0,25,17.570056
32.0,32,17.711833
17.0,17,17.796139
47.0,47,18.030751
24.0,24,18.115104
53.0,53,18.396846
28.0,28,18.532515
20.0,20,18.626804
36.0,36,18.817423
13.0,13,18.87654
18.0,18,18.954124
14.0,14,19.004493
17.0,17,19.080265
21.0,21,19.155314
30.0,30,19.284922
36.0,36,19.442855
13.0,13,19.487055
19.0,19,19.552934
88.0,88,19.779392
50.0,50,19.974002
21.0,21,20.029805
30.0,30,20.108913
36.0,36,20.200275
29.0,29,20.272835
68.0,68,20.444152
11.0,11,20.474466
18.0,18,20.932819
45.0,45,21.133597
23.0,23,21.270169
81.0,81,21.722178
58.0,58,22.000917
22.0,22,22.075178
44.0,44,22.265267
38.0,38,22.434155
23.0,23,22.547483
19.0,19,22.646528
27.0,27,22.80354
71.0,71,23.041759
50.0,50,23.26319
17.0,17,23.357133
31.0,31,23.517306
24.0,24,23.645836
28.0,28,23.786539
50.0,50,23.987242
29.0,29,24.107052
36.0,36,24.270356
17.0,17,24.35786
21.0,21,24.468062
83.0,83,24.882044
17.0,17,24.943387
15.0,15,25.030022
30.0,30,25.168006
35.0,35,25.352187
65.0,65,25.698071
16.0,16,25.791797
13.0,13,26.244307
29.0,29,26.368622
43.0,43,26.555163
23.0,23,26.705755
83.0,83,27.079592
138.0,138,27.763909
19.0,19,27.854831
45.0,45,28.002335
26.0,26,28.096381
65.0,65,28.296369
29.0,29,28.404916
88.0,88,28.859004
140.0,140,29.337723
82.0,82,29.705812
85.0,85,30.076999
51.0,51,30.315688
33.0,33,30.454481
38.0,38,31.050249
111.0,111,31.659706
192.0,192,32.498996
67.0,67,32.745203
53.0,53,32.912982
36.0,36,33.032928
151.0,151,33.487039
15.0,15,33.526506
114.0,114,34.030498
59.0,59,34.323133
37.0,37,34.490875
47.0,47,34.609473
55.0,55,34.777765
158.0,158,35.676702
106.0,106,36.185107
200.0,200,36.956479
200.0,200,37.754248
200.0,200,38.6799
27.0,27,38.795694
50.0,50,38.979794
156.0,156,39.410856
69.0,69,40.047606
200.0,200,40.844318
145.0,145,41.467089
200.0,200,42.363791
200.0,200,43.080881
148.0,148,43.45515
200.0,200,44.555093
200.0,200,45.16286
102.0,102,45.71367
200.0,200,46.542108
200.0,200,47.195791
200.0,200,48.577509
181.0,181,49.452905
200.0,200,50.38049
200.0,200,51.19705
200.0,200,52.116804
200.0,200,52.98849
200.0,200,54.229553
200.0,200,54.994112
200.0,200,55.983936
192.0,192,56.861282
200.0,200,57.994748
200.0,200,59.401306
181.0,181,59.966382
200.0,200,60.788548
200.0,200,61.457203
200.0,200,62.442619
200.0,200,63.909286
200.0,200,64.609203
200.0,200,65.482357
200.0,200,66.203578
200.0,200,66.962299
200.0,200,68.298415
200.0,200,69.269542
200.0,200,70.294435
200.0,200,71.238135
200.0,200,72.175665
200.0,200,73.388108
200.0,200,74.048934
200.0,200,74.763526
200.0,200,75.456945
200.0,200,76.179152
200.0,200,77.494045
200.0,200,78.150609
200.0,200,78.790201
200.0,200,79.700182
200.0,200,80.538859
200.0,200,81.590436
200.0,200,82.846452
200.0,200,83.943579
200.0,200,84.83401
200.0,200,85.544227
181.0,181,86.292389
181.0,181,87.45285
200.0,200,88.287263
188.0,188,88.950094
200.0,200,89.726785
200.0,200,90.7148
174.0,174,91.797186
153.0,153,92.476117
200.0,200,93.021986
200.0,200,93.623001
143.0,143,94.21936
181.0,181,95.229395
200.0,200,96.590603
200.0,200,97.442285
200.0,200,98.079031
200.0,200,99.075406
200.0,200,100.073979
200.0,200,101.630444
200.0,200,102.452354
200.0,200,103.155405
200.0,200,104.118146
200.0,200,105.107748
200.0,200,106.102597
200.0,200,106.754452
200.0,200,107.553913
200.0,200,108.29613
147.0,147,108.829962
200.0,200,109.71942
200.0,200,111.044615
146.0,146,111.742302
85.0,85,112.181973
200.0,200,112.956508
200.0,200,113.77255
200.0,200,114.894217
200.0,200,115.952277
200.0,200,116.808079
200.0,200,117.698078
200.0,200,118.506287
179.0,179,119.212456
200.0,200,120.542812
200.0,200,121.113575
200.0,200,121.903011
200.0,200,122.666134
200.0,200,123.537277
200.0,200,124.554618
200.0,200,125.494887
200.0,200,126.525542
200.0,200,127.493371
200.0,200,128.286044
200.0,200,129.687815
200.0,200,130.558009
200.0,200,131.531286
200.0,200,132.410795
200.0,200,133.180178
200.0,200,134.415616
200.0,200,135.284685
200.0,200,136.322784
200.0,200,137.087807
200.0,200,137.614557
200.0,200,138.832016
200.0,200,139.655788
200.0,200,140.5039
200.0,200,141.389001
200.0,200,142.365406
200.0,200,143.548944
200.0,200,144.244216
200.0,200,144.850162
200.0,200,145.487957
200.0,200,146.350247
161.0,161,147.215637
139.0,139,148.167771
200.0,200,149.18848
200.0,200,149.954934
200.0,200,150.777791
200.0,200,151.45181
200.0,200,152.767709
200.0,200,153.608806
200.0,200,154.62832
200.0,200,155.512743
200.0,200,156.319496
200.0,200,157.692404
200.0,200,158.643882
200.0,200,159.421521
200.0,200,160.183988
200.0,200,161.103238
121.0,121,161.756471
144.0,144,162.961787
86.0,86,163.372075
115.0,115,163.757033
156.0,156,164.353477
163.0,163,165.177865
164.0,164,165.888444
200.0,200,166.719121
200.0,200,167.878264
200.0,200,168.544283
200.0,200,169.311761
200.0,200,169.971562
200.0,200,170.64231
200.0,200,171.758833
200.0,200,172.436444
200.0,200,173.169923
200.0,200,173.985267
200.0,200,174.929058
200.0,200,176.134752
200.0,200,177.063961
200.0,200,177.866606
200.0,200,178.878529
200.0,200,179.475953
154.0,154,180.384458
171.0,171,181.199472
200.0,200,182.111645
200.0,200,182.833113
200.0,200,183.83457
186.0,186,184.718023
200.0,200,185.855786
200.0,200,186.41574
181.0,181,187.226775
200.0,200,187.952974
195.0,195,188.894411
200.0,200,190.119979
200.0,200,191.121633
200.0,200,192.008887
200.0,200,192.644017
196.0,196,193.61752
200.0,200,194.944526
200.0,200,195.862267
200.0,200,196.82879
169.0,169,197.660859
200.0,200,198.536105
200.0,200,199.478682
200.0,200,200.167151
200.0,200,201.115807
200.0,200,201.866783
175.0,175,202.482474
200.0,200,203.471958
200.0,200,204.428959
200.0,200,205.269323
200.0,200,205.956262
200.0,200,206.708528
200.0,200,207.55152
200.0,200,208.743486
200.0,200,209.715029
200.0,200,210.565615
200.0,200,211.140565
200.0,200,212.077903
200.0,200,213.206074
200.0,200,213.828058
200.0,200,214.69334
200.0,200,215.714148
200.0,200,216.771344
147.0,147,217.749244
136.0,136,218.193002
200.0,200,218.903611
161.0,161,219.59987
117.0,117,220.235972
199.0,199,220.922158
187.0,187,221.941702
200.0,200,222.729159
145.0,145,223.46671
200.0,200,224.309808
117.0,117,224.783634
139.0,139,225.229356
200.0,200,226.376512
144.0,144,226.961999
139.0,139,227.420448
200.0,200,228.286802
200.0,200,229.322754
160.0,160,229.886205
186.0,186,230.839907
200.0,200,231.54513
97.0,97,231.946723
182.0,182,232.786514
167.0,167,233.666797
158.0,158,234.425899
157.0,157,234.909851
157.0,157,235.899775
200.0,200,236.623586
190.0,190,237.503055
171.0,171,238.00067
200.0,200,238.840858
180.0,180,240.108683
176.0,176,240.817165
188.0,188,241.518658
200.0,200,242.27835
200.0,200,243.356246
200.0,200,244.522223
200.0,200,245.63987
172.0,172,246.32145
176.0,176,247.078049
200.0,200,248.007592
200.0,200,248.615036
194.0,194,249.561924
189.0,189,250.0885
200.0,200,250.742222
157.0,157,251.343185
200.0,200,252.468677
200.0,200,253.645367
200.0,200,254.289623
200.0,200,255.107445
200.0,200,255.96654
200.0,200,257.168124
200.0,200,257.967412
200.0,200,258.9406
200.0,200,259.735819
200.0,200,260.510691
200.0,200,261.373432
193.0,193,262.284481
200.0,200,263.231906
200.0,200,264.004074
200.0,200,264.64502
200.0,200,265.391465
200.0,200,266.224961
200.0,200,267.310035
200.0,200,268.043697
200.0,200,268.814429
200.0,200,269.462936
200.0,200,270.207837
200.0,200,271.669348
200.0,200,272.341132
200.0,200,273.196955
200.0,200,274.147942
200.0,200,274.914714
200.0,200,276.086367
200.0,200,276.870883
200.0,200,277.71647
200.0,200,278.598741
200.0,200,279.403185
200.0,200,280.651441
200.0,200,281.667643
200.0,200,282.489999
200.0,200,283.361348
200.0,200,283.974954
200.0,200,285.093924
200.0,200,285.954746
200.0,200,286.863074
200.0,200,287.881914
200.0,200,288.707444
200.0,200,289.961647
200.0,200,290.979735
200.0,200,291.854215
200.0,200,292.552675
200.0,200,293.273616
200.0,200,294.402292
200.0,200,295.21574
200.0,200,296.187607
200.0,200,296.925896
200.0,200,297.676539
200.0,200,298.683358
200.0,200,300.128933
108.0,108,300.75839
200.0,200,301.863656
200.0,200,302.944257
200.0,200,303.715733
200.0,200,304.985432
200.0,200,305.771299
200.0,200,306.774143
200.0,200,307.578969
200.0,200,308.281523
200.0,200,309.579729
200.0,200,310.527421
200.0,200,311.406978
200.0,200,312.130483
200.0,200,312.841764
200.0,200,314.12411
183.0,183,314.912272
200.0,200,315.777624
200.0,200,316.354802
200.0,200,317.282822
200.0,200,318.238472
200.0,200,319.600545
200.0,200,320.435552
200.0,200,321.286355
200.0,200,322.054881
200.0,200,322.815294
200.0,200,324.014735
200.0,200,324.661043
