TimestepsSoFar,ev_tdlam_before,EpRewMean,entropy,surrgain,EpLenMean,entloss,TimeElapsed,optimgain,EpisodesSoFar,meankl,EpThisIter,EpTrueRewMean
3093,0.2759985327720642,49.409977,4.2575355,0.048575856,29.457142857142856,0.0,4.301252126693726,0.048575856,35,0.008340365,35,25.799196877923723
6354,0.12381982803344727,67.99635,4.184563,0.042083856,43.275,0.0,7.955002784729004,0.042083856,55,0.006807092,20,45.50357489519783
9366,0.33094221353530884,87.87755,4.210787,0.041841596,57.15,0.0,11.53771686553955,0.041841596,69,0.005950436,14,73.68638029647983
12639,0.7488873600959778,118.57473,4.1984525,0.044121675,76.775,0.0,15.16288137435913,0.044121675,76,0.0058333576,7,110.06000102753009
15798,0.7479937076568604,142.86446,4.1864552,0.041036256,93.475,0.0,18.69278120994568,0.041036256,84,0.00605461,8,144.66308016027875
18885,0.8951391130685806,169.95203,4.1629567,0.04345628,112.8,0.0,22.32028079032898,0.04345628,90,0.006761851,6,180.76364038231225
22119,0.8993877917528152,192.33041,4.188194,0.03884054,130.275,0.0,25.933732509613037,0.03884054,96,0.0059651877,6,213.73764817535456
25245,0.72948157787323,210.79878,4.1995845,0.047983013,146.025,0.0,29.564207315444946,0.047983013,102,0.005588657,6,238.32012164372918
28602,0.9147079959511757,231.08191,4.1702495,0.038379133,164.35,0.0,33.16387581825256,0.038379133,107,0.0061869025,5,264.79125418945654
31848,0.8867478743195534,238.92293,4.1239305,0.050769813,174.8,0.0,36.79476261138916,0.050769813,112,0.005576794,5,278.7403778326358
35304,0.8673361390829086,250.5142,4.023681,0.044838212,188.875,0.0,40.32184672355652,0.044838212,116,0.0060012843,4,292.0442224449806
38790,0.8083037734031677,267.76685,3.9736326,0.04826958,205.325,0.0,43.912497997283936,0.04826958,120,0.004286495,4,309.3995328003926
41022,0.7839019298553467,281.2832,3.9760725,0.04729808,217.35,0.0,47.39770722389221,0.04729808,122,0.0055021504,2,322.99261295357775
44868,0.7918966561555862,310.57132,3.9690492,0.043231852,242.25,0.0,50.832937479019165,0.043231852,124,0.005590776,2,351.1274923948246
47868,0.2271595597267151,334.35733,3.9473953,0.031830072,263.725,0.0,54.38059711456299,0.031830072,125,0.005309756,1,370.2425553064419
50868,0.06183290481567383,359.37668,3.9680238,0.028549459,286.375,0.0,57.99967646598816,0.028549459,126,0.00648795,1,392.0743987747312
54552,0.7902273386716843,376.27094,3.968657,0.03838539,304.775,0.0,61.65550446510315,0.03838539,128,0.0057312567,2,410.50977375894297
57552,0.877870999276638,398.95203,3.9698734,0.038556904,326.375,0.0,65.3398084640503,0.038556904,129,0.0055776173,1,431.58175880362586
60552,-0.021304726600646973,420.53882,3.9543834,0.025609937,347.225,0.0,68.92774987220764,0.025609937,130,0.0064526135,1,451.1892462629239
62874,0.9716767929494381,434.8825,3.9583058,0.048123408,361.8,0.0,72.50002694129944,0.048123408,131,0.0065479763,1,465.8255140239224
65874,-0.003473520278930664,457.28354,4.001837,0.045105025,383.475,0.0,76.06698536872864,0.045105025,132,0.0076058283,1,485.8683196356772
67257,0.024247348308563232,461.28986,3.948425,0.037387952,388.9,0.0,79.76210045814514,0.037387952,133,0.007194071,1,488.881501707132
70257,-0.1183769702911377,480.50986,3.931398,0.033594154,408.95,0.0,83.32860851287842,0.033594154,134,0.0066786013,1,507.1869378413079
73257,-0.04905688762664795,502.379,3.956238,0.031950623,430.875,0.0,86.99606037139893,0.031950623,135,0.0075416192,1,527.6893879138944
76257,-0.1777578592300415,521.7807,3.9363098,0.03893247,451.15,0.0,90.58838701248169,0.03893247,136,0.0068671647,1,546.2559494208333
79257,-0.02859640121459961,542.27185,3.959221,0.034202673,472.0,0.0,94.16325831413269,0.034202673,137,0.006596848,1,565.0956047306097
82257,-0.01043391227722168,561.2029,3.9460678,0.034090698,491.85,0.0,97.57990956306458,0.034090698,138,0.0066986596,1,581.197387377297
85257,-0.07330238819122314,580.29846,3.8988118,0.05079294,511.85,0.0,101.18259906768799,0.05079294,139,0.0067740297,1,600.94665831463
90444,0.022888362407684326,614.8981,3.9229367,0.043966196,547.75,0.0,104.71022343635559,0.043966196,141,0.006456479,2,634.4489182750216
93444,-0.06747496128082275,634.8563,3.9018862,0.049603812,568.325,0.0,108.3341326713562,0.049603812,142,0.0053427108,1,653.7307152828738
96444,-0.026798248291015625,653.2831,3.897516,0.03916037,588.225,0.0,111.9207694530487,0.03916037,143,0.0058088936,1,670.9885351501051
100413,0.0024982094764709473,669.2184,3.879427,0.03781893,607.7,0.0,115.50048875808716,0.03781893,145,0.0058206813,2,686.7741287575442
103413,-0.03568398952484131,688.1509,3.8954713,0.029071942,627.775,0.0,119.11037564277649,0.029071942,146,0.00751598,1,705.724364688577
106413,-0.009299159049987793,707.7659,3.8910902,0.032082822,648.425,0.0,122.71160507202148,0.032082822,147,0.008594164,1,723.8437581361591
109413,0.035823702812194824,727.02637,3.917084,0.029255986,668.875,0.0,126.1580011844635,0.029255986,148,0.0068260157,1,743.2174610606199
