EpThisIter,ev_tdlam_before,surrgain,EpisodesSoFar,entropy,EpRewMean,EpTrueRewMean,EpLenMean,meankl,optimgain,entloss,TimestepsSoFar,TimeElapsed
33,0.21204322576522827,0.043012753,33,4.2622685,42.060528,28.005863351920855,28.424242424242426,0.007186278,0.043012753,0.0,2814,4.804060935974121
14,0.14527028799057007,0.042373896,47,4.2686377,66.94111,53.260069485386694,44.775,0.006539342,0.042373896,0.0,5988,8.638296842575073
8,0.1699565052986145,0.042970985,55,4.235445,97.153694,84.74390112337784,64.725,0.0062441854,0.042970985,0.0,9015,12.360118389129639
8,0.3740383982658386,0.059438724,63,4.213535,119.84233,107.57910524653008,81.275,0.007181746,0.059438724,0.0,11865,16.0455539226532
6,0.4809477925300598,0.045924127,69,4.1175313,147.27884,134.68592868946607,100.925,0.0056634545,0.045924127,0.0,14742,19.80461621284485
4,0.8967546820640564,0.04147204,73,4.105201,182.50764,175.46415975663075,126.0,0.005826416,0.04147204,0.0,17934,23.538797855377197
5,0.9113388136029243,0.045339797,78,4.105104,210.53706,214.1409070670204,147.275,0.0063250894,0.045339797,0.0,21270,27.37449550628662
5,0.941466685384512,0.041183062,83,4.09466,237.09909,249.7527388797593,167.95,0.0055002477,0.041183062,0.0,24498,31.100061655044556
5,0.8143527060747147,0.03616838,88,4.1112742,240.31564,264.3965251840802,174.175,0.006745209,0.03616838,0.0,27282,34.788426876068115
4,0.9642910249531269,0.03651468,92,4.085327,253.65791,287.34128642572387,188.0,0.0057432717,0.03651468,0.0,30534,38.45619750022888
3,0.7329734563827515,0.054803967,95,4.1073003,266.14014,304.44645038608815,200.225,0.006262074,0.054803967,0.0,33042,42.26518225669861
1,0.9500384777784348,0.043857895,96,4.0794616,289.11685,327.47267172157547,220.7,0.0055030836,0.043857895,0.0,36042,45.962719678878784
1,0.9638632424175739,0.04535404,97,4.0356994,302.36383,344.20263714711916,233.05,0.0067985435,0.04535404,0.0,38022,49.69748139381409
1,-0.0011365413665771484,0.029607613,98,3.9849472,328.0422,367.76388237045927,256.375,0.0067333933,0.029607613,0.0,41022,53.36297678947449
2,0.7625706493854523,0.050462864,100,3.9598713,343.4472,384.1242622496346,271.675,0.005374429,0.050462864,0.0,43542,57.057435274124146
1,-0.024156808853149414,0.023945946,101,3.9736636,365.83472,406.5883643007383,293.45,0.0053789644,0.023945946,0.0,46542,60.823872089385986
2,0.004734933376312256,0.043012783,103,3.9542177,394.5147,437.01630764781004,321.8,0.0054781493,0.043012783,0.0,50481,64.5721504688263
1,-0.03791093826293945,0.05062453,104,3.966949,412.88593,455.07508886276975,340.975,0.0057358583,0.05062453,0.0,53481,68.30098557472229
1,-0.009992361068725586,0.03094091,105,3.9632645,432.99585,475.03870620599474,361.725,0.0051547415,0.03094091,0.0,56481,72.02746558189392
1,-0.02457606792449951,0.03142784,106,3.9522157,454.11386,496.2397628472021,383.075,0.0058174795,0.03142784,0.0,59481,75.72277808189392
1,-0.0009026527404785156,0.036061876,107,3.8941271,474.66162,516.3482764458779,404.3,0.00610769,0.036061876,0.0,62481,79.4797203540802
1,-0.0022374391555786133,0.037788965,108,3.9226148,495.5436,536.0626475266096,425.8,0.0051982976,0.037788965,0.0,65481,83.22636651992798
2,0.010315120220184326,0.044401817,110,3.9629214,509.22485,552.6716535146041,442.675,0.0062547396,0.044401817,0.0,69000,87.12720680236816
1,-0.022985339164733887,0.034760974,111,3.9343562,526.77423,568.2439044022454,461.9,0.0065002744,0.034760974,0.0,72000,90.87462854385376
1,-0.03705942630767822,0.03186944,112,3.8873827,545.0454,585.585275935135,482.15,0.0065713283,0.03186944,0.0,75000,94.67130613327026
1,-0.06483113765716553,0.030212369,113,3.8872926,560.51794,600.6110270030115,500.55,0.006460361,0.030212369,0.0,78000,98.39500045776367
1,-0.006267189979553223,0.031214552,114,3.8675845,578.0259,616.6191444383112,519.65,0.0063215913,0.031214552,0.0,81000,102.18211817741394
1,-0.0010182857513427734,0.05872669,115,3.8465517,596.0089,633.4207917877693,539.275,0.0067594317,0.05872669,0.0,84000,105.93190336227417
1,0.1503193974494934,0.03765843,116,3.8832934,614.3005,649.518031363879,559.35,0.0073059862,0.03765843,0.0,87000,109.66091847419739
1,0.3324764370918274,0.03812798,117,3.8826368,631.7875,666.7432211952976,578.875,0.007303008,0.03812798,0.0,90000,113.43794989585876
1,-0.00997912883758545,0.040297784,118,3.890779,648.70874,684.0160773192063,597.75,0.006976322,0.040297784,0.0,93000,117.19615173339844
1,-0.02509307861328125,0.03650707,119,3.8772886,668.29834,702.8515964520118,618.975,0.006614196,0.03650707,0.0,96000,120.98410892486572
2,0.27337533235549927,0.045081396,121,3.8503354,692.28955,727.1366572822226,647.125,0.0067859283,0.045081396,0.0,100578,124.68230772018433
1,-0.008126497268676758,0.039598454,122,3.8204348,705.76184,740.803062280239,663.625,0.005879243,0.039598454,0.0,103578,128.50592350959778
1,0.0014801621437072754,0.04497278,123,3.797784,723.7584,757.5708352404488,684.0,0.0062758992,0.04497278,0.0,106578,132.3042027950287
1,0.004604935646057129,0.03199791,124,3.82431,742.4585,774.3126634801298,704.45,0.0069667744,0.03199791,0.0,109578,136.12324857711792
1,-0.04304349422454834,0.048412375,125,3.7995987,759.4681,790.3107794086061,723.475,0.007279554,0.048412375,0.0,112578,139.92180490493774
1,0.00917273759841919,0.03215521,126,3.789117,777.6285,807.9356479760396,743.775,0.0074814553,0.03215521,0.0,115578,143.69219946861267
1,0.031197845935821533,0.043713644,127,3.7983723,793.9622,824.9163074840917,762.95,0.008579288,0.043713644,0.0,118578,147.43815279006958
1,-0.010298490524291992,0.029749624,128,3.8083267,815.16016,847.6667051997317,785.8,0.0072589787,0.029749624,0.0,121578,151.17611384391785
1,-0.007540106773376465,0.02999184,129,3.8216555,829.6598,861.5981961230716,802.8,0.0065953266,0.02999184,0.0,124578,154.9951775074005
1,-0.016700387001037598,0.027731013,130,3.8145063,846.54706,877.049634474746,822.025,0.0076934136,0.027731013,0.0,127578,158.74982166290283
1,-0.01668858528137207,0.02905248,131,3.8125005,860.97284,891.4639014790971,839.35,0.006728138,0.02905248,0.0,130578,162.60289001464844
1,-0.0030213594436645508,0.03700463,132,3.7803957,878.0299,908.4285759766441,858.7,0.008769099,0.03700463,0.0,133578,166.4855604171753
1,-0.10981035232543945,0.030469947,133,3.7895875,895.0238,924.2305287564905,877.425,0.007973773,0.030469947,0.0,136578,170.32078385353088
1,-0.0014383792877197266,0.042997867,134,3.8875487,911.19836,941.7053532060272,895.925,0.007930318,0.042997867,0.0,139578,174.2304172515869
2,0.02786564826965332,0.045648612,136,3.8710346,907.7744,940.674195447897,899.025,0.00849146,0.045648612,0.0,143925,178.02297592163086
1,0.20360499620437622,0.054160327,137,3.8790953,900.4764,932.3507658894381,893.925,0.007225509,0.054160327,0.0,145293,181.71969199180603
1,0.7479159235954285,0.06302677,138,3.8907185,878.60754,912.4324017174374,875.375,0.0073823077,0.06302677,0.0,146067,185.57487797737122
1,0.1229601502418518,0.035633497,139,3.9356997,883.6504,916.9361712142202,882.925,0.0065410296,0.035633497,0.0,149067,189.3703863620758
1,0.021975457668304443,0.031940702,140,3.9298952,903.2529,938.5346805858178,904.375,0.006493762,0.031940702,0.0,152067,193.0944013595581
1,-0.2618364095687866,0.05436217,141,3.9333816,899.65466,937.8138458488426,904.375,0.006389685,0.05436217,0.0,155067,196.82788467407227
1,-0.07304561138153076,0.033629492,142,3.95652,897.5754,936.9611162659749,904.375,0.0074664843,0.033629492,0.0,158067,200.63535332679749
1,-0.005742311477661133,0.03813337,143,3.9520564,913.08154,953.9180434516769,921.55,0.009000343,0.03813337,0.0,161067,204.4925696849823
