# {"env_id": "Hopper-v2", "t_start": 1551112117.8304212} 
r,l,t
11.015959,18,6.735387
11.185574,14,6.755269
13.196179,20,6.783659
10.673961,13,6.803069
9.818037,11,6.819695
13.456968,17,6.838783
33.236248,32,6.872132
36.897452,42,6.928175
9.258967,18,6.95051
21.873088,24,6.97707
8.572286,12,6.991041
18.625938,21,7.016433
8.858249,11,7.030009
9.974851,14,7.045726
7.953962,11,7.05911
31.584614,32,7.102866
10.154265,28,7.138624
7.021199,11,7.150838
15.004942,21,7.176042
11.031089,17,7.199302
9.680701,13,7.21425
13.287058,15,7.231684
8.377317,12,7.246787
8.46701,10,7.257512
9.361244,15,7.276121
13.146817,16,7.295017
18.544238,30,7.333141
7.257953,15,7.353246
22.14119,20,7.378761
14.466143,18,7.403249
19.975188,28,7.440894
14.952609,19,7.462731
10.023152,13,7.480088
11.825685,20,7.506264
8.868982,20,7.531448
3.704567,7,7.539628
17.448465,18,7.563999
11.256309,14,7.580098
11.691618,20,7.604676
7.2336,12,7.618645
11.001974,15,7.63718
16.622839,23,7.667462
53.87918,49,7.729958
32.060143,29,7.767766
9.007437,18,7.790748
8.951104,11,7.80211
10.864391,19,7.824284
35.732847,37,7.871047
17.511543,26,7.904206
57.27339,50,7.967961
45.03239,36,8.563677
45.294085,32,8.5994
8.083761,34,8.647441
7.317952,10,8.66057
12.270951,19,8.683419
10.383483,18,8.704843
63.636877,40,8.762332
5.962575,15,8.782183
14.909794,17,8.803304
29.203481,39,8.860068
8.216638,14,8.878285
13.142638,16,8.898861
69.405932,47,8.959586
12.267523,14,8.979585
76.101459,46,9.041231
6.257974,11,9.05668
28.81686,39,9.101145
17.392848,17,9.121319
18.387376,31,9.159165
6.862855,14,9.177753
17.176348,24,9.208482
10.161991,16,9.228194
20.855203,19,9.25072
13.042877,20,9.276224
20.338321,19,9.296885
10.47355,12,9.311423
5.963295,9,9.322171
8.233371,13,9.337941
12.693975,20,9.364783
43.693736,38,9.409405
21.838033,23,9.438213
13.198568,25,9.466666
7.494998,9,9.476429
11.778404,15,9.492673
10.723073,29,9.528896
7.410272,11,9.542299
18.176474,18,9.56456
8.17071,12,9.577995
42.581144,31,9.615284
24.679466,30,9.652902
37.171452,52,9.720008
19.167443,24,9.751059
9.477003,16,9.77306
14.469546,16,9.790004
17.216719,21,9.815115
7.941876,14,9.833486
38.672492,53,10.025308
76.924466,55,10.09352
50.336598,35,10.13866
10.780228,15,10.15887
12.387832,22,10.190573
7.575151,13,10.208537
6.160092,12,10.223208
55.386219,50,10.291603
8.367298,18,10.313784
14.11203,14,10.334747
39.849087,37,10.383101
11.634686,18,10.40893
130.539075,85,10.520763
11.059988,17,10.543186
13.419449,36,10.592971
115.414831,99,10.719872
55.928962,76,10.816489
9.868034,18,10.837942
11.490193,16,10.85777
9.013316,15,10.873425
93.061336,52,10.9376
7.392753,13,10.952987
33.732836,40,11.001029
15.22022,27,11.036131
17.530022,19,11.057431
18.444348,22,11.084003
7.563525,10,11.096867
12.173435,28,11.134488
23.79748,25,11.165198
89.981056,60,11.238458
9.031916,12,11.253015
37.306249,53,11.635161
9.866565,20,11.657227
7.941713,17,11.679185
47.396255,34,11.721745
10.642065,22,11.749708
14.42329,17,11.772914
176.725406,139,11.944245
6.258869,17,11.966055
6.933654,11,11.984296
11.19504,20,12.011049
29.512253,45,12.065436
