# {"t_start": 1551112117.874863, "env_id": "Hopper-v2"} 
r,l,t
22.76603,26,6.732316
12.000818,22,6.754165
6.822237,10,6.76684
8.398745,15,6.786643
6.53139,30,6.816184
8.989481,19,6.835971
10.033127,11,6.84799
7.582853,10,6.860265
4.811712,10,6.872837
7.56593,18,6.894866
11.695144,15,6.912698
17.00852,21,6.940731
12.666033,15,6.960258
6.822648,29,6.994577
55.800694,51,7.060838
13.067389,15,7.076243
9.087249,10,7.088765
8.019197,10,7.1015
5.657109,9,7.112309
42.80034,35,7.15445
9.988509,15,7.170808
9.377507,13,7.187503
4.038737,10,7.200602
19.175001,23,7.227843
27.174631,23,7.257072
15.109654,17,7.279676
19.650573,23,7.308219
7.958142,11,7.323338
10.381661,14,7.341294
85.570094,52,7.40197
8.561926,34,7.447829
9.431295,11,7.463471
9.835021,15,7.482859
47.175933,40,7.535306
9.653804,12,7.547706
6.800035,9,7.560186
18.065175,31,7.597603
36.670002,31,7.634989
12.311829,16,7.655434
16.405635,17,7.676775
8.793159,27,7.705054
29.494622,37,7.745348
8.763676,21,7.772186
43.353452,32,7.809691
7.093108,9,7.820893
22.424669,30,7.858578
6.617133,10,7.872653
48.831658,40,7.926756
11.948238,18,7.948424
15.537487,21,8.63201
40.89125,47,8.69097
5.385198,9,8.70311
7.417379,10,8.714641
7.806705,14,8.730949
13.839051,21,8.7548
59.431793,56,8.826431
5.804764,11,8.841866
15.410418,38,8.892602
13.376195,19,8.91987
6.759024,9,8.932374
10.056191,12,8.94519
14.638818,18,8.967592
12.613405,15,8.987915
15.526065,16,9.006097
4.106302,11,9.018234
10.401218,24,9.045183
6.581263,8,9.05389
20.934079,41,9.102267
9.314124,11,9.116691
13.439244,26,9.151809
10.509152,18,9.173977
31.110872,31,9.213137
47.129054,37,9.2551
19.064102,22,9.283543
40.861832,31,9.321652
106.016387,75,9.417383
18.352863,38,9.467423
11.383474,21,9.492681
80.284464,50,9.55606
32.197228,41,9.607334
26.470319,22,9.633701
12.961032,16,9.654799
8.554538,11,9.668749
8.90039,14,9.687576
91.000278,76,9.785777
25.32254,45,9.847191
6.215289,16,9.870879
5.56388,16,9.888785
103.60477,68,10.09747
21.259271,35,10.144894
10.468463,22,10.171407
149.670888,101,10.308871
16.005879,20,10.336672
13.506171,17,10.359454
13.039778,15,10.377617
48.37812,68,10.459904
23.786047,28,10.495736
31.559899,54,10.566321
8.324503,12,10.580801
8.797508,12,10.597173
11.873021,13,10.613348
13.597403,31,10.653992
7.363787,16,10.672737
50.672336,65,10.753665
79.771602,49,10.814343
8.109456,27,10.848552
15.502345,27,10.884844
111.817657,62,10.960522
8.269488,10,10.972014
22.858562,25,10.999911
19.278458,24,11.027021
36.39143,32,11.068166
19.90625,21,11.095655
6.706252,11,11.11011
28.435001,35,11.152969
35.54993,33,11.191689
34.450477,36,11.235809
10.984299,22,11.263704
10.922518,13,11.283532
10.315351,31,11.665466
71.536389,66,11.743008
68.782919,54,11.815191
31.763931,31,11.855813
5.676695,17,11.879237
13.294089,16,11.899798
11.398566,13,11.916723
27.855206,47,11.979818
15.157426,25,12.010399
137.513026,68,12.094815
10.338313,18,12.119691
41.932853,33,12.161254
41.010945,48,12.222111
46.374455,46,12.284855
76.688416,49,12.352698
23.392528,42,12.40984
5.035394,25,12.447102
12.369778,21,12.477551
22.746583,40,12.534258
8.576521,12,12.548067
33.590283,43,12.606448
12.553438,20,12.635446
27.724866,46,12.697829
120.970531,63,12.778845
11.5545,25,12.80981
127.757305,151,13.015167
116.436811,76,13.245201
202.886484,124,13.416074
10.8257,15,13.435005
24.843652,26,13.466752
13.532404,18,13.490495
22.564264,21,13.519968
7.079421,25,13.54956
8.776121,11,13.56461
73.296956,60,13.631935
9.275008,18,13.652343
17.98696,45,13.703676
12.673868,14,13.719059
110.665861,66,13.794041
115.148613,83,13.88891
88.33198,61,13.964586
11.792039,18,13.98668
64.968918,43,14.036063
25.970701,36,14.082958
58.801738,45,14.140658
18.597111,22,14.171538
11.852314,19,14.198035
152.720579,111,14.340734
42.261035,42,14.396774
20.072477,21,14.424849
8.065829,15,14.563739
12.23942,35,14.612204
16.808396,35,14.657762
101.619025,76,14.757237
57.302732,35,14.800008
8.16669,15,14.82094
23.411381,38,14.867079
8.615559,17,14.887907
9.79558,11,14.900154
64.353647,69,14.984727
86.233063,79,15.088092
74.567461,96,15.199777
172.869233,89,15.315871
213.272984,101,15.453742
59.169494,44,15.516376
9.775401,19,15.541452
105.373188,62,15.627617
44.422251,39,15.677823
196.234264,104,15.815315
354.770707,217,16.274149
82.304982,70,16.367026
12.934311,20,16.395501
149.724664,103,16.5414
8.27123,11,16.556747
58.544875,42,16.612582
31.388917,31,16.65106
50.400791,81,16.759694
286.339931,164,16.972328
37.915361,37,17.021305
24.228568,38,17.072815
60.036791,36,17.119672
75.789296,44,17.173674
96.28614,58,17.245587
195.006722,180,17.618837
165.304516,123,17.773384
74.371915,50,17.830783
74.45307,49,17.891248
107.8529,61,17.956263
