EpRewMean,EpLenMean,EpThisIter,TimestepsSoFar,TimeElapsed,EpisodesSoFar,ev_tdlam_before,entloss,meankl,entropy,surrgain,EpTrueRewMean,optimgain
32.394836,30.606060606060606,33,3030,6.840906858444214,33,0.2928628921508789,0.0,0.006949869,4.2735043,0.043348074,31.20665656236695,0.043348074
44.63375,42.55,18,6069,12.309366941452026,51,0.3194884657859802,0.0,0.0070998166,4.254854,0.045621384,44.62379999853367,0.045621384
62.926037,60.625,8,9231,17.01245880126953,59,0.3869110345840454,0.0,0.00564935,4.2336206,0.043412827,68.4267255682751,0.043412827
83.860825,81.3,8,12306,21.462621927261353,67,0.2559724450111389,0.0,0.0067055663,4.2130184,0.043795988,100.68102760082601,0.043795988
100.58772,100.15,5,15012,25.660402536392212,72,0.22597646713256836,0.0,0.0065427045,4.159391,0.049366713,122.35396978206435,0.049366713
122.866806,126.475,2,18603,29.86563754081726,74,0.252983033657074,0.0,0.006290869,4.107664,0.040351488,148.69480331499156,0.040351488
140.73422,149.35,1,21603,34.01959586143494,75,-0.08123648166656494,0.0,0.00768739,4.0779138,0.04301941,171.81426934981977,0.04301941
152.91537,165.0,2,23655,38.247400522232056,77,0.15452152490615845,0.0,0.004907331,4.0809865,0.04487242,189.43527699156212,0.04487242
170.77687,190.25,3,27168,42.42326283454895,80,0.051087260246276855,0.0,0.005399287,4.086274,0.04282957,218.42309636940143,0.04282957
187.67941,214.3,1,30168,46.61384081840515,81,-0.07362329959869385,0.0,0.0061718835,4.1366897,0.046229973,243.21577480974946,0.046229973
207.45442,243.7,2,33897,50.80774259567261,83,0.02938699722290039,0.0,0.004703276,4.1404405,0.038332663,275.3773082558379,0.038332663
226.78223,274.2,3,37947,55.009570837020874,86,0.0946965217590332,0.0,0.006182638,4.109504,0.05237433,307.8879743452061,0.05237433
242.73813,298.875,1,40947,59.25652098655701,87,-0.0013300180435180664,0.0,0.0052641607,4.0381455,0.035911396,333.5718618663056,0.035911396
257.04218,322.55,1,43947,63.49615788459778,88,-0.1012873649597168,0.0,0.0059329043,3.994019,0.047004048,356.6313778337468,0.047004048
269.40823,344.65,1,46947,67.7214298248291,89,-0.02946031093597412,0.0,0.005884014,3.992247,0.029176801,378.98048611233656,0.029176801
283.14105,368.325,1,49947,71.87356877326965,90,0.03756308555603027,0.0,0.0053445213,3.9809642,0.039602473,403.7984864195145,0.039602473
294.9018,390.65,1,52947,76.09831666946411,91,-0.06951403617858887,0.0,0.0064484756,4.015075,0.02530928,426.96038432089665,0.02530928
305.95395,412.4,1,55947,80.29841876029968,92,0.014561235904693604,0.0,0.005428535,4.0411453,0.033767696,448.0557622027885,0.033767696
313.66547,431.075,1,58947,84.51661586761475,93,-0.0033490657806396484,0.0,0.0062142713,4.151848,0.024086509,466.4306019809201,0.024086509
313.04123,435.475,1,60297,88.70746612548828,94,0.03582608699798584,0.0,0.006883924,4.2030873,0.068577334,471.5652297337152,0.068577334
325.9855,459.85,1,63297,92.86931157112122,95,-0.06276726722717285,0.0,0.0059144767,4.223843,0.027164005,496.3763841574846,0.027164005
338.29282,483.725,1,66297,97.13426208496094,96,-0.006862640380859375,0.0,0.0066667125,4.2784157,0.023065366,519.647225797584,0.023065366
343.0208,493.975,1,67812,101.31015658378601,97,0.17928552627563477,0.0,0.005922894,4.2491684,0.07049742,530.762275480765,0.07049742
353.30112,516.2,1,70812,105.53536415100098,98,0.0007843971252441406,0.0,0.006354133,4.2879634,0.033977196,551.1529554198667,0.033977196
369.59155,553.4,2,75999,109.79681611061096,100,0.04841262102127075,0.0,0.005299393,4.3320656,0.042325612,584.1095222333007,0.042325612
381.53247,577.175,1,78999,114.00376105308533,101,-0.1075294017791748,0.0,0.0054976596,4.350771,0.029147558,607.7408052148315,0.029147558
396.6035,611.875,2,84123,118.20493531227112,103,0.008522093296051025,0.0,0.006125436,4.3479004,0.036590416,642.7562774940986,0.036590416
408.33456,635.5,1,87123,122.36625099182129,104,-0.00153350830078125,0.0,0.0060048653,4.3344173,0.024975924,666.6164412627526,0.024975924
417.92072,657.175,1,90123,126.64605712890625,105,0.04590886831283569,0.0,0.005877194,4.314049,0.035063025,687.367546420404,0.035063025
423.07022,674.825,1,93123,130.83742594718933,106,-0.004905104637145996,0.0,0.0061542564,4.3021846,0.03013096,703.0511730937919,0.03013096
434.5053,698.475,1,96123,135.11619663238525,107,-0.0031599998474121094,0.0,0.0075949486,4.31498,0.03177962,726.1798046706451,0.03177962
440.19586,715.6,1,99123,139.39409804344177,108,-0.0046967267990112305,0.0,0.005443103,4.3239403,0.034005374,743.2419202622528,0.034005374
447.99835,735.225,1,102123,143.68672275543213,109,-0.00041663646697998047,0.0,0.007289318,4.3330617,0.027524231,763.2172173198818,0.027524231
457.90536,757.575,1,105123,147.92759156227112,110,-0.013911843299865723,0.0,0.0069352435,4.3281794,0.042940684,784.783237798894,0.042940684
474.3795,795.375,2,110457,152.17278504371643,112,0.022981345653533936,0.0,0.006256515,4.3421235,0.03914718,823.6572182863569,0.03914718
464.7998,795.375,1,113457,156.44558215141296,113,-0.015237092971801758,0.0,0.0055200323,4.358547,0.022842426,822.1018558705931,0.022842426
472.79413,815.45,1,116457,160.6746129989624,114,0.0029145479202270508,0.0,0.006410298,4.336208,0.0400669,841.5882472580485,0.0400669
465.1415,815.45,1,119457,164.92304468154907,115,-0.006992220878601074,0.0,0.0063416585,4.3576593,0.03962422,842.5137503297167,0.03962422
469.90372,830.525,1,122457,169.15207481384277,116,-0.27503061294555664,0.0,0.0052545182,4.321926,0.09883781,858.7588652309989,0.09883781
476.37018,848.35,1,125457,173.38404297828674,117,0.04786556959152222,0.0,0.0056697465,4.3091984,0.044302426,875.8610952060326,0.044302426
470.35995,848.35,1,128457,177.59161472320557,118,-0.01874709129333496,0.0,0.0068827495,4.3131037,0.033586387,875.341727328247,0.033586387
467.70355,856.075,3,132897,181.8238444328308,121,0.2574756145477295,0.0,0.005904719,4.3258653,0.047383558,883.0643447575087,0.047383558
462.90527,856.075,1,135897,186.0133421421051,122,-0.010042786598205566,0.0,0.0079431385,4.3266616,0.028943844,882.4257525446617,0.028943844
