EpRewMean,entropy,TimeElapsed,optimgain,EpTrueRewMean,EpLenMean,surrgain,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,meankl,entloss,EpThisIter
36.954426,4.235264,6.856534004211426,0.043521546,27.809498446803158,30.363636363636363,0.043521546,3006,0.2397400140762329,33,0.0081410725,0.0,33
49.106853,4.215972,12.361716985702515,0.04327967,47.13604104107549,43.3,0.04327967,6027,0.34342968463897705,52,0.0070061265,0.0,19
62.273335,4.1998286,17.20697331428528,0.045636185,68.38071056342844,58.3,0.045636185,8844,0.4544174075126648,60,0.006759065,0.0,8
80.12819,4.174934,21.76425814628601,0.044671636,98.69128265542452,77.725,0.044671636,11919,0.5945136249065399,68,0.0067452383,0.0,8
102.5081,4.130743,25.96390676498413,0.043902464,135.81751198620006,99.45,0.043902464,15087,0.6446884274482727,75,0.006241914,0.0,7
121.89903,4.101738,30.217085123062134,0.041197684,172.28659627346292,119.75,0.041197684,18213,0.864840179681778,81,0.0071302042,0.0,6
134.65427,4.05554,34.493041038513184,0.04366705,199.99043283278064,135.525,0.04366705,21327,0.8629713654518127,87,0.0066696564,0.0,6
145.25255,4.0298533,38.72508406639099,0.041373007,227.2732665477012,150.65,0.041373007,24516,0.9192355871200562,93,0.006396163,0.0,6
148.79036,3.9788203,42.95354866981506,0.042259485,243.4228096767452,158.725,0.042259485,27198,0.9633617624640465,97,0.006878116,0.0,4
159.74048,3.9398806,47.157203912734985,0.048228323,270.2975555794786,174.9,0.048228323,30108,0.9544488862156868,101,0.006750268,0.0,4
165.4919,3.94416,51.338091135025024,0.046031065,294.03349236700603,187.8,0.046031065,33423,0.9778785984963179,105,0.0076086554,0.0,4
170.19894,3.9574876,55.60510730743408,0.050781004,307.4619476003325,199.15,0.050781004,35817,0.8514677137136459,108,0.006108429,0.0,3
183.69574,3.922453,59.79285955429077,0.04207379,338.12034858223603,223.6,0.04207379,39825,0.9888002993538976,110,0.006582356,0.0,2
196.26196,3.9859638,64.01264309883118,0.02874444,358.03753460394034,245.125,0.02874444,42825,-0.06429076194763184,111,0.007485198,0.0,1
207.93156,3.9938335,68.22494101524353,0.023211535,376.74261936243846,266.45,0.023211535,45825,-0.0029311180114746094,112,0.008348899,0.0,1
221.24248,4.015465,72.47542548179626,0.0270354,399.15431144515804,289.7,0.0270354,48825,-0.0030444860458374023,113,0.007987367,0.0,1
228.94907,4.0367355,76.73223662376404,0.038575143,413.94509785690826,308.675,0.038575143,52128,0.07048344612121582,115,0.0054071033,0.0,2
239.80838,4.0750732,81.00257158279419,0.026435558,432.50195556962063,330.075,0.026435558,55128,0.0027219057083129883,116,0.0081124175,0.0,1
244.18173,4.121367,85.25885105133057,0.026296556,439.2754630354286,339.8,0.026296556,56757,0.2369551658630371,117,0.00791918,0.0,1
253.10068,4.13217,89.4517936706543,0.03399649,454.90636950438636,359.65,0.03399649,59757,-0.007482290267944336,118,0.0068793437,0.0,1
262.95227,4.1409893,93.73079180717468,0.054313406,473.1439426432788,380.375,0.054313406,62757,0.141243577003479,119,0.007121099,0.0,1
262.9771,4.1774616,97.94374465942383,0.048639167,473.626335606101,384.65,0.048639167,63918,0.11533147096633911,120,0.0053561996,0.0,1
