TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,entloss,EpTrueRewMean,optimgain
2943,34.13608,29.727272727272727,6.888768911361694,0.2395840287208557,0.0395403,0.0074014226,33,4.238608,33,0.0,30.069166755836076,0.0395403
6264,45.49948,41.7,12.380164861679077,0.3520340919494629,0.047256492,0.007995241,19,4.1609206,52,0.0,52.63177923388021,0.047256492
9243,64.14453,57.925,17.132438898086548,0.5280953645706177,0.03883702,0.006763894,12,4.1699815,64,0.0,92.98681120927326,0.03883702
12186,83.27334,77.025,21.66736888885498,0.7699697613716125,0.035154767,0.00659672,9,4.1694627,73,0.0,135.31339001092653,0.035154767
15060,93.83144,89.05,25.927186250686646,0.8985396772623062,0.039893962,0.005838494,7,4.1721807,80,0.0,164.73986740901472,0.039893962
18093,105.801636,103.025,30.098137855529785,0.9305009618401527,0.046087522,0.007057268,7,4.20559,87,0.0,199.37531243930292,0.046087522
21285,121.29755,119.45,34.32370948791504,0.9542158544063568,0.043557152,0.0061523365,7,4.2011704,94,0.0,239.35604699707568,0.043557152
24273,128.88675,130.95,38.514944553375244,0.9120989739894867,0.048207156,0.0066650407,6,4.1912556,100,0.0,263.3254543683379,0.048207156
27219,142.45149,145.125,42.74056649208069,0.960650559514761,0.044460528,0.0061270692,6,4.187437,106,0.0,299.3115651924405,0.044460528
30294,149.12198,154.025,46.970969676971436,0.9607217088341713,0.042421445,0.0068412432,6,4.1731567,112,0.0,322.02275071887794,0.042421445
33192,156.71736,162.925,51.191794633865356,0.9557696208357811,0.048049346,0.0068371524,4,4.152956,116,0.0,344.2170675726187,0.048049346
35970,173.55869,179.275,55.45492196083069,0.8306463807821274,0.044817355,0.0055695344,2,4.129272,118,0.0,377.59151639304594,0.044817355
38595,190.59787,198.375,59.58193922042847,0.05452913045883179,0.03812245,0.0063079232,1,4.092043,119,0.0,411.24715439528046,0.03812245
39453,196.06035,203.275,63.719372510910034,0.9101418405771255,0.049428135,0.006574465,1,4.0639367,120,0.0,422.75844208139114,0.049428135
42906,214.00302,225.7,67.94890022277832,0.9602906405925751,0.050531402,0.006603301,2,4.0132213,122,0.0,467.7784724395976,0.050531402
46242,229.72212,247.475,72.14409685134888,0.24776136875152588,0.04346849,0.0054380577,2,3.9919815,124,0.0,507.8013165314351,0.04346849
49242,243.59541,268.425,76.35700583457947,-0.07562994956970215,0.03349106,0.0067716595,1,3.9752824,125,0.0,544.3114280976234,0.03349106
52737,251.87686,285.325,80.58543348312378,0.6665562689304352,0.051857743,0.005868802,3,3.9720533,128,0.0,569.1737862016678,0.051857743
57171,270.72632,314.275,84.80356073379517,0.6481324136257172,0.050662998,0.0070427544,2,3.9472957,130,0.0,624.039155288226,0.050662998
61440,282.58127,338.35,88.97397565841675,0.388336181640625,0.04483864,0.007239624,3,3.9619675,133,0.0,662.5413953600715,0.04483864
66624,307.26593,374.15,93.05724143981934,0.948673740029335,0.044614054,0.0066088117,2,3.9486942,135,0.0,734.7926801553067,0.044614054
68970,319.13025,389.325,97.18575286865234,0.9355666935443878,0.051842358,0.0071497215,1,3.9468923,136,0.0,772.1359270460938,0.051842358
71970,334.15778,410.275,101.35804986953735,0.008122146129608154,0.0389985,0.0066725966,1,3.9361646,137,0.0,819.3562895428634,0.0389985
76191,353.1443,437.775,105.5738890171051,0.9565519131720066,0.055406146,0.0068147555,2,3.9384153,139,0.0,877.3841960861034,0.055406146
79191,367.94366,457.65,109.75291013717651,0.1829524040222168,0.04185608,0.007814076,1,3.9574203,140,0.0,927.368340022739,0.04185608
83172,384.7545,483.35,114.05832171440125,0.2019522786140442,0.061855648,0.007753325,2,3.9609988,142,0.0,982.0686599987675,0.061855648
85095,386.26553,491.475,118.2792797088623,0.3385399580001831,0.048993345,0.006843609,2,3.9416807,144,0.0,988.3407102878848,0.048993345
88095,399.67938,512.85,122.46136808395386,-0.18759727478027344,0.03673193,0.0060149403,1,3.9602664,145,0.0,1035.8531648680905,0.03673193
92217,418.3947,537.725,126.66291403770447,0.8946019411087036,0.050537143,0.007594617,2,3.9559703,147,0.0,1101.7888980348755,0.050537143
95217,433.62143,559.05,130.85054540634155,0.08382683992385864,0.030691408,0.00826904,1,3.9790573,148,0.0,1152.8133377361075,0.030691408
98304,445.12875,575.275,135.05888438224792,0.9140769466757774,0.04961884,0.0066801,2,3.9806445,150,0.0,1192.9583037094944,0.04961884
102240,461.80704,594.65,139.23328852653503,0.7568597793579102,0.05392628,0.0071644657,3,4.002234,153,0.0,1248.0582404358672,0.05392628
104733,461.98553,596.175,143.42422604560852,0.8812649175524712,0.053686615,0.0077632284,3,4.0025935,156,0.0,1258.5841988199613,0.053686615
105918,462.01367,594.95,147.67146492004395,0.9497415609657764,0.056770895,0.0075856782,1,3.9869685,157,0.0,1266.1681857228991,0.056770895
108918,451.43057,586.025,151.90306520462036,0.9447296783328056,0.05099809,0.0070196753,2,3.9701838,159,0.0,1267.1934606598436,0.05099809
110796,450.4712,586.15,156.13852095603943,0.6469213366508484,0.052921664,0.007472734,2,3.9389668,161,0.0,1276.2621380487592,0.052921664
113580,432.2309,561.15,160.395512342453,0.9177047163248062,0.05712968,0.007014975,3,3.9370968,164,0.0,1242.182776750818,0.05712968
117528,424.94403,539.925,164.64596128463745,0.7853401452302933,0.054992918,0.0072864424,4,3.9243834,168,0.0,1233.5256089891973,0.054992918
120609,402.40005,503.65,168.83493065834045,0.7577685564756393,0.060070824,0.006948541,3,3.918459,171,0.0,1182.2691773764518,0.060070824
122097,412.06805,512.2,173.0691499710083,0.8456973880529404,0.053250693,0.007779326,1,3.8945942,172,0.0,1213.8814836832084,0.053250693
125355,415.6395,511.575,177.2576823234558,0.9588656090199947,0.050612345,0.0075663356,2,3.8990157,174,0.0,1236.0343179500028,0.050612345
128637,407.96277,497.225,181.39957284927368,0.9813042972236872,0.057123553,0.0070729135,2,3.8722763,176,0.0,1222.3830645035068,0.057123553
131403,396.3875,473.7,185.60389947891235,0.9555829130113125,0.055249646,0.007713128,2,3.8515644,178,0.0,1193.7303334698947,0.055249646
134097,354.3741,412.85,189.81022429466248,0.6105934977531433,0.06837743,0.009627371,5,3.824103,183,0.0,1067.9689520111165,0.06837743
137052,339.26947,384.675,194.06418371200562,0.9140725061297417,0.054587044,0.0071777217,3,3.8097823,186,0.0,1020.5552674226522,0.054587044
139665,327.669,363.225,198.29838371276855,0.9715634882450104,0.058804296,0.007921036,3,3.8086848,189,0.0,980.6551921699589,0.058804296
142917,309.4147,338.975,202.45726466178894,0.936324954032898,0.048936337,0.0075171,4,3.7899785,193,0.0,929.451376240743,0.048936337
146481,319.4199,347.9,206.65043258666992,0.9639352671802044,0.06272661,0.0075018457,3,3.7918394,196,0.0,963.7758548822694,0.06272661
150717,316.57968,348.325,210.88068890571594,0.7408290505409241,0.05841509,0.007827288,3,3.803039,199,0.0,965.7790639225735,0.05841509
151539,312.55634,344.575,215.09413194656372,0.9092425629496574,0.052412555,0.006750726,1,3.7818525,200,0.0,954.0163457311783,0.052412555
154437,327.55133,363.675,219.28902959823608,0.9654793068766594,0.05612378,0.0078056557,1,3.7646465,201,0.0,1009.94123765574,0.05612378
157227,342.0807,382.125,223.47746920585632,0.8235910385847092,0.060204104,0.007532494,1,3.7595587,202,0.0,1064.2802177845601,0.060204104
160002,347.09552,386.85,227.7123053073883,0.9077927842736244,0.059542336,0.007652644,2,3.789557,204,0.0,1081.1062015305156,0.059542336
164988,362.4947,404.8,231.84939694404602,0.8995078578591347,0.07020657,0.008000044,3,3.7866817,207,0.0,1140.2709268772696,0.07020657
167976,363.74878,403.125,236.01188731193542,0.8343398123979568,0.06858606,0.0083595645,3,3.793886,210,0.0,1141.014794983234,0.06858606
