entloss,EpRewMean,EpisodesSoFar,optimgain,entropy,EpTrueRewMean,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,surrgain,TimeElapsed
0.0,21.504496,40,0.040679142,4.2455664,22.644506539313333,26.275,0.3832453489303589,0.007767249,3153,40,0.040679142,6.418598890304565
0.0,33.558025,58,0.04419574,4.202303,38.612406519258265,40.4,0.5024863183498383,0.0072573926,6204,18,0.04419574,11.661131381988525
0.0,50.566597,68,0.040421117,4.1744604,67.5394234169502,60.95,0.47395819425582886,0.0064246934,9447,10,0.040421117,16.80017614364624
0.0,63.86167,80,0.047352728,4.199435,95.26390081834509,78.4,0.3746449947357178,0.0066485647,12561,12,0.047352728,21.672207593917847
0.0,70.85703,87,0.05880118,4.195497,113.85764995049388,90.45,0.36195242404937744,0.006314963,15444,7,0.05880118,26.29797911643982
0.0,82.233116,88,0.040835932,4.195402,131.92217702366756,106.55,0.2663978934288025,0.0063308673,17466,1,0.040835932,30.937791109085083
0.0,97.50081,89,0.04191946,4.186673,158.5452115012246,130.7,0.07506853342056274,0.0054704435,20466,1,0.04191946,35.2284619808197
0.0,116.630775,91,0.0643889,4.188139,194.17082846275187,159.525,0.8786906749010086,0.006072912,24204,2,0.0643889,39.443845987319946
0.0,135.36626,93,0.049182776,4.187317,231.08802662007497,190.675,0.6163345873355865,0.006127676,28110,2,0.049182776,43.66518712043762
0.0,142.12589,95,0.039287485,4.1676655,248.93781877529364,206.175,0.07632017135620117,0.0068283733,30558,2,0.039287485,47.871990442276
0.0,153.55078,96,0.030429073,4.1340923,274.71909930637923,230.25,-0.09433960914611816,0.00596359,33558,1,0.030429073,52.124314308166504
0.0,164.08557,97,0.02973207,4.123994,298.2345610777181,253.775,-0.15626990795135498,0.006387568,36558,1,0.02973207,56.31080937385559
0.0,169.27399,98,0.05321601,4.1234117,311.42305010739176,265.225,0.22762340307235718,0.0058299256,38031,1,0.05321601,60.56822085380554
0.0,167.71713,99,0.05694462,4.1253586,314.81267086405876,266.25,0.7212582230567932,0.006186408,38931,1,0.05694462,64.8174798488617
0.0,175.70248,100,0.033231176,4.179782,335.83699765915605,287.775,-0.06673681735992432,0.0059193764,41931,1,0.033231176,69.05536103248596
0.0,182.24089,101,0.048593678,4.159609,356.242996168676,305.55,0.9539887867867947,0.0061717876,44502,1,0.048593678,73.22564315795898
0.0,190.17578,102,0.042958368,4.152488,380.06037715635665,327.95,0.03548556566238403,0.006145087,47502,1,0.042958368,77.41738295555115
0.0,198.94473,103,0.031197399,4.1448083,405.29912505465035,351.6,0.09261655807495117,0.00559052,50502,1,0.031197399,81.56020212173462
0.0,207.63623,104,0.04027346,4.139131,429.71724318311874,375.35,0.03676795959472656,0.0059410073,53502,1,0.04027346,85.7793231010437
0.0,216.52254,105,0.035928022,4.0912704,455.9400531341689,399.35,0.03721100091934204,0.005895298,56502,1,0.035928022,89.98182010650635
0.0,222.61955,106,0.035060346,4.0575266,476.9941996849601,420.95,0.0003243088722229004,0.005769155,59502,1,0.035060346,94.16434693336487
0.0,230.44792,107,0.03329061,4.0455317,501.3446716048949,444.675,-0.025519609451293945,0.0067041954,62502,1,0.03329061,98.40650844573975
0.0,236.9833,108,0.057506412,4.053247,523.3653007835055,467.125,-0.0663917064666748,0.007637428,65502,1,0.057506412,102.64004373550415
0.0,247.86528,110,0.040889286,4.0943675,561.0273188745505,504.7,0.03941231966018677,0.006117846,70506,2,0.040889286,106.86550307273865
0.0,254.79253,111,0.029766383,4.1152053,583.9303786781927,527.525,-0.01816999912261963,0.006747795,73506,1,0.029766383,111.00520396232605
0.0,259.80603,112,0.030725941,4.095213,604.5480837450041,548.1,0.039442598819732666,0.005925718,76506,1,0.030725941,115.20544171333313
0.0,266.25165,113,0.02741946,4.0497055,627.8746328901241,571.025,-0.03769886493682861,0.0070441253,79506,1,0.02741946,119.43139362335205
0.0,271.9362,114,0.039545827,4.0014935,649.2808270339553,592.95,-0.027208328247070312,0.006549266,82506,1,0.039545827,123.67853617668152
0.0,279.45734,115,0.04162587,3.9829097,673.8394055466081,616.9,-0.10389482975006104,0.007297958,85506,1,0.04162587,127.94613075256348
0.0,286.0359,116,0.0333481,3.9932857,698.0622437836018,639.625,0.01203453540802002,0.006996924,88506,1,0.0333481,132.1621334552765
0.0,290.91913,117,0.042222314,4.0024724,720.6348953085724,661.05,0.023985862731933594,0.0068260394,91506,1,0.042222314,136.41834139823914
0.0,297.8913,118,0.0494326,3.998901,745.4385855379229,684.7,0.1422964334487915,0.0068974034,94506,1,0.0494326,140.66706657409668
0.0,305.61365,119,0.037381437,3.9792767,771.2650317400858,709.05,-0.005788564682006836,0.0069429395,97506,1,0.037381437,144.79507064819336
0.0,316.5725,121,0.037692264,4.0060725,816.7799097780182,752.7,-0.01580798625946045,0.0064523444,103506,2,0.037692264,149.02192091941833
0.0,322.21732,122,0.044468306,4.0138016,839.8464312187832,774.55,-0.0207747220993042,0.006342155,106506,1,0.044468306,153.1805694103241
0.0,331.3181,124,0.051666014,3.997221,875.2043586955635,806.95,0.4901885390281677,0.00703823,111072,2,0.051666014,157.34325981140137
0.0,331.0694,126,0.04920177,4.0065618,881.9407083155083,812.525,0.07374000549316406,0.007458862,112479,2,0.04920177,161.5413155555725
0.0,300.05368,130,0.066375405,4.0054035,848.916767887145,780.625,0.29491156339645386,0.008446001,116607,4,0.066375405,165.760488986969
0.0,284.1709,132,0.062444955,3.9955733,832.361388843297,768.5,0.08925116062164307,0.0076747425,119424,2,0.062444955,169.9558401107788
0.0,287.1542,133,0.04439307,3.9883485,849.9902055589548,785.95,0.04823368787765503,0.0072522243,122424,1,0.04439307,174.1878490447998
0.0,294.27405,134,0.058469314,3.9915087,875.1477180802185,808.55,0.7240615785121918,0.0067878976,125424,1,0.058469314,178.38970589637756
0.0,292.2344,135,0.053459473,3.9762197,882.6316598805612,815.55,0.024275243282318115,0.007046641,128424,1,0.053459473,182.55630040168762
0.0,287.2784,136,0.045946524,3.9587328,883.1722274665433,815.55,-0.004745125770568848,0.0069276323,131424,1,0.045946524,186.79271841049194
0.0,280.71844,137,0.086388886,3.961157,875.426768139843,806.125,-0.058997154235839844,0.0064785457,133293,1,0.086388886,191.02637839317322
0.0,282.5157,138,0.04480441,3.9708498,888.1790874598437,818.85,0.03577691316604614,0.0074848626,136293,1,0.04480441,195.28766083717346
0.0,285.36728,139,0.04792936,3.9719527,902.3022214712498,832.25,0.06743466854095459,0.006751091,138801,1,0.04792936,199.4624001979828
