surrgain,entropy,EpThisIter,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,TimestepsSoFar,TimeElapsed,entloss,optimgain,meankl,EpRewMean
0.041151777,4.1857076,44,44,23.413561308399306,0.25983214378356934,23.525,3225,6.513481616973877,0.0,0.041151777,0.008045354,20.521854
0.041812263,4.0797973,16,60,52.24348320073936,0.2624547481536865,41.675,6429,11.75166654586792,0.0,0.041812263,0.0070285564,38.51886
0.046695895,4.0344553,9,69,86.22321270791521,0.6562438309192657,58.45,9171,16.91498589515686,0.0,0.046695895,0.005894859,53.894695
0.048045427,3.9846253,9,78,125.44709969823438,0.5469087958335876,78.125,12267,21.868964433670044,0.0,0.048045427,0.0066576675,70.60823
0.04315322,3.896509,8,86,169.4083948159595,0.8368519991636276,100.7,15837,26.499231576919556,0.0,0.04315322,0.005919962,87.64833
0.046323676,3.8805234,7,93,193.8358882550519,0.7873038649559021,112.675,18627,31.096810579299927,0.0,0.046323676,0.006437033,94.528275
0.044959273,3.8305728,7,100,232.88935510100106,0.9076064452528954,127.925,21780,35.45399618148804,0.0,0.044959273,0.0068449453,102.96126
0.044647846,3.7791445,5,105,258.7284935439913,0.8432107120752335,143.825,24954,39.631712913513184,0.0,0.044647846,0.0060799792,110.94645
0.05866892,3.7805417,4,109,278.65775222942506,0.8213096410036087,152.975,27528,43.9022319316864,0.0,0.05866892,0.00567885,114.8111
0.054431472,3.7670882,4,113,303.3041994397869,0.8190678358078003,166.475,30351,48.137068033218384,0.0,0.054431472,0.0067766216,122.46051
0.05573599,3.7466414,2,115,311.47857841381403,0.5313745439052582,171.775,31629,52.33031678199768,0.0,0.05573599,0.006819404,124.894226
0.04744641,3.727806,1,116,339.755453205418,0.9011881574988365,191.6,34536,56.5147807598114,0.0,0.04744641,0.0062486194,136.48686
0.05292871,3.7284305,3,119,358.5169229594262,0.5901913642883301,200.625,37338,60.65451526641846,0.0,0.05292871,0.0065256786,141.50761
0.05431425,3.7538834,3,122,385.43645669268335,0.7284051775932312,217.9,40656,64.8648772239685,0.0,0.05431425,0.006338647,151.0824
0.0571526,3.7707584,2,124,440.82552313338084,0.6780816912651062,247.675,44955,69.0398485660553,0.0,0.0571526,0.006998499,170.93694
0.05685825,3.7982485,1,125,465.81940396498504,0.5973189771175385,261.1,46857,73.24496102333069,0.0,0.05685825,0.006810865,179.36337
0.042296797,3.7786176,2,127,488.29289487227396,0.6346271932125092,272.65,48921,77.46631145477295,0.0,0.042296797,0.0063275723,186.48714
0.050249264,3.7704754,3,130,526.7242252166259,0.6136475503444672,293.175,52692,81.67116332054138,0.0,0.050249264,0.0062850723,199.80777
0.049765125,3.7173164,3,133,574.7485955610694,0.9355920478701591,315.9,56535,85.88167834281921,0.0,0.049765125,0.0067124018,216.8127
0.04664585,3.687989,2,135,649.7744532754308,0.24531519412994385,357.325,62250,90.09007835388184,0.0,0.04664585,0.0075809555,242.93413
