EpThisIter,EpLenMean,EpTrueRewMean,surrgain,TimestepsSoFar,EpRewMean,ev_tdlam_before,entropy,EpisodesSoFar,entloss,optimgain,TimeElapsed,meankl
30,34.4,32.83446598686874,0.042537607,3096,34.17279,0.21305978298187256,4.2332997,30,0.0,0.042537607,6.462028503417969,0.0076343273
20,42.325,46.12588636918186,0.03778643,6177,37.866066,0.33416879177093506,4.2065144,50,0.0,0.03778643,11.734663009643555,0.0064949878
11,56.6,72.80413476030249,0.045632318,8952,48.471832,0.4174181818962097,4.162298,61,0.0,0.045632318,16.91752862930298,0.0071624424
6,78.05,112.78596787136357,0.045808278,12054,66.67175,0.8366516828536987,4.1259084,67,0.0,0.045808278,21.880987882614136,0.006087741
7,96.6,153.77239302078715,0.039483704,14997,82.185875,0.8958650007843971,4.1496196,74,0.0,0.039483704,26.54044532775879,0.0064557292
6,112.625,187.81582158651662,0.038658213,17949,93.839005,0.9272685423493385,4.126222,80,0.0,0.038658213,31.182007551193237,0.005606941
5,126.45,215.4685796973772,0.039108932,20490,102.66805,0.9713162574917078,4.1147165,85,0.0,0.039108932,35.541210412979126,0.007861306
5,146.275,250.62792837063324,0.045850366,23730,114.388306,0.9701870139688253,4.085571,90,0.0,0.045850366,39.81462645530701,0.006286031
4,161.3,275.4477212325568,0.047251835,26688,121.66388,0.925330400466919,4.0620713,94,0.0,0.047251835,44.062705278396606,0.00672552
3,176.675,302.1903222316049,0.0459039,29124,130.1596,0.978249978274107,4.0085444,97,0.0,0.0459039,48.31889057159424,0.0065069366
3,192.75,328.87527600470867,0.05365698,31989,137.28595,0.9844666691496968,3.9874873,100,0.0,0.05365698,52.57063364982605,0.006711365
2,206.3,350.22905330407303,0.03774746,34281,143.59016,0.9879034124314785,3.9597182,102,0.0,0.03774746,56.83697485923767,0.0064633437
1,227.775,371.3492995044773,0.046948325,37281,152.12363,0.4266625642776489,3.9789064,103,0.0,0.046948325,61.0632758140564,0.006671017
1,227.975,369.7011834456409,0.04747821,37968,150.29501,0.5438865721225739,3.962525,104,0.0,0.04747821,65.34405446052551,0.0065653063
2,269.975,407.5655859692537,0.030528514,43968,164.2185,0.03845137357711792,3.9276104,106,0.0,0.030528514,69.64907383918762,0.0069151726
1,290.95,426.99627410498414,0.024920471,46968,170.4501,0.008942782878875732,3.9196532,107,0.0,0.024920471,73.93669295310974,0.008294093
1,311.575,445.0912714155961,0.03870618,49968,176.34763,0.08845126628875732,3.895026,108,0.0,0.03870618,78.18503189086914,0.0066763805
2,320.1,448.2839100767795,0.047174305,51777,176.41476,-0.008360147476196289,3.906218,110,0.0,0.047174305,82.44557356834412,0.007008331
1,341.7,469.1070057611199,0.033270016,54777,182.89787,-0.19287121295928955,3.9638958,111,0.0,0.033270016,86.72422456741333,0.007480096
2,369.45,494.42701960914746,0.040491477,58881,189.63568,0.007695972919464111,3.9667358,113,0.0,0.040491477,90.99652457237244,0.006630646
1,390.7,515.3076218458199,0.03190904,61881,195.3604,0.0052071213722229,3.9612489,114,0.0,0.03190904,95.25030207633972,0.0071792435
1,407.3,530.7320667430595,0.05781042,64281,199.82584,0.723649650812149,3.9994566,115,0.0,0.05781042,99.51748633384705,0.0067915968
1,428.5,550.1675749805021,0.035721056,67281,204.80212,-0.05271637439727783,3.9822695,116,0.0,0.035721056,103.81380701065063,0.0059962394
1,449.225,569.1984338473154,0.047736425,70281,209.49304,-0.023178458213806152,4.030829,117,0.0,0.047736425,108.02011108398438,0.007550787
1,469.575,587.5398299450411,0.030936826,73281,213.73044,-0.002209186553955078,4.0064087,118,0.0,0.030936826,112.25099849700928,0.0069156303
1,490.1,607.0322146058915,0.03431933,76281,218.13425,-0.05257916450500488,4.071755,119,0.0,0.03431933,116.50399446487427,0.008251858
1,511.1,626.7822703383447,0.031799864,79281,222.6916,0.012730956077575684,4.056763,120,0.0,0.031799864,120.74248909950256,0.007445283
1,532.075,645.8712407654654,0.031411435,82281,227.40219,-0.21276402473449707,4.094825,121,0.0,0.031411435,125.01322174072266,0.006672005
1,552.4,664.9611804420907,0.063701555,85281,231.8704,0.1199883222579956,4.076906,122,0.0,0.063701555,129.21231126785278,0.0072195427
1,573.825,686.9673694392617,0.03338173,88281,237.02466,-0.05249059200286865,4.0878625,123,0.0,0.03338173,133.410462141037,0.0067508873
1,591.375,704.2249230466048,0.045641266,90972,240.59563,0.1706385612487793,4.099419,124,0.0,0.045641266,137.66133546829224,0.0072724004
1,612.35,724.315706725541,0.04183247,93972,245.28369,-0.11748504638671875,4.0948563,125,0.0,0.04183247,141.98872876167297,0.0067306045
1,631.675,744.4736145229305,0.04051459,96972,249.70883,-0.003057241439819336,4.0690384,126,0.0,0.04051459,146.30219340324402,0.0070959656
2,669.75,777.7660579427063,0.04214984,102756,256.87607,0.4965099096298218,4.0828876,128,0.0,0.04214984,150.5199773311615,0.0064093494
1,689.075,794.9670499596417,0.04182922,105756,260.48062,-0.01056981086730957,4.1077046,129,0.0,0.04182922,154.7345473766327,0.0071012033
1,708.55,811.9776485525285,0.041672535,108756,264.012,-0.13522088527679443,4.0891037,130,0.0,0.041672535,158.92117285728455,0.006355596
1,724.95,825.0897884286902,0.05289867,111756,266.22284,-0.02801036834716797,4.088621,131,0.0,0.05289867,163.16131138801575,0.0069875456
1,743.95,845.9046261486441,0.034040965,114756,270.20856,0.03850311040878296,4.1085224,132,0.0,0.034040965,167.4183051586151,0.006713672
1,762.775,863.0905113296903,0.053686857,117756,273.4869,0.07400345802307129,4.094171,133,0.0,0.053686857,171.7301607131958,0.008553747
1,783.9,886.2308394890781,0.035680406,120756,278.74506,-0.0796058177947998,4.104981,134,0.0,0.035680406,175.93689966201782,0.005611252
1,802.8,902.3291382600888,0.028254015,123756,282.17273,0.046467125415802,4.1706305,135,0.0,0.028254015,180.1771297454834,0.007237419
1,819.875,918.4178811150821,0.028196055,126756,285.02197,0.054611146450042725,4.2131023,136,0.0,0.028196055,184.42196321487427,0.005643962
