# {"env_id": "Hopper-v2", "t_start": 1555560380.5829031} 
r,l,t
18.355492,29,21.916475
15.918394,17,22.051615
19.411634,27,22.318039
8.952704,12,22.403997
15.800836,18,22.521889
11.039722,19,22.6379
16.130415,16,22.75783
11.015015,13,22.892048
18.384962,22,23.136266
10.367462,15,23.28949
17.813706,25,23.53766
9.749625,12,23.697003
5.908637,10,23.806612
5.34809,22,24.019741
6.941518,16,24.147531
8.80686,14,24.3128
14.003045,19,24.524982
9.696477,14,24.652001
10.029077,26,24.91837
12.907532,20,25.099618
16.570044,18,25.222746
13.225566,17,25.347978
16.53377,17,25.495954
7.488162,10,25.566711
19.070113,19,25.728971
13.538562,32,25.949231
38.790763,35,26.227725
12.005331,14,26.336845
6.989139,18,26.495821
5.776506,9,26.534703
17.547829,19,26.710067
17.073379,17,26.836056
14.84497,16,26.953504
3.792737,7,27.004406
8.371132,16,27.132208
10.460495,15,27.237905
8.073782,14,27.338709
12.036672,13,27.458433
21.847744,22,27.611003
4.507087,7,27.645867
21.078397,22,27.804771
17.108894,22,28.019654
14.498288,15,28.107075
5.992875,8,28.202075
21.428284,21,28.331761
14.388734,18,28.482921
42.466326,52,28.888159
37.272585,34,29.205062
18.967199,24,29.489802
6.530071,11,29.589703
7.219681,10,29.632879
16.546635,16,29.721078
15.02631,20,29.886611
7.916139,12,29.957428
8.49985,14,30.062081
6.757762,12,30.192463
8.135518,11,30.261978
15.617511,19,32.764606
76.300754,44,32.956519
10.432787,14,33.026272
13.722554,18,33.145802
4.737061,10,33.219984
8.153801,17,33.312179
16.889609,21,33.457269
17.392304,26,33.62265
5.940164,24,33.825281
10.264944,14,33.933636
5.446577,22,34.141679
12.991413,23,34.335956
12.287378,15,34.45619
13.56752,21,34.61728
19.619248,25,34.790131
13.484736,28,34.96718
18.151239,23,35.161512
21.754475,25,35.394233
20.622085,37,35.605391
9.896303,12,35.682962
7.556352,12,35.763492
14.57483,19,35.947081
48.171118,36,36.230869
8.081884,15,36.358876
33.042905,32,36.614926
10.282855,15,36.735425
11.476234,15,36.858022
11.823899,37,37.201097
16.547521,30,37.436355
9.927978,18,37.569253
9.875307,12,37.668276
20.866562,19,37.88337
5.420785,12,37.970611
9.852269,16,38.113538
11.858102,13,38.214939
5.112225,12,38.294985
7.260138,13,38.416668
18.640778,29,38.700532
19.454857,20,38.889895
9.445897,22,39.059379
9.647582,16,39.200454
30.737177,26,39.413372
15.077423,16,39.5672
11.969727,21,39.757909
7.850861,16,39.899282
10.823837,17,40.037924
18.512636,20,40.196841
8.288846,27,40.450131
16.111453,21,40.648732
4.781209,13,41.593876
8.487954,30,41.853993
11.320413,14,41.985163
17.946852,33,42.287064
18.887281,20,42.446876
10.254474,22,42.650093
13.292564,26,42.885848
43.50497,43,43.293788
10.610514,18,43.429032
24.791802,45,43.864007
18.664816,20,44.049285
5.90211,32,44.301441
9.713484,23,44.534733
17.229493,26,44.711406
6.763251,10,44.787585
13.289568,18,44.91675
23.822147,30,45.190509
10.091394,20,45.399609
9.596361,17,45.591719
10.775598,13,45.725814
20.286559,22,45.93063
18.880867,26,46.234151
17.827856,26,46.494968
4.185356,23,46.741992
10.916864,25,47.016379
195.325811,101,48.094808
17.669405,23,48.355559
9.380332,15,48.568699
14.375634,26,48.914807
18.273489,24,49.202348
6.801571,9,49.341075
3.37126,25,49.637232
35.523833,36,50.106991
29.094362,28,50.42318
36.411928,27,50.688951
29.664053,27,50.953998
10.862848,15,51.118135
16.855327,23,51.389838
12.238467,25,51.647058
13.135089,19,51.848975
7.839702,10,51.947465
11.883542,25,53.7554
26.853909,43,54.297523
11.850165,22,54.601262
11.286421,21,54.803643
11.380201,19,55.039608
5.486075,16,55.233944
8.496996,15,55.40211
53.340771,54,56.038589
5.195795,12,56.166623
98.955838,63,56.856982
7.499417,10,56.987729
