# {"t_start": 1555560382.050884, "env_id": "Hopper-v2"} 
r,l,t
6.617524,11,21.870682
7.026548,10,21.944218
18.627254,22,22.126708
8.590694,22,22.325799
10.253264,13,22.496713
16.202905,19,22.724549
10.516367,13,22.86671
10.730395,17,23.042631
7.209411,18,23.226667
8.797002,11,23.349557
7.061264,10,23.430556
10.470008,12,23.517202
12.712421,23,23.67777
7.216961,15,23.83778
8.680617,11,23.924331
20.274067,20,24.082231
5.89147,15,24.238038
10.783249,21,24.383278
33.813481,30,24.670388
7.422379,14,24.755554
7.946364,14,24.849847
10.288278,12,24.978031
10.397177,20,25.158553
6.9276,11,25.244792
20.012085,28,25.484842
12.13538,19,25.652944
8.8243,13,25.694978
28.982595,30,25.94843
14.20782,21,26.089551
18.301929,20,26.215357
16.05134,19,26.337902
9.930753,14,26.458664
102.791495,60,26.944721
26.665726,24,27.120488
135.573236,85,27.796405
12.286856,16,27.953324
18.108365,18,28.065845
4.521141,22,28.193931
10.031403,14,28.297376
13.019547,22,28.438633
32.467594,31,28.719884
10.443089,35,29.018051
12.31077,26,29.174142
33.22713,27,29.367933
7.549047,17,29.488341
8.72195,12,29.562966
14.039434,16,29.662316
9.030984,14,29.770578
56.839559,39,32.561537
14.367233,22,32.72976
6.131924,13,32.815663
5.827726,10,32.896163
9.23234,11,32.962528
8.583043,16,33.045725
11.537975,20,33.223176
6.422492,14,33.297382
37.846517,38,33.565836
15.640628,24,33.767282
8.178549,13,33.872666
17.855669,18,33.994056
8.130487,26,34.18737
7.558638,15,34.278528
7.915058,11,34.343011
10.704449,19,34.536954
9.599718,23,34.737876
6.429699,9,34.799641
8.129952,13,34.97173
20.380552,22,35.17037
4.43519,9,35.232575
9.190876,18,35.376385
4.111177,8,35.451977
8.945096,13,35.58296
10.929388,14,35.74668
7.385771,11,35.837134
14.102656,19,35.98556
11.23208,21,36.17713
12.741099,34,36.452638
56.655542,40,36.816544
4.468361,20,36.978518
4.845824,8,37.05525
8.711219,13,37.157055
15.045163,17,37.283974
9.694716,15,37.441985
12.315944,17,37.582702
7.521767,12,37.716465
101.530571,56,38.229054
10.507868,24,38.433217
9.957659,12,38.518606
14.325841,15,38.645396
23.390542,25,38.817478
71.76176,48,39.226659
9.158804,13,39.326089
6.469139,8,39.38724
9.471451,14,39.518984
14.502839,19,39.655896
7.61524,10,39.74849
30.45332,31,40.054941
8.274641,15,40.255811
16.610282,17,40.418438
20.769688,17,40.5829
32.12373,28,40.8256
8.969421,14,40.964838
7.084139,10,41.0618
12.092011,19,41.226724
87.483553,63,42.515971
12.705965,20,42.641476
15.411571,24,42.84499
11.144459,12,42.949972
