entloss,entropy,EpTrueRewMean,surrgain,TimestepsSoFar,meankl,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,TimeElapsed,EpThisIter,optimgain
0.0,4.2047334,30.212907081510867,0.04237563,1027,0.007096388,33,31.12121212121212,0.1288670301437378,20.783497,34.155292987823486,33,0.04237563
0.0,4.152834,55.53124111531774,0.042780273,2005,0.007960579,47,44.175,0.37750375270843506,30.817347,63.09833645820618,14,0.042780273
0.0,4.161587,88.34619316479781,0.032690067,3050,0.004962371,55,64.95,0.4557669162750244,45.96218,90.60991215705872,8,0.032690067
0.0,4.180429,122.67881727234536,0.03471256,4070,0.0058529843,63,81.9,0.8041744828224182,56.387413,122.45103859901428,8,0.03471256
0.0,4.149769,156.03512817580022,0.042551093,4980,0.007205281,67,103.275,0.9375920407474041,70.435814,150.24026465415955,4,0.042551093
0.0,4.0857596,196.46912669706649,0.04234238,6201,0.0068613067,71,130.45,0.9229517951607704,87.13281,180.06546807289124,4,0.04234238
0.0,4.0742574,228.9226556121136,0.05160597,7391,0.0064721396,74,158.3,0.7867214679718018,103.77452,209.2121777534485,3,0.05160597
0.0,4.1136155,249.46136273908513,0.024726875,8391,0.008113461,75,180.425,-0.032790184020996094,115.97379,236.33929586410522,1,0.024726875
0.0,4.2153034,273.97898718128687,0.019878114,9391,0.006677779,76,203.625,-0.01642894744873047,128.52177,268.202654838562,1,0.019878114
0.0,4.198665,297.06753843325197,0.031687018,10391,0.006510894,77,226.55,-0.07277023792266846,140.64224,295.08822894096375,1,0.031687018
0.0,4.1764445,320.92291769849965,0.023302395,11391,0.0073117716,78,249.875,-0.00703883171081543,152.34372,324.3477463722229,1,0.023302395
0.0,4.1295466,346.00875119015825,0.031339806,12391,0.0074401665,79,274.1,0.0027853846549987793,164.11893,354.3860261440277,1,0.031339806
0.0,4.142527,370.3700218685673,0.022777392,13391,0.007114269,80,297.725,-0.032012104988098145,174.79132,381.80319356918335,1,0.022777392
0.0,4.2373104,390.38393308790154,0.032744568,14391,0.0056018657,81,319.425,0.012053906917572021,184.02112,413.88106989860535,1,0.032744568
0.0,4.1876493,415.3713054144522,0.036757693,15391,0.0061578164,82,343.625,-0.040332674980163574,194.30757,442.09041595458984,1,0.036757693
0.0,4.1981244,436.2448348252359,0.03028196,16391,0.0075141364,83,366.475,-0.01963341236114502,203.22842,472.11915278434753,1,0.03028196
0.0,4.225811,457.74591423919736,0.030584015,17391,0.005725215,84,389.5,6.181001663208008e-05,211.7481,500.6000325679779,1,0.030584015
0.0,4.223904,480.5732692470664,0.03714686,18391,0.0055394135,85,412.95,0.04028129577636719,220.50623,529.1609585285187,1,0.03714686
0.0,4.252205,511.33810686664265,0.042586744,19799,0.006131922,87,444.85,0.016153991222381592,232.28911,560.6954369544983,2,0.042586744
0.0,4.3274493,526.6695174435492,0.032431602,20799,0.0061078537,88,460.75,0.01118934154510498,234.42744,589.3615822792053,1,0.032431602
0.0,4.246014,545.6617968067111,0.024972703,21799,0.0053229975,89,481.725,-0.05640912055969238,240.39632,618.9653096199036,1,0.024972703
0.0,4.2392497,571.3992290810967,0.037430078,22799,0.006162214,90,505.625,-0.06416487693786621,248.37553,648.2464714050293,1,0.037430078
0.0,4.2862315,595.6441854397829,0.033879913,23799,0.0069562215,91,529.675,-0.006739377975463867,255.83972,677.4783523082733,1,0.033879913
0.0,4.2775826,608.7311235413105,0.040553622,24581,0.004204656,92,545.7,0.006282508373260498,259.86288,706.9464211463928,1,0.040553622
0.0,4.285551,635.8139403413059,0.044838168,25805,0.006123829,94,572.425,0.09584963321685791,267.05185,734.6594009399414,2,0.044838168
0.0,4.2623744,656.7306764522643,0.034488667,26805,0.0064434726,95,593.875,-0.1930140256881714,272.73584,763.2547483444214,1,0.034488667
0.0,4.268391,679.309230184841,0.024847105,27805,0.006219892,96,616.675,0.010032713413238525,278.53824,793.2390422821045,1,0.024847105
0.0,4.2435,694.9502636553617,0.03586933,28805,0.007329312,97,636.55,0.009575426578521729,282.14423,822.482283115387,1,0.03586933
0.0,4.2106137,705.1381897278982,0.06183941,29753,0.0071998257,100,651.525,0.19572043418884277,283.1751,852.975355386734,3,0.06183941
0.0,4.1989994,724.2850694311478,0.047149733,30753,0.0068272147,101,672.3,-0.14427649974822998,287.72382,880.1837637424469,1,0.047149733
0.0,4.199877,747.0869609770845,0.0676384,31753,0.006501899,102,693.975,-0.432590126991272,294.59952,910.380313873291,1,0.0676384
0.0,4.203476,769.7227202137883,0.050525244,33273,0.0070858565,105,719.625,0.01585441827774048,296.78802,939.2202353477478,3,0.050525244
0.0,4.1608753,786.5800334519101,0.048370946,34273,0.008077449,106,737.875,-0.2083749771118164,298.7718,967.349686384201,1,0.048370946
0.0,4.251777,803.8001270785583,0.030634366,35273,0.0069937548,107,757.325,0.026799380779266357,300.64493,997.4545731544495,1,0.030634366
