EpThisIter,EpTrueRewMean,EpisodesSoFar,ev_tdlam_before,meankl,TimeElapsed,TimestepsSoFar,EpRewMean,entloss,EpLenMean,entropy,optimgain,surrgain
42,22.192507963125674,42,0.3929670453071594,0.008626398,34.49583458900452,1001,18.847971,0.0,23.625,4.275517,0.042099766,0.042099766
14,49.45642195958234,56,0.47920703887939453,0.0073870798,63.58918380737305,2019,32.917828,0.0,41.65,4.195576,0.04181864,0.04181864
9,75.14496537458601,65,0.5134466290473938,0.0061759977,91.51436448097229,3055,49.63307,0.0,61.325,4.137724,0.04646308,0.04646308
4,108.91262091563276,69,0.6864170134067535,0.0067500724,122.60144925117493,4138,69.975975,0.0,87.05,4.0936584,0.054237492,0.054237492
3,134.40437194826478,72,0.5581071376800537,0.006677642,150.1010184288025,5089,85.59647,0.0,108.65,4.045819,0.04596337,0.04596337
3,161.4998827631907,75,0.6493366658687592,0.0055070203,180.2773675918579,5892,98.78453,0.0,127.0,4.009973,0.048463173,0.048463173
4,194.93485283124636,79,0.4213522672653198,0.006311752,209.27152705192566,7064,118.78546,0.0,153.7,3.9671936,0.051985133,0.051985133
1,220.90637107882813,80,-0.09355330467224121,0.0047055227,237.24363493919373,8064,133.97006,0.0,177.95,3.9591699,0.033241183,0.033241183
1,248.08398823110275,81,0.6664406061172485,0.0059726955,269.3399085998535,9064,148.84946,0.0,202.625,3.9454687,0.02625703,0.02625703
1,275.67851382157664,82,-0.001092672348022461,0.0057768766,296.79980087280273,10064,162.59677,0.0,226.575,3.9282804,0.043239508,0.043239508
2,307.8593622028619,84,0.7037700712680817,0.007192105,326.51412630081177,11285,177.6107,0.0,253.475,3.9203,0.03386204,0.03386204
2,327.721377785801,86,0.9474598206579685,0.0055942517,355.4066650867462,11917,185.65538,0.0,266.425,3.8851511,0.056593537,0.056593537
1,353.7248337897098,87,-0.008958697319030762,0.006782272,383.21887373924255,12917,198.24957,0.0,289.575,3.837377,0.041096263,0.041096263
1,379.4471437043224,88,-0.01162862777709961,0.0052950378,415.8133282661438,13917,209.82243,0.0,313.975,3.8269713,0.031885292,0.031885292
1,403.48680266012485,89,0.0007968544960021973,0.0054146005,445.68608474731445,14917,220.43967,0.0,336.725,3.8249743,0.035951853,0.035951853
1,428.8676938631681,90,0.010619759559631348,0.006278056,475.98701310157776,15917,231.68784,0.0,360.975,3.8278697,0.03445209,0.03445209
1,455.27163362758745,91,0.521864503622055,0.005592757,504.2619798183441,16917,242.3188,0.0,385.0,3.8014984,0.038370594,0.038370594
2,494.4888516757067,93,0.6499446034431458,0.005796145,532.9664559364319,18449,255.9205,0.0,417.875,3.7907739,0.036973197,0.036973197
1,519.3617077016652,94,0.04225796461105347,0.006371117,563.7421011924744,19449,265.10898,0.0,441.1,3.775577,0.036137484,0.036137484
1,540.3796664840254,95,0.8913069814443588,0.007361022,592.4619588851929,20449,272.80176,0.0,461.15,3.7658725,0.05313912,0.05313912
3,581.646259482224,98,0.4961667060852051,0.007384794,622.4629426002502,21822,285.67706,0.0,491.1,3.7645683,0.060419563,0.060419563
3,614.3378903838792,101,0.8130013644695282,0.007381697,650.9442591667175,22923,293.33148,0.0,509.05,3.7633858,0.053204916,0.053204916
1,632.6851040500828,102,0.845942959189415,0.006571595,679.5485146045685,23513,299.46094,0.0,522.125,3.7401085,0.06374835,0.06374835
2,658.0962425247276,104,-0.10902929306030273,0.008220715,709.1754946708679,24641,304.83286,0.0,544.775,3.7479303,0.0537989,0.0537989
3,673.2430200630791,107,0.964181911200285,0.00740293,736.7629334926605,25604,303.75165,0.0,549.55,3.7682266,0.049190354,0.049190354
3,681.2978430668148,110,0.978629544377327,0.0068640555,765.7643702030182,26385,302.1279,0.0,549.575,3.7674694,0.054903887,0.054903887
3,694.3856688114972,113,0.9432978294789791,0.0073312735,795.1960573196411,27411,301.08008,0.0,549.325,3.7866266,0.05275911,0.05275911
3,714.4252123334902,116,0.9450643844902515,0.006337471,823.9954044818878,28326,303.59003,0.0,553.775,3.7929707,0.06427206,0.06427206
2,724.4418424326025,118,0.9606515020132065,0.006466018,855.1902546882629,29077,301.98907,0.0,554.925,3.7895985,0.067728736,0.067728736
6,649.2927650341887,124,0.9929192056879401,0.008217965,882.8867089748383,30133,258.90347,0.0,471.2,3.7716315,0.05057492,0.05057492
5,591.5024066645962,129,0.6783514022827148,0.0074700895,912.2428750991821,31156,228.50371,0.0,405.975,3.7605567,0.05333654,0.05333654
5,507.94317072637557,134,0.8224600106477737,0.0072221067,940.7114601135254,31976,194.76566,0.0,313.175,3.758745,0.076252684,0.076252684
5,469.1383856523847,139,0.9370544701814651,0.007345252,969.6121385097504,32953,182.11804,0.0,271.2,3.7426934,0.057098873,0.057098873
5,436.5525311190289,144,0.9847435038536787,0.007735501,1000.5923643112183,33970,175.66614,0.0,233.225,3.7347207,0.06375773,0.06375773
5,429.3274135251166,149,0.9716955833137035,0.0077587967,1028.606264591217,35045,175.7266,0.0,223.775,3.7317662,0.07138554,0.07138554
4,423.59263998667154,153,0.877180926501751,0.006605203,1058.8141250610352,35966,172.0844,0.0,213.875,3.727537,0.057717197,0.057717197
4,410.46485289477744,157,0.9727522898465395,0.007945146,1085.9637558460236,36907,167.21391,0.0,199.95,3.7304797,0.07562726,0.07562726
5,425.31661662003046,162,0.9737249854952097,0.0076901824,1115.5163853168488,37922,169.23453,0.0,203.2,3.7343903,0.06432976,0.06432976
5,436.7070225758715,167,0.8468157351016998,0.0077500176,1145.756724357605,38884,169.88104,0.0,202.025,3.7368808,0.047565416,0.047565416
5,463.56461498096377,172,0.9474694319069386,0.008365155,1172.5377473831177,39941,175.02737,0.0,207.6,3.7592294,0.057188343,0.057188343
4,489.06846397000265,176,0.9360675662755966,0.007806426,1203.695039510727,40841,182.02148,0.0,213.025,3.7465377,0.059379138,0.059379138
4,521.2942473716988,180,0.9628405496478081,0.0076020104,1230.8964562416077,41855,188.71907,0.0,218.5,3.7394447,0.05063274,0.05063274
5,546.6822354292659,185,0.9492280147969723,0.008148701,1259.761964082718,43063,190.8129,0.0,221.025,3.7455523,0.05046591,0.05046591
3,565.1957031019589,188,0.9798454511910677,0.0075401505,1289.8835701942444,43806,191.90312,0.0,223.3,3.741709,0.057979513,0.057979513
5,588.3675795799629,193,0.9609719254076481,0.0077817896,1318.595678806305,44886,193.5241,0.0,223.0,3.7211664,0.05710531,0.05710531
5,599.1556210903085,198,0.9466324895620346,0.008822132,1349.1607315540314,45844,190.20528,0.0,219.05,3.7009473,0.0591811,0.0591811
4,634.9535835972135,202,0.8100781738758087,0.00751947,1377.7045192718506,46946,194.03328,0.0,225.6,3.6564562,0.042249214,0.042249214
3,682.4055047021563,205,0.9732435140758753,0.008344853,1406.4918611049652,48130,201.46439,0.0,240.05,3.6404185,0.055730477,0.055730477
3,702.1069934656228,208,0.9507115744054317,0.007879559,1435.996056318283,48938,202.00943,0.0,243.625,3.611763,0.05922825,0.05922825
1,710.0025798044169,209,0.9481150433421135,0.008293828,1465.204153060913,49127,203.00798,0.0,245.15,3.5965116,0.053661034,0.053661034
1,769.36751035126,210,0.8432924449443817,0.007874499,1495.3580074310303,50127,214.41284,0.0,265.225,3.6015587,0.059234828,0.059234828
