# {"t_start": 1551128432.6896868, "env_id": "Hopper-v2"} 
r,l,t
11.015959,18,6.143667
11.185574,14,6.158468
13.196179,20,6.179147
10.673961,13,6.191606
9.818037,11,6.206114
13.456968,17,6.225307
33.236248,32,6.267843
36.897452,42,6.314503
9.258967,18,6.333985
21.873088,24,6.360582
8.572286,12,6.372826
18.625938,21,6.393419
8.858249,11,6.403564
9.974851,14,6.417841
7.953962,11,6.429658
31.584614,32,6.458849
10.154265,28,6.48868
7.021199,11,6.499426
15.004942,21,6.521981
11.031089,17,6.538322
9.680701,13,6.551583
13.287058,15,6.567713
8.377317,12,6.580518
8.46701,10,6.593422
9.361244,15,6.613582
13.146817,16,6.634653
18.544238,30,6.667607
7.257953,15,6.6827
22.14119,20,6.702681
14.466143,18,6.72022
19.975188,28,6.749011
14.952609,19,6.767926
10.023152,13,6.780248
11.825685,20,6.799375
8.868982,20,6.818678
3.704567,7,6.825767
17.448465,18,6.842624
11.256309,14,6.855323
11.691618,20,6.874682
7.2336,12,6.886376
11.001974,15,6.900648
16.622839,23,6.923345
53.87918,49,6.972052
32.060143,29,6.997969
9.007437,18,7.015022
8.951104,11,7.028236
10.864391,19,7.053307
35.732847,37,7.09712
17.511543,26,7.123226
57.27339,50,7.172012
44.931753,36,7.679122
44.655318,31,7.722243
20.645083,40,7.770122
8.444623,13,7.782489
7.054188,10,7.790998
9.130992,17,7.806571
21.863487,20,7.825472
14.689181,31,7.857935
6.848542,12,7.869437
9.970921,12,7.880866
49.651011,48,7.937044
10.523662,17,7.957747
83.151462,51,8.014544
10.491175,13,8.027824
76.233022,46,8.074793
6.407164,11,8.087404
33.351186,39,8.136004
17.780134,17,8.154388
21.516295,32,8.185743
6.777155,14,8.201647
17.783454,22,8.229035
13.131055,16,8.245386
27.255192,22,8.2731
11.418789,19,8.297078
16.833716,17,8.316549
10.248961,12,8.330174
6.304702,9,8.341328
7.982913,15,8.356966
17.576089,20,8.383832
43.61909,37,8.424813
24.957712,24,8.452486
26.254054,29,8.485191
15.592374,18,8.505224
13.091695,30,8.534968
7.467313,11,8.544705
18.586931,18,8.563138
7.986507,11,8.574434
48.910871,34,8.607337
23.097449,26,8.637627
74.886701,77,8.719126
11.102266,17,8.734872
13.320148,15,8.74929
16.539598,21,8.773896
10.079083,17,8.792251
147.324856,81,8.997609
3.982782,11,9.009981
7.641801,15,9.0249
48.21729,34,9.057454
10.949367,14,9.070777
20.926765,23,9.096435
8.266949,12,9.113357
5.85982,12,9.127504
116.889729,72,9.210893
28.029648,28,9.239018
12.563158,18,9.262589
12.141138,15,9.277493
60.386775,36,9.311406
40.153803,43,9.355101
7.689271,15,9.370574
4.859754,12,9.383041
22.640816,35,9.418927
136.816483,69,9.489748
8.897112,12,9.501101
7.350924,16,9.51629
83.248754,49,9.557879
28.500449,35,9.590728
5.794978,11,9.600563
6.642104,10,9.60893
8.092167,12,9.61927
7.231006,11,9.62858
86.66429,49,9.671015
12.593883,17,9.685571
48.328166,41,9.722188
25.641085,26,9.746405
17.360312,18,9.764177
29.110229,26,9.788513
7.895219,19,9.806869
16.555779,17,9.821923
63.841178,45,9.865134
57.658468,47,9.916877
199.84681,93,10.609516
10.149393,14,10.625116
67.037622,42,10.664754
12.01387,16,10.680609
97.021494,68,10.747744
55.483874,47,10.791935
135.588525,66,10.853096
88.479824,62,10.915433
62.0529,40,10.957989
11.510716,12,10.970312
43.863283,39,11.019871
79.817944,54,11.089703
116.56976,74,11.175858
11.66427,20,11.195538
104.508709,61,11.256056
19.331738,27,11.283237
7.367584,10,11.292319
24.828642,23,11.315762
7.961098,17,11.330659
171.848344,90,11.418369
48.619101,40,11.456053
89.10528,52,11.508454
50.076012,36,11.544665
64.61883,39,11.583703
96.153952,58,11.737393
7.790153,11,11.747393
176.009759,87,11.835943
106.403516,108,11.975507
157.529565,90,12.066463
104.744015,61,12.130558
217.413511,122,12.254771
27.722209,34,12.285702
90.25803,69,12.349272
227.779724,120,12.464533
78.483956,53,12.514745
51.693423,80,12.595847
88.324691,51,12.648525
21.940932,25,12.673285
126.19912,64,12.835089
12.28076,15,12.851871
55.058722,36,12.889439
35.635061,47,12.934576
114.027082,61,12.993412
52.782854,32,13.02357
204.999633,112,13.131571
30.779311,25,13.156377
94.837736,53,13.217033
35.771797,49,13.271537
54.56926,36,13.313103
36.865877,33,13.345974
204.187687,110,13.450384
111.969904,72,13.52303
23.499067,22,13.548214
139.243738,71,13.633724
171.095955,108,13.737003
210.451726,123,13.85769
164.413813,83,14.350002
105.703849,68,14.422116
113.707288,64,14.487237
158.886387,79,14.565984
134.198596,78,14.63824
132.056237,73,14.707076
85.81189,49,14.757589
46.797176,49,14.804329
65.966096,51,14.858293
96.899289,53,14.91198
12.463979,18,14.92977
229.221122,175,15.108022
83.267191,48,15.157733
145.98942,82,15.239323
165.958675,108,15.448072
115.414006,69,15.529823
119.499629,71,15.599789
11.278595,19,15.617727
162.514325,90,15.718132
41.880265,25,15.743147
105.820936,59,15.805644
106.132581,62,15.872823
72.479808,48,15.929426
14.476958,25,15.950912
88.659515,53,15.996508
54.00084,32,16.027184
133.136463,68,16.09436
102.549824,56,16.144077
59.487451,39,16.180544
148.104707,73,16.24968
173.814129,82,16.341152
91.780531,55,16.394751
270.7535,133,16.628675
100.44085,56,16.687103
132.448622,66,16.75042
162.611201,78,16.828568
160.923324,75,16.900282
95.521771,56,16.956863
183.583086,89,17.048458
123.271884,67,17.112818
62.138872,54,17.163763
138.11638,74,17.232891
60.728961,39,17.269483
31.361097,28,17.295243
32.555159,33,17.33038
109.284238,57,17.388503
73.509986,44,17.431125
153.511606,95,17.532234
132.722886,67,18.014764
189.018386,91,18.110833
199.570034,91,18.20331
92.463192,56,18.259503
75.976303,44,18.301274
166.046236,90,18.381556
215.983102,96,18.471102
198.246781,89,18.561574
201.686197,93,18.652056
146.785511,73,18.720452
200.905335,89,18.803756
54.607647,33,18.833899
80.544369,48,18.878522
185.664475,84,18.956837
189.925349,85,19.126906
157.209466,75,19.200671
168.838274,79,19.277076
136.35681,69,19.34104
146.532553,71,19.409269
133.089736,70,19.477277
171.976348,80,19.555029
218.448818,103,19.652917
159.160956,104,19.750885
44.137922,27,19.776819
205.584811,102,19.875722
43.801668,27,19.902249
81.745297,50,19.950781
177.026291,87,20.037538
178.34752,91,20.232806
246.249247,111,20.335228
124.529157,69,20.410096
187.12396,120,20.533419
78.129072,47,20.581941
138.164516,68,20.65833
263.219315,124,20.784917
113.333162,60,20.842769
98.112581,56,20.897931
18.628488,18,20.91578
169.059943,79,20.992718
201.897658,94,21.0978
255.898501,142,21.649278
217.212545,99,21.738723
202.876683,90,21.830691
174.983095,115,21.945081
272.458609,117,22.056624
143.707831,69,22.121886
205.055679,91,22.208215
119.549024,63,22.266251
69.340722,44,22.306603
278.950166,127,22.429175
277.590575,112,22.544584
128.768459,66,22.707742
65.463079,39,22.746772
127.829924,66,22.810741
214.361826,93,22.915763
303.450607,148,23.056212
128.43179,76,23.125892
182.8,85,23.206509
159.357734,80,23.297496
153.270343,76,23.372907
214.280244,95,23.474978
183.416018,83,23.555786
122.213132,64,23.612943
206.126908,91,23.703543
207.589794,92,23.888041
207.285477,91,23.983774
211.732794,93,24.074544
198.464965,87,24.159719
212.404667,93,24.254928
193.491684,114,24.356528
179.470818,98,24.460777
187.365976,113,24.572527
275.371784,160,24.724265
214.228432,94,24.82032
82.014557,53,25.312202
209.29064,91,25.402189
200.939532,89,25.493822
205.786099,90,25.584161
268.670616,110,25.697526
216.490386,94,25.7847
214.051767,92,25.875539
200.55766,87,25.963761
