EpisodesSoFar,entloss,entropy,optimgain,EpThisIter,TimeElapsed,TimestepsSoFar,EpRewMean,ev_tdlam_before,meankl,surrgain,EpTrueRewMean,EpLenMean
36,0.0,4.237303,0.04209856,36,4.738823890686035,3018,33.79850851002786,0.3740432858467102,0.0075479713,0.04209856,33.79850851002786,27.944444444444443
54,0.0,4.27442,0.043351993,18,8.488699674606323,6225,60.19169292245213,0.11628568172454834,0.007091487,0.043351993,60.19169292245213,41.525
70,0.0,4.2419972,0.044149667,16,12.19455337524414,9357,94.93592524175119,0.07797759771347046,0.0064039296,0.044149667,94.93592524175119,57.125
82,0.0,4.2169514,0.056119263,12,15.817477226257324,12168,125.64567109743696,0.28754377365112305,0.008054957,0.056119263,125.64567109743696,69.875
92,0.0,4.1522884,0.040676985,10,19.46868109703064,15273,154.41273058171615,0.7087084650993347,0.0061783027,0.040676985,154.41273058171615,81.175
103,0.0,4.1555767,0.039431587,11,23.326263427734375,18477,173.88471955232845,0.7943914830684662,0.007138203,0.039431587,173.88471955232845,85.25
113,0.0,4.108765,0.042654533,10,27.085511207580566,21678,207.48405274910357,0.7903131395578384,0.005457947,0.042654533,207.48405274910357,95.9
122,0.0,4.1021175,0.044573,9,30.76156783103943,24672,230.8531040600373,0.7711490988731384,0.0060086525,0.044573,230.8531040600373,104.2
131,0.0,4.1250606,0.039463747,9,34.55866050720215,27810,246.7073358689659,0.8454971760511398,0.006025915,0.039463747,246.7073358689659,106.825
139,0.0,4.140779,0.04682247,8,38.172441244125366,30939,270.2381037197378,0.8622290641069412,0.006569788,0.04682247,270.2381037197378,114.475
147,0.0,4.0860925,0.046970464,8,41.80673575401306,34605,294.52092551192754,0.8886662721633911,0.0060297432,0.046970464,294.52092551192754,122.6
154,0.0,4.0465384,0.04717023,7,45.49636387825012,37581,321.3029520061601,0.7798145860433578,0.006941651,0.04717023,321.3029520061601,129.75
161,0.0,4.0098896,0.0485792,7,49.18621373176575,40875,352.6605231516105,0.8804234117269516,0.0071066264,0.0485792,352.6605231516105,137.225
168,0.0,3.9965763,0.045545474,7,52.86159610748291,43941,375.4629700804805,0.9457356557250023,0.007168789,0.045545474,375.4629700804805,143.1
174,0.0,3.999536,0.05001787,6,56.44091725349426,47067,403.9312417368341,0.9212802797555923,0.0071656234,0.05001787,403.9312417368341,150.325
180,0.0,3.959814,0.04266367,6,60.12419104576111,50304,429.4849357305138,0.9070216119289398,0.00682857,0.04266367,429.4849357305138,156.025
185,0.0,3.9383848,0.047789022,5,63.81758642196655,53304,456.8557810138229,0.9372560232877731,0.0070181857,0.047789022,456.8557810138229,163.875
190,0.0,3.9610918,0.048213035,5,67.5016655921936,56391,478.77961377213813,0.9524420090019703,0.006989085,0.048213035,478.77961377213813,171.0
195,0.0,3.9444904,0.048997313,5,71.17105031013489,59226,500.5854893807303,0.9609432592988014,0.006920222,0.048997313,500.5854893807303,176.525
200,0.0,3.951048,0.04043155,5,74.83957982063293,62394,520.6400353979611,0.7858206778764725,0.0066298717,0.04043155,520.6400353979611,183.0
204,0.0,3.942049,0.04628104,4,78.4174964427948,64956,543.9549762985156,0.9489564076066017,0.007079367,0.04628104,543.9549762985156,189.25
208,0.0,3.9344852,0.04816743,4,82.12654042243958,67611,571.1957570645685,0.9337636530399323,0.006093275,0.04816743,571.1957570645685,197.25
213,0.0,3.9307554,0.049710453,5,85.76152181625366,71202,596.0244007065146,0.9766444228589535,0.0067296578,0.049710453,596.0244007065146,204.275
217,0.0,3.9218993,0.048981167,4,89.4567084312439,73878,619.2415803965698,0.956867340952158,0.007521471,0.048981167,619.2415803965698,210.5
221,0.0,3.9131088,0.046814766,4,93.09189462661743,76464,635.3315081395795,0.9717897307127714,0.006947698,0.046814766,635.3315081395795,213.275
225,0.0,3.9099429,0.050133202,4,96.77383923530579,78834,631.7066066654567,0.891642838716507,0.0071444083,0.050133202,631.7066066654567,212.75
228,0.0,3.8899539,0.04860088,3,100.42249345779419,81126,642.6792159743885,0.9433481357991695,0.006501171,0.04860088,642.6792159743885,215.25
231,0.0,3.873747,0.054000817,3,104.0577642917633,84147,681.6704670920415,0.9653502739965916,0.007838132,0.054000817,681.6704670920415,226.725
235,0.0,3.8688374,0.0575481,4,107.68076300621033,87462,703.9674612860969,0.6224154531955719,0.007845722,0.0575481,703.9674612860969,235.3
238,0.0,3.8731458,0.052961078,3,111.4309310913086,90966,741.0898477645208,0.9209917336702347,0.0074676517,0.052961078,741.0898477645208,248.8
240,0.0,3.8653028,0.04333046,2,115.04955124855042,93759,772.1293461801215,0.9210621267557144,0.007093024,0.04333046,772.1293461801215,261.375
242,0.0,3.8663085,0.046134755,2,118.66802906990051,96612,815.9921397559948,0.9735541399568319,0.006990522,0.046134755,815.9921397559948,274.925
244,0.0,3.877342,0.054395527,2,122.31338143348694,99378,847.6070792385744,0.9335818812251091,0.007458773,0.054395527,847.6070792385744,286.85
246,0.0,3.8803787,0.039654806,2,125.93044185638428,103605,906.1104805478965,0.6643194854259491,0.006965152,0.039654806,906.1104805478965,309.125
248,0.0,3.858374,0.053070705,2,129.57029128074646,106305,948.2005906536579,0.9410988092422485,0.0073921597,0.053070705,948.2005906536579,322.45
250,0.0,3.8259814,0.03610231,2,133.24688076972961,111834,1031.3363788335078,0.6644618511199951,0.0070160823,0.03610231,1031.3363788335078,356.15
252,0.0,3.8229063,0.0598085,2,137.0138430595398,114063,1048.6063593155804,0.9454485401511192,0.007373129,0.0598085,1048.6063593155804,362.8
254,0.0,3.7904644,0.055428468,2,140.70302414894104,117045,1078.880525220307,0.6597545742988586,0.007828026,0.055428468,1078.880525220307,375.65
256,0.0,3.8161626,0.050325472,2,144.33341264724731,120222,1121.919714370087,0.9427561014890671,0.008295648,0.050325472,1121.919714370087,391.1
258,0.0,3.794954,0.03872218,2,148.06402468681335,124740,1187.8330700199022,0.6939630210399628,0.0074067246,0.03872218,1187.8330700199022,418.525
