EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,surrgain,TimestepsSoFar,TimeElapsed,meankl,entloss,EpRewMean,entropy,EpThisIter,optimgain
45,24.109114540136982,0.333612322807312,23.05,0.046250265,3063,5.088156700134277,0.007671537,0.0,24.109114540136982,4.2325764,45,0.046250265
66,54.571135555223485,0.13836240768432617,37.725,0.041031532,6183,8.84796953201294,0.007559012,0.0,54.571135555223485,4.1510625,21,0.041031532
81,92.1025722961476,0.2870370149612427,52.675,0.042322498,9183,12.557902812957764,0.006646862,0.0,92.1025722961476,4.12955,15,0.042322498
94,131.6997035138184,0.5888284146785736,67.1,0.041331068,12402,16.31156301498413,0.0073177805,0.0,131.6997035138184,4.0979595,13,0.041331068
106,166.6944180269508,0.7783688455820084,78.725,0.04266598,15630,20.129397869110107,0.00681206,0.0,166.6944180269508,4.0402203,12,0.04266598
118,184.80563733476475,0.8057670295238495,85.325,0.035035595,18729,23.97527241706848,0.0052547264,0.0,184.80563733476475,3.990967,12,0.035035595
129,189.99139064009213,0.8421036899089813,86.525,0.03769192,21606,27.641504526138306,0.006335994,0.0,189.99139064009213,3.933281,11,0.03769192
140,197.27500518023453,0.9331383630633354,89.125,0.035775036,24684,31.253871202468872,0.006495863,0.0,197.27500518023453,3.8891902,11,0.035775036
151,200.6473768158791,0.9257758185267448,90.15,0.039838705,27711,34.907525300979614,0.006912931,0.0,200.6473768158791,3.8795457,11,0.039838705
162,206.29185065296642,0.946766808629036,92.2,0.046582982,30786,38.608253955841064,0.0064739874,0.0,206.29185065296642,3.8331013,11,0.046582982
173,210.96818307305193,0.9429684355854988,93.9,0.041988403,33996,42.31761431694031,0.0062312284,0.0,210.96818307305193,3.8339906,11,0.041988403
184,215.78582479998008,0.9602135047316551,95.3,0.04081078,37221,45.89984893798828,0.006367966,0.0,215.78582479998008,3.8751452,11,0.04081078
195,222.24207773507388,0.9665997475385666,97.575,0.041424125,40572,49.64349675178528,0.0074163172,0.0,222.24207773507388,3.8804913,11,0.041424125
204,229.942093718126,0.9075437858700752,100.55,0.058329064,43428,53.235217571258545,0.0076835137,0.0,229.942093718126,3.8811336,9,0.058329064
213,250.46219083289833,0.8418273329734802,106.175,0.047413923,46737,56.843039989471436,0.0072487756,0.0,250.46219083289833,3.892029,9,0.047413923
222,272.2754468943624,0.8929779157042503,111.725,0.044144902,50040,60.4687933921814,0.0075749606,0.0,272.2754468943624,3.890619,9,0.044144902
230,292.8142261673071,0.948259737342596,116.875,0.04390764,53064,64.05101656913757,0.007560744,0.0,292.8142261673071,3.8596418,8,0.04390764
238,311.81767976308583,0.88131944835186,121.95,0.043186106,56166,67.73352694511414,0.006550937,0.0,311.81767976308583,3.8494494,8,0.043186106
246,330.62095746602716,0.9529984407126904,126.525,0.054329813,59304,71.29441404342651,0.007251052,0.0,330.62095746602716,3.8381062,8,0.054329813
253,341.22434895550435,0.9479622580111027,129.025,0.050568916,62220,74.90821576118469,0.00737224,0.0,341.22434895550435,3.840792,7,0.050568916
259,361.3890255424789,0.9465792402625084,134.125,0.053990297,65031,78.55302906036377,0.0074059693,0.0,361.3890255424789,3.8203506,6,0.053990297
266,377.25662506729014,0.934413269162178,138.9,0.0455563,68277,82.2049469947815,0.0070942654,0.0,377.25662506729014,3.8015742,7,0.0455563
272,405.96031188241125,0.9523710533976555,146.85,0.049364936,71526,85.83305263519287,0.007292782,0.0,405.96031188241125,3.783577,6,0.049364936
277,429.8962495814809,0.899543933570385,152.75,0.05426626,74133,89.39535617828369,0.007356631,0.0,429.8962495814809,3.765688,5,0.05426626
283,453.9444295490678,0.8459320217370987,159.3,0.047934506,77277,92.98598718643188,0.0070761787,0.0,453.9444295490678,3.751001,6,0.047934506
288,485.4676641245711,0.979983763769269,168.825,0.045197308,80421,96.5881130695343,0.006846951,0.0,485.4676641245711,3.7209165,5,0.045197308
293,506.1786884464882,0.8653366416692734,175.225,0.04987605,83247,100.18238162994385,0.0077063492,0.0,506.1786884464882,3.7065349,5,0.04987605
299,518.615706998063,0.8735046535730362,179.525,0.059210252,86574,103.77749943733215,0.008104456,0.0,518.615706998063,3.6926272,6,0.059210252
304,543.3791830776906,0.9816576354205608,185.625,0.05477494,89691,107.33256602287292,0.008232994,0.0,543.3791830776906,3.694892,5,0.05477494
