# {"env_id": "Hopper-v2", "t_start": 1551133241.0629656} 
r,l,t
8.927519,11,6.126853
122.6445,64,6.194366
4.346522,12,6.204777
10.220115,13,6.217506
14.295575,25,6.24033
33.528882,28,6.271368
12.023554,14,6.288915
16.086258,15,6.306346
9.565109,13,6.318557
13.38892,18,6.333629
8.334229,13,6.345422
12.439942,14,6.36302
22.812712,36,6.409125
14.965044,22,6.435888
19.082814,19,6.459082
12.581444,19,6.479199
9.145735,11,6.489763
15.295807,24,6.512295
10.089149,18,6.528685
14.127833,26,6.551838
11.495749,25,6.575339
13.558912,16,6.590563
13.568625,28,6.619419
13.806461,18,6.637209
8.882116,15,6.651854
8.92139,22,6.67439
20.921201,21,6.695777
25.088439,21,6.717298
87.433493,61,6.776166
8.247663,10,6.785966
33.899926,39,6.826149
22.555726,33,6.859836
17.115336,29,6.889113
23.849987,22,6.911442
8.866175,11,6.924951
132.61087,73,7.011228
10.075708,13,7.023751
6.354914,10,7.033389
23.62706,23,7.063003
8.626469,13,7.077678
16.346333,42,7.117533
6.862086,9,7.126564
6.350813,10,7.137326
7.076789,9,7.14644
13.552775,14,7.160387
7.814941,14,7.174843
67.612319,56,7.69638
15.854794,19,7.714727
11.444291,12,7.726475
14.909022,14,7.739858
14.763925,20,7.760879
7.461826,15,7.777113
64.775363,43,7.820764
66.137263,57,7.884418
12.351484,20,7.906053
9.255772,17,7.924807
13.185334,22,7.94795
15.754164,19,7.966388
14.445348,31,7.999274
12.19095,14,8.012287
12.381511,20,8.031241
21.884251,21,8.052516
29.922879,35,8.088779
77.496154,57,8.16301
7.238597,9,8.173865
8.68885,11,8.18727
7.581289,14,8.204025
10.818501,26,8.228557
18.583483,21,8.249811
15.329952,22,8.270526
11.762145,15,8.284335
74.139261,66,8.34817
17.720876,16,8.365405
31.857287,47,8.412306
4.552547,12,8.424885
14.498981,16,8.440127
10.02095,17,8.45691
68.772992,40,8.495828
19.267343,18,8.513782
19.517139,46,8.557931
72.289071,53,8.61115
5.93739,10,8.620985
10.360903,14,8.634724
26.383209,22,8.657428
11.105349,20,8.67894
7.014534,20,8.700472
94.267432,64,8.856009
10.245931,13,8.871655
45.038161,53,8.9338
16.905347,20,8.954556
16.841462,18,8.972997
12.792081,15,8.987862
7.593238,16,9.003559
79.489305,46,9.048143
18.092897,29,9.076573
15.266625,19,9.096169
11.72179,15,9.115102
7.666771,14,9.131965
102.195423,55,9.182123
10.393162,29,9.211556
11.492257,16,9.227958
7.113718,9,9.237378
25.474005,25,9.264124
14.238791,32,9.297474
70.626034,47,9.341203
16.28323,19,9.359536
20.628999,31,9.3931
82.315567,49,9.444133
9.222661,12,9.458255
93.204027,56,9.506547
14.110786,14,9.51907
69.191074,54,9.569294
26.248157,29,9.596734
12.548841,13,9.60948
9.968189,15,9.629022
26.719765,27,9.660065
10.284323,16,9.674651
103.688784,72,9.741599
25.195261,27,9.766651
5.438372,10,9.775752
97.982918,55,10.390979
20.177944,19,10.408465
97.798703,59,10.464744
9.368559,15,10.479207
9.32692,26,10.504966
28.054696,24,10.526908
11.045628,21,10.550585
116.418434,79,10.632309
126.679058,67,10.69822
21.936829,25,10.723515
52.280842,38,10.757203
26.944616,25,10.779382
61.585057,36,10.812797
17.554906,17,10.828696
8.856577,15,10.842472
48.677032,30,10.87007
108.536516,59,10.925231
20.246238,20,10.944727
17.886604,19,10.96272
138.727797,74,11.034526
10.506258,17,11.050774
15.256152,18,11.067095
6.529689,14,11.080018
13.047081,24,11.102213
12.518893,25,11.125279
135.399146,78,11.199163
9.906341,13,11.211146
22.858823,33,11.241549
7.059574,11,11.251797
14.105438,21,11.271216
75.592606,98,11.456161
23.347762,27,11.482641
15.236173,21,11.500979
129.629106,86,11.577759
17.872609,32,11.610044
13.525831,23,11.634475
37.924817,37,11.674652
83.126968,63,11.733371
98.380267,68,11.804588
50.5817,30,11.835652
24.490586,21,11.857953
164.786919,77,11.934562
65.126605,39,11.972423
10.6145,23,11.995633
136.958829,89,12.084092
81.105215,47,12.129928
23.382987,33,12.161101
13.571766,30,12.193954
157.892874,84,12.273681
24.111408,44,12.31418
5.314785,8,12.321526
75.261867,45,12.366265
11.688376,21,12.389993
29.242322,33,12.422348
11.818353,16,12.438704
5.412593,10,12.448938
7.482212,10,12.459337
12.553898,14,12.573102
9.883847,11,12.583252
183.425664,92,12.677736
107.952503,58,12.744153
42.665536,33,12.777155
63.130991,37,12.812181
119.662414,69,12.875935
102.810513,57,12.937344
10.004566,13,12.950518
110.698115,63,13.010633
78.279624,48,13.054752
183.19313,100,13.160368
77.986474,45,13.202984
134.389637,72,13.273898
146.925914,73,13.345235
42.284595,46,13.388536
162.459617,84,13.476769
101.968588,61,13.541298
76.317176,45,13.589651
161.215659,77,14.176686
180.23498,83,14.286597
110.18427,62,14.349395
95.52891,51,14.40275
