TimestepsSoFar,EpLenMean,EpTrueRewMean,ev_tdlam_before,meankl,EpThisIter,EpRewMean,EpisodesSoFar,entloss,optimgain,TimeElapsed,entropy,surrgain
2937,28.794117647058822,32.426543113126144,0.3465192914009094,0.007579146,34,32.426543113126144,34,0.0,0.04138182,4.6097283363342285,4.250672,0.04138182
6000,40.575,60.77447006012579,0.09021711349487305,0.006422844,19,60.77447006012579,53,0.0,0.04422876,8.310644388198853,4.167687,0.04422876
8943,56.625,98.27953578522782,0.35237807035446167,0.0066600125,12,98.27953578522782,65,0.0,0.044259645,11.921900272369385,4.1090937,0.044259645
11973,74.675,142.48856491527127,0.6298354268074036,0.006220126,11,142.48856491527127,76,0.0,0.039498273,15.46804690361023,4.0627437,0.039498273
14967,84.25,168.42969508440342,0.7170341908931732,0.006661346,11,168.42969508440342,87,0.0,0.040460028,18.965275287628174,4.089178,0.040460028
18006,89.175,181.75484660307302,0.6586234271526337,0.0073099798,11,181.75484660307302,98,0.0,0.04371338,22.664138078689575,4.068872,0.04371338
21084,93.925,196.25080465116466,0.8801544532179832,0.0066067125,10,196.25080465116466,108,0.0,0.038753636,26.270625829696655,4.06234,0.038753636
24141,96.8,205.2098533273213,0.9371932223439217,0.0061771283,10,205.2098533273213,118,0.0,0.033693384,29.847476720809937,4.0491047,0.033693384
27210,102.025,216.8366704016515,0.8709020763635635,0.0061457,9,216.8366704016515,127,0.0,0.049749047,33.403923749923706,4.023714,0.049749047
30273,107.55,230.03985372984866,0.922743909060955,0.006727838,9,230.03985372984866,136,0.0,0.036176566,36.99938225746155,4.0169606,0.036176566
33315,114.9,243.26743786475384,0.9036668017506599,0.00639269,7,243.26743786475384,143,0.0,0.040796272,40.62628746032715,4.0309205,0.040796272
36549,121.25,258.6177164298892,0.9078482314944267,0.0066327835,8,258.6177164298892,151,0.0,0.038046733,44.30264949798584,4.0046635,0.038046733
39579,128.65,272.49771850846975,0.888096272945404,0.0074495897,7,272.49771850846975,158,0.0,0.040496096,47.937660694122314,3.9990296,0.040496096
