# {"env_id": "Hopper-v2", "t_start": 1555508312.0463889} 
r,l,t
22.766031,26,13.569124
12.000818,22,13.732999
6.822237,10,13.798896
8.398745,15,13.903187
6.53139,30,14.113987
8.989481,19,14.256873
10.033127,11,14.333965
7.582853,10,14.404784
4.811712,10,14.478462
7.565931,18,14.584946
11.695144,15,14.691227
17.00852,21,14.828704
12.666033,15,14.955815
6.822648,29,15.151889
55.800693,51,15.495859
13.067389,15,15.607251
9.087249,10,15.684091
8.019197,10,15.752324
5.657109,9,15.824538
42.80034,35,16.079293
9.988509,15,16.180174
9.377507,13,16.274741
4.038736,10,16.350123
19.175001,23,16.524039
27.174631,23,16.688924
15.109654,17,16.811824
19.650574,23,16.963365
7.958142,11,17.047333
10.381661,14,17.151995
85.570096,52,17.525568
8.561927,34,17.745347
9.431295,11,17.818117
9.835021,15,17.937319
47.175934,40,18.201263
9.653804,12,18.270463
6.800035,9,18.342981
18.065175,31,18.553684
36.670003,31,18.763605
12.311828,16,18.874504
16.405635,17,18.992599
8.793158,27,19.183697
29.494622,37,19.438253
8.763676,21,19.593634
43.353452,32,19.827901
7.093108,9,19.917046
22.424669,30,20.141112
6.617133,10,20.238741
48.831658,40,20.588787
11.948238,18,20.719974
15.484965,21,22.405514
44.970305,49,22.783496
5.117801,8,22.834603
8.590277,11,22.917036
9.757221,15,23.027082
83.991637,80,23.547262
22.689686,45,23.853053
16.51481,18,23.971797
12.299036,14,24.076178
8.041415,10,24.140847
13.048517,16,24.262364
9.910309,13,24.336298
15.6067,16,24.461254
4.12791,11,24.523458
10.848165,24,24.695633
6.616575,8,24.760032
23.669757,42,25.063947
8.994004,11,25.142502
9.783523,25,25.323691
9.528267,16,25.430826
73.983408,69,25.917694
18.584391,22,26.07302
42.593403,32,26.304073
107.252365,74,26.854835
24.981671,46,27.179781
13.00805,16,27.302024
77.682189,49,27.709761
24.314966,37,28.019833
46.529323,34,28.322916
8.066574,15,28.441195
7.885635,12,28.538519
80.098456,80,29.244343
35.028412,48,29.712069
4.198393,14,29.854739
5.59321,16,30.043116
91.816184,64,31.250729
9.853883,18,31.431367
9.436678,22,31.680687
8.311876,21,31.897948
123.987641,89,32.7728
6.397944,15,32.91135
12.226321,17,33.090539
13.502786,17,33.224771
11.421138,14,33.329329
10.603164,12,33.420515
51.069585,78,34.016316
62.726487,66,34.524311
6.904308,11,34.599906
8.641699,12,34.685281
13.239697,14,34.788651
6.793953,15,34.909197
15.659138,21,35.073784
66.239143,82,35.713988
49.912493,35,35.96309
9.290284,27,36.170867
273.257633,153,37.309042
28.426079,28,37.533484
19.116133,20,37.696231
7.711195,14,37.800807
27.180237,34,38.037514
31.156693,33,38.268826
32.847646,34,38.522361
14.774926,24,38.713438
12.311068,14,38.811944
10.617407,35,40.012461
82.376849,63,40.485234
74.774338,54,40.935882
28.349754,27,41.130142
4.276852,11,41.233686
13.150254,24,41.429463
9.705633,12,41.51634
29.547152,48,41.882555
16.884208,25,42.051179
173.55568,83,42.664758
51.281568,38,42.955627
193.830765,116,43.789542
84.932291,49,44.105157
15.722508,24,44.273732
4.563372,21,44.416232
14.812081,22,44.579651
22.108249,40,44.850764
15.087041,29,45.059191
20.307608,21,45.207658
16.127265,28,45.415098
12.247557,37,45.683381
138.68439,69,46.208574
12.697515,29,46.41824
41.066645,44,46.721084
9.430011,24,46.890348
25.606348,53,47.273715
72.949279,46,47.963115
185.349916,102,48.691086
12.649371,14,48.801374
83.511868,63,49.240227
6.947324,12,49.349539
25.164885,25,49.570183
15.106143,19,49.707821
19.223733,19,49.86631
8.017547,27,50.084973
9.699034,12,50.179817
56.586141,42,50.553848
20.53849,34,50.821736
38.493878,51,51.297626
75.746362,43,51.655617
59.106731,45,52.039874
25.437275,24,52.249095
80.006971,48,52.659179
104.891577,61,53.126479
11.811233,18,53.245723
68.156594,42,53.582451
39.077315,41,53.891867
52.260678,42,54.189961
14.602144,19,54.326162
9.847674,14,54.430255
142.22844,76,54.978135
102.118215,102,55.762393
8.029451,14,56.262825
12.213156,26,56.445102
8.03523,22,56.596533
20.776013,27,56.802935
129.881246,80,57.396924
54.022683,33,57.609152
7.359867,11,57.695034
13.946877,26,57.902809
12.162761,14,57.996091
8.647596,14,58.093297
13.412156,14,58.1951
79.531107,71,58.760996
109.721405,78,59.344434
184.393382,121,60.321405
23.159299,26,60.510667
41.771865,34,60.772776
210.095188,112,61.695801
29.970952,34,61.980991
8.980566,17,62.135993
129.144743,67,62.653735
37.959413,34,62.913478
9.257029,11,63.002757
243.314431,113,63.90111
321.439665,191,65.97297
96.427597,82,66.515335
10.717103,18,66.632109
188.487453,101,67.352293
8.680873,12,67.443697
101.127744,65,67.891017
80.224513,111,68.630379
77.793954,47,68.954098
58.535284,42,69.246745
129.289119,65,69.749297
25.300316,26,69.969295
65.335388,55,70.362384
101.787391,62,70.82363
46.082363,35,71.091006
87.144669,51,71.483295
74.283961,46,71.856349
149.028124,106,73.11319
258.799699,130,74.083
202.261421,92,74.801853
186.839328,83,75.377367
224.163448,112,76.186564
163.160475,113,76.955126
183.156142,127,77.848524
181.17584,106,78.58842
211.15302,100,79.308316
16.386358,18,79.442596
113.625984,60,79.905694
225.295415,117,81.123983
317.232546,198,82.874662
245.994338,134,84.137636
212.056405,99,85.098129
340.234437,237,87.166579
173.723337,92,87.886255
12.621905,17,88.000166
321.76825,185,89.842957
194.317458,102,90.561546
74.149286,43,90.870086
235.075777,105,91.685774
75.704263,46,92.050049
278.555953,136,93.163824
222.534221,102,94.023702
221.709408,112,94.849504
84.291897,45,95.184463
277.290712,149,96.222541
115.516713,65,96.689788
260.620688,142,98.13674
259.641599,133,99.128551
168.962979,83,99.742307
233.14546,109,100.549878
212.643135,98,101.295169
271.376216,126,102.329981
275.676802,144,103.596735
228.608384,106,104.449167
153.64927,75,105.030423
249.184814,125,106.397928
221.090231,101,107.141538
240.575873,119,108.070533
239.219234,133,109.06376
214.715249,95,109.787384
286.340633,149,110.992162
246.159982,115,111.929573
263.444536,130,113.073028
91.007043,60,113.600856
243.325443,137,115.180318
245.387743,112,115.933877
205.815674,100,116.633024
244.417814,126,117.573192
254.272168,139,118.566414
238.995409,120,119.432691
87.890915,55,119.819742
59.057101,36,120.092289
217.786837,101,120.813614
277.955933,143,121.899318
66.682807,40,122.171885
276.09443,138,123.615516
261.290251,136,124.652555
265.362355,132,125.597734
232.542931,111,126.373424
117.897571,68,126.883646
271.036651,129,127.829054
211.431907,96,128.550335
153.37382,102,129.281409
287.96613,138,130.824551
251.254018,132,131.880421
269.23569,126,132.887354
251.03307,114,133.961193
267.334374,139,135.23233
249.580381,129,136.407455
218.831139,97,137.302729
234.074699,117,138.337379
310.000143,168,140.144384
248.91981,122,141.041749
267.970285,129,142.059937
243.110803,127,143.115844
261.357142,126,144.07275
260.927064,111,144.933281
257.073427,114,145.771604
258.947484,123,146.693557
255.447825,121,147.535445
308.354833,148,149.035489
130.821206,65,149.542954
251.066118,130,150.518583
259.193567,137,151.614206
269.504953,135,152.698822
238.266243,117,153.627486
265.390394,139,154.693455
135.128012,72,155.25031
280.809469,152,156.796635
275.261538,135,157.810234
369.986026,210,159.390367
337.705554,173,160.780651
305.633353,172,162.056065
295.521485,144,163.057764
286.81523,141,164.143564
271.935838,139,165.735674
253.328254,127,166.635092
244.540864,128,167.528891
333.306709,181,168.814439
288.335863,152,169.96927
273.519553,141,171.026376
352.613898,187,172.766452
290.516835,148,173.947924
330.456726,199,175.541748
320.801326,160,176.784183
324.865688,169,178.01996
296.103313,159,179.252254
321.622571,168,180.413273
304.941143,171,182.144275
343.167292,192,183.598352
261.950155,135,184.802751
283.768387,157,186.259552
312.238447,174,187.8612
331.337383,176,189.334526
413.427106,234,191.644674
346.56166,180,193.10025
122.185261,87,193.781554
339.78343,198,195.361567
122.662803,92,196.057863
416.265826,281,198.591073
341.592743,163,199.804272
256.413522,127,200.809266
302.00144,167,202.141237
306.791042,163,203.424291
347.150547,178,204.731761
419.025252,275,207.1885
308.707912,147,208.30373
335.26437,187,209.777141
386.616507,197,211.396088
246.091899,118,212.314276
392.550918,230,214.050624
267.239292,145,215.69841
365.759565,185,216.930795
421.297982,277,218.906859
384.614659,211,220.535124
328.150997,190,221.945688
350.173987,201,224.002159
429.772559,263,225.938936
322.656656,223,227.538047
355.502134,199,229.012561
352.543642,205,230.559986
726.17442,467,234.504115
157.623892,113,235.387996
494.639869,314,238.194015
470.096002,298,241.550724
649.364597,441,245.098938
115.347039,82,245.738209
468.818794,233,247.502262
411.874216,211,249.560576
312.351497,185,250.930105
532.062236,336,253.538757
322.064915,178,254.775856
439.132421,239,256.950824
747.496024,516,260.89178
420.154538,247,262.650733
563.018046,358,265.853506
355.910237,196,267.244
609.407245,410,270.31094
582.530878,341,273.243817
1086.947115,778,278.611386
928.417271,680,284.176397
1034.814324,724,291.466905
672.341838,579,295.834007
1052.409325,833,302.312815
617.792998,366,305.200079
817.08351,545,309.580049
1022.184112,717,315.286105
1108.877242,1000,323.375795
780.706178,640,328.040515
477.433806,239,329.853154
1141.220953,1000,338.323122
1207.027579,1000,346.982058
548.017998,460,350.763472
663.626304,516,354.650409
520.811308,269,357.101993
325.93059,244,358.901051
271.122043,207,360.350685
1175.158071,1000,368.587143
944.431539,720,374.37753
168.639683,113,375.127747
831.951193,687,380.54582
1120.880048,1000,389.096699
1112.975076,1000,397.014868
1102.409476,1000,404.972481
1106.83034,1000,412.905597
1125.311919,1000,420.938343
1098.382085,1000,429.043181
1143.479967,1000,436.936689
1105.520015,1000,446.094051
1149.651474,1000,453.897195
717.873323,508,458.159665
1155.666943,1000,466.190041
468.692733,408,469.259758
1112.587486,1000,476.978434
1157.843513,1000,484.999526
1142.135622,1000,493.201061
1182.904302,1000,501.832896
585.512519,300,504.073632
1219.651218,1000,511.952086
1195.850941,1000,520.141992
1161.297931,991,528.028793
1128.677455,1000,535.836367
1160.631664,1000,543.594957
1170.123162,1000,552.831677
1215.166283,1000,560.476232
1228.898661,1000,568.780278
914.265201,587,573.532626
540.881518,275,575.449266
520.374924,275,577.514099
704.331895,424,581.089592
1217.177945,1000,589.117557
937.323949,584,593.532381
588.710936,314,596.813328
1388.100378,864,603.822603
410.773221,204,605.881765
559.42671,261,607.860028
449.813034,219,609.510621
1017.977706,482,613.801058
712.907185,328,616.276603
471.603846,227,617.859337
560.58081,259,619.919371
749.114067,379,623.46456
1389.810113,821,629.769633
1295.422888,759,635.476494
748.772467,418,638.995593
806.106162,387,641.828586
573.656599,271,643.817165
618.91124,292,646.574692
1089.902938,569,651.841027
609.999082,257,653.970702
486.298716,222,656.074257
532.102821,238,657.970787
443.964047,245,659.798897
594.356091,264,662.04216
437.796322,208,664.271932
600.678482,255,666.127056
428.497033,198,667.561177
520.044636,230,669.295243
395.528628,187,670.641472
915.238531,386,673.80067
442.164534,204,675.395909
280.665368,136,676.366142
580.479189,252,678.146885
921.556814,490,682.11429
792.42868,364,684.820965
849.7862,330,687.799651
737.932292,280,689.85535
813.977283,323,692.259396
231.761195,133,693.221083
716.524335,345,696.284871
590.243562,239,698.367065
553.950183,228,700.598383
545.728937,240,702.981225
371.691421,176,704.33202
838.560494,345,707.294678
516.757996,223,708.890468
607.515043,271,710.944053
702.793822,268,713.561687
386.938735,198,715.096784
439.118047,183,716.398264
790.79962,279,718.419821
456.040685,250,720.297764
661.596321,247,722.613663
760.470428,337,725.089259
390.074194,163,726.308103
671.300703,263,728.21716
469.005214,232,730.452955
933.409384,422,733.627957
856.595489,338,735.983386
802.771729,298,738.672647
727.346338,294,740.914143
333.446525,151,742.039661
756.180737,279,744.077745
519.919725,219,746.146092
819.205006,292,748.382698
860.862744,342,751.853717
679.649784,267,754.174126
784.017482,282,756.655239
637.653745,240,758.341468
808.503627,364,761.050428
498.401433,193,762.756406
631.671124,237,765.173409
635.41057,229,766.927205
811.801005,297,769.028698
919.361061,317,771.638007
562.409084,271,773.648712
640.754014,272,775.661765
552.156599,226,777.294426
606.937817,213,779.144133
379.200833,176,780.558349
411.412478,161,781.759254
657.119435,236,783.582423
613.254942,245,785.376185
771.163947,297,788.039204
760.407596,293,790.285257
849.338461,298,792.721269
869.250651,316,795.164292
445.309774,195,796.958902
608.626817,207,798.503583
349.60225,179,799.903061
751.093265,272,802.303892
808.384723,277,805.562324
900.136335,329,808.146794
1134.947281,388,811.193881
759.360604,283,814.072977
701.732396,319,816.358877
766.74975,275,818.288435
751.325525,255,820.096841
759.686862,271,822.794854
993.314661,359,825.338147
874.242145,356,827.799882
850.350915,344,830.770382
397.216364,157,831.98157
719.553516,274,833.992107
927.273052,318,836.356215
540.886464,182,838.31639
936.244785,313,840.821311
856.797749,339,843.482816
1026.724304,374,846.719479
768.390287,258,848.69867
1102.527388,463,852.612711
927.666596,323,856.070038
971.003403,370,859.066621
727.422665,263,861.06352
745.723135,261,863.143354
729.823252,225,865.334507
747.882723,269,867.25215
915.727054,331,869.468228
780.855147,264,871.769292
958.156114,395,874.777668
570.920872,210,876.341725
827.845629,308,878.564604
904.375321,310,881.265056
773.638958,292,883.593164
1099.272603,394,886.560818
987.461305,370,889.811409
