TimestepsSoFar,entloss,optimgain,EpisodesSoFar,ev_tdlam_before,meankl,EpRewMean,EpLenMean,EpThisIter,TimeElapsed,surrgain,EpTrueRewMean,entropy
3012,0.0,0.045836426,29,0.18252301216125488,0.0078705,13.114771,34.62068965517241,29,27.763577461242676,0.045836426,35.68331084369533,4.208843
6009,0.0,0.045967277,52,0.3315383791923523,0.006907655,13.500204,39.25,23,52.598886489868164,0.045967277,50.48121853576962,4.178663
8691,0.0,0.047116607,59,0.6593455970287323,0.006844284,18.860165,56.85,7,77.45248913764954,0.047116607,84.47541732750997,4.1501126
11772,0.0,0.042848866,68,0.8280356973409653,0.0057506426,23.363087,73.35,9,102.66769671440125,0.042848866,124.67483653936571,4.111154
14748,0.0,0.040516827,76,0.9373856112360954,0.00657783,28.756397,92.475,8,127.83457207679749,0.040516827,169.0918562265744,4.0923686
18129,0.0,0.048425056,83,0.9717669989913702,0.0070609194,33.637737,112.2,7,152.5986363887787,0.048425056,212.3397904724812,4.041535
21144,0.0,0.041376404,89,0.9670149423182011,0.006219314,37.222054,130.075,6,177.84733366966248,0.041376404,247.1967953759513,4.0159154
24606,0.0,0.042740185,95,0.9480203278362751,0.006181529,38.37568,143.75,6,202.949214220047,0.042740185,272.42688750597733,3.9913156
27288,0.0,0.041554186,98,0.7993297427892685,0.0058156527,39.448677,155.4,3,228.23107171058655,0.041554186,288.7374875567722,3.933024
30294,0.0,0.04911354,101,0.9610538147389889,0.005243527,42.213493,174.375,3,252.94240593910217,0.04911354,316.8346384048441,3.88353
32334,0.0,0.031201864,102,0.9016205072402954,0.0062454445,44.02988,188.4,1,277.6074457168579,0.031201864,334.03067333831325,3.8587935
33969,0.0,0.050629452,103,0.9065374061465263,0.0059999656,45.287548,198.7,1,302.20814394950867,0.050629452,348.4772802190249,3.8626287
36969,0.0,0.033266034,104,-0.05910170078277588,0.0062980405,47.408886,221.325,1,327.4805836677551,0.033266034,371.63992282881134,3.835058
39129,0.0,0.05206401,107,0.33340728282928467,0.006577221,46.87426,229.475,3,352.0968108177185,0.05206401,379.68789256696823,3.8332427
41190,0.0,0.034702875,108,0.3388192057609558,0.0045591057,48.22315,245.15,1,376.84314250946045,0.034702875,398.21149631128264,3.8255537
44190,0.0,0.032202855,109,0.0076444149017333984,0.0068092044,49.19848,266.7,1,401.7244017124176,0.032202855,418.68310155282023,3.8235784
47190,0.0,0.03762514,110,0.2558586597442627,0.0073320735,50.18701,288.4,1,426.41865253448486,0.03762514,440.98875029380196,3.7855892
48714,0.0,0.04561092,111,0.25682854652404785,0.0056694155,50.729248,297.95,1,451.6991205215454,0.04561092,452.20469113194156,3.789662
51714,0.0,0.03296985,112,-0.0006511211395263672,0.0063009327,51.699646,320.1,1,476.09044122695923,0.03296985,474.87495220606945,3.8141196
54714,0.0,0.03802264,113,0.06531250476837158,0.00733818,52.68206,341.625,1,501.4586374759674,0.03802264,498.68287329019057,3.8101442
57714,0.0,0.044017695,114,0.0496978759765625,0.007378719,53.127174,363.4,1,525.7589063644409,0.044017695,520.6603001352594,3.788301
60714,0.0,0.032441232,115,0.25531095266342163,0.00592552,54.21334,385.975,1,551.3026599884033,0.032441232,545.5686787202718,3.8980577
61986,0.0,0.06798872,116,0.6617673933506012,0.006628123,55.28662,393.65,1,575.4549417495728,0.06798872,557.325108617544,3.8596132
64038,0.0,0.06445869,119,0.7702904045581818,0.0072389147,57.11316,398.325,3,601.1991403102875,0.06445869,569.6740069391457,3.8755057
68778,0.0,0.06643583,121,0.8631594926118851,0.0069627087,62.500954,429.2,2,625.5674097537994,0.06643583,620.7213593083891,3.875311
71685,0.0,0.054515917,125,0.8011152893304825,0.0070980685,64.53273,437.225,4,651.6970551013947,0.054515917,641.3782724194413,3.8590758
74247,0.0,0.08102554,127,0.6796413362026215,0.006810804,67.83817,451.275,2,675.5019748210907,0.08102554,670.5849462175704,3.8757496
76764,0.0,0.06744216,130,0.8129995763301849,0.0070087835,70.42593,456.625,3,701.2587397098541,0.06744216,693.0907574859376,3.8535635
