# {"t_start": 1555508312.302291, "env_id": "Hopper-v2"} 
r,l,t
8.927519,11,12.947912
122.644501,64,13.403408
4.346522,12,13.491565
10.220115,13,13.58155
14.295575,25,13.738396
33.528882,28,13.921015
12.023554,14,14.028762
16.086258,15,14.153445
9.565109,13,14.241209
13.38892,18,14.380905
8.334229,13,14.481051
12.439942,14,14.594733
22.812713,36,14.877912
14.965044,22,15.047869
19.082814,19,15.186665
12.581445,19,15.334175
9.145735,11,15.43735
15.295807,24,15.614018
10.089149,18,15.750332
14.127834,26,15.951564
11.49575,25,16.123249
13.558912,16,16.235197
13.568625,28,16.436107
13.806461,18,16.563201
8.882116,15,16.678817
8.92139,22,16.833993
20.921201,21,17.004924
25.088439,21,17.157831
87.433492,61,17.602539
8.247663,10,17.682494
33.899926,39,17.963907
22.555727,33,18.208261
17.115336,29,18.427179
23.849988,22,18.582393
8.866175,11,18.652313
132.61087,73,19.200887
10.075708,13,19.307861
6.354914,10,19.376879
23.62706,23,19.56364
8.626469,13,19.681252
16.346332,42,20.052068
6.862086,9,20.110888
6.350813,10,20.184847
7.076789,9,20.262049
13.552775,14,20.396333
7.814941,14,20.515347
59.784034,53,22.41504
24.479451,23,22.576576
15.48108,15,22.661242
8.900768,11,22.741642
12.380412,19,22.865632
7.349571,16,22.975495
54.772382,39,23.239437
8.229467,11,23.332797
45.565039,46,23.672056
15.54625,22,23.836725
8.136252,18,23.964688
12.58868,22,24.101584
15.075265,19,24.2323
15.35831,35,24.466372
11.008951,19,24.597366
15.7516,30,24.817241
134.489094,83,25.440541
7.117347,9,25.498725
10.263971,12,25.611151
10.535229,13,25.694666
9.096667,14,25.814143
11.738799,24,25.989843
11.667544,16,26.118973
11.864376,22,26.265017
6.233201,8,26.325381
8.119338,12,26.413049
78.210262,65,26.901749
21.127121,17,27.029599
23.786939,42,27.40836
5.51205,13,27.532146
16.288165,19,27.695107
9.975535,17,27.831107
70.004724,41,28.185388
17.864629,17,28.320217
15.788652,42,28.693845
19.653696,35,28.992508
8.510252,16,29.138298
8.362507,13,29.265594
6.837168,12,29.401366
8.111443,10,29.492322
16.927663,16,29.639632
10.062,20,29.830895
5.924749,19,30.050832
15.689489,23,30.894675
12.958639,24,31.117523
37.242867,33,31.452446
18.441912,29,31.771612
30.125464,26,32.058361
11.522393,18,32.244276
10.537116,13,32.371527
16.217801,19,32.579566
6.775403,16,32.730091
82.773757,47,33.093755
14.024001,32,33.322767
25.182813,35,33.602269
80.535701,47,33.950589
37.623318,52,34.385864
7.405302,11,34.470992
9.929606,11,34.557407
11.537779,18,34.680487
8.817281,33,34.943084
7.75597,9,35.019531
25.725127,31,35.254035
15.033598,16,35.389176
5.986968,21,35.559243
18.760252,25,35.757878
55.941632,58,36.202837
86.365783,54,36.635319
13.698971,15,36.75601
58.610171,52,37.146148
6.019729,9,37.215605
27.271375,28,37.431376
31.399851,48,37.76327
12.569263,22,37.925401
93.44884,78,38.45089
11.96827,15,38.547292
4.941402,13,38.656132
177.051838,82,40.230809
75.03176,45,40.57037
12.615597,16,40.678155
6.819355,30,40.88969
14.500388,16,41.01733
68.505292,47,41.376454
30.234931,38,41.704495
3.37785,26,41.925995
13.639784,41,42.233923
172.249046,103,42.974031
20.186858,26,43.148027
8.415677,16,43.244839
8.60506,19,43.376684
13.115417,29,43.600019
8.418083,22,43.743794
33.983383,38,43.991729
13.221926,20,44.116284
141.359588,79,44.655444
132.060437,95,45.290754
41.109864,48,45.624574
14.056429,31,45.841186
7.720409,9,45.913913
12.722592,25,46.082991
84.11065,49,46.415848
11.525774,15,46.524366
8.155282,10,46.599971
11.944974,29,46.814908
8.966092,33,47.035891
14.935239,20,47.174438
96.20473,67,47.991329
39.587116,49,48.322888
11.444902,40,48.596354
7.328624,12,48.678021
9.692921,19,48.816126
98.503771,65,49.308162
250.899028,160,50.594635
217.081297,99,51.39742
90.490036,52,51.855791
99.08734,63,52.404779
138.184558,68,52.917561
92.37429,57,53.317704
33.727164,50,53.703938
228.934048,101,54.446769
10.647248,16,54.562618
183.676818,108,55.362843
62.873476,48,56.103433
21.739051,20,56.243606
116.774867,77,56.801769
49.346265,59,57.209985
36.480357,37,57.521404
93.29759,74,58.074034
163.597815,79,58.697472
57.409328,38,58.984943
156.083511,75,59.558912
73.506149,43,59.906492
164.547267,86,60.660311
27.425791,56,61.073315
37.15966,64,61.598258
146.282182,78,62.245742
90.204364,75,62.829571
81.998374,60,63.33213
29.970695,32,63.589639
14.485608,16,63.728034
7.01914,10,63.806188
127.469163,63,64.857412
199.255902,111,65.638245
112.192033,61,66.059117
45.178731,27,66.246788
83.593251,56,66.65433
146.330736,94,67.358554
143.325191,68,67.888932
57.198589,35,68.144682
154.150823,94,68.863582
58.046419,52,69.238678
185.97398,91,69.97063
96.827536,67,70.507837
82.471319,50,70.872357
111.105402,60,71.324255
89.648433,53,71.712245
72.511182,43,72.04716
196.101776,103,73.295898
199.049703,91,73.98929
150.986704,76,74.55176
222.78667,108,75.290463
119.561796,76,75.837968
225.816479,108,76.614766
99.103187,56,77.008078
215.205057,98,77.701556
94.933624,57,78.071121
134.083187,69,78.550182
164.496311,80,79.073344
169.027791,83,79.628968
185.399622,96,80.690519
241.553311,117,81.658966
140.927038,78,82.454512
153.454329,75,83.199722
203.284154,88,84.122135
178.852768,84,84.967637
19.789183,47,85.388467
160.375162,75,86.076796
202.206273,98,86.932834
209.06959,95,87.719778
47.854704,74,88.200605
124.049223,68,88.716581
196.57479,87,89.87253
13.16776,39,90.117679
80.924392,47,90.424276
292.116461,173,91.713065
223.244273,109,92.569183
244.583502,131,93.691176
28.777845,29,93.915867
55.629225,33,94.173796
217.603489,94,94.894228
46.047043,47,95.219897
218.129394,94,95.876101
131.268606,80,96.467812
92.366151,51,96.868733
222.219669,100,97.978438
36.345636,65,98.445872
74.138174,104,99.163414
216.998681,95,99.872404
52.293006,79,100.501261
84.565629,49,100.867599
110.087787,101,101.684958
168.732503,79,102.382277
242.386447,119,103.449058
9.04528,19,103.641116
228.730278,105,104.468755
214.57572,101,105.169087
221.472993,105,106.407187
209.243654,101,107.199602
233.708412,108,108.053942
257.216151,136,109.118387
264.819151,135,110.09709
249.209131,127,111.101736
172.768977,84,111.83811
296.244458,148,113.025831
216.500339,99,113.7658
189.211126,86,114.951649
246.942266,128,115.830753
206.885947,92,116.486058
320.713842,136,117.459834
261.360027,132,118.406093
267.113572,134,119.348481
250.3894,126,120.266904
284.0495,154,121.42207
206.779873,94,122.177628
64.073051,39,122.940707
243.126483,116,123.853715
170.765422,79,124.442767
219.063738,111,125.284695
253.409257,135,126.259367
135.756182,77,126.810663
108.451982,84,127.449171
268.863118,120,128.337387
278.249801,126,129.280368
245.895257,122,130.205691
207.139832,100,131.381127
468.776046,294,133.963565
228.371106,109,134.987003
313.340073,132,136.184348
246.334757,129,137.373148
248.248041,121,138.384366
222.937774,101,139.077231
269.817051,120,140.645391
305.229885,130,141.649759
243.935133,111,142.516969
266.443378,141,143.647152
227.813721,106,144.42676
314.411982,170,145.648193
301.498071,140,146.667313
247.577358,120,147.518539
354.253213,149,149.129254
283.584719,133,150.139441
268.438262,115,151.020066
214.531091,94,151.784667
319.078586,137,152.836134
304.763793,151,154.024662
287.803212,128,154.987465
363.530846,179,156.75516
279.929569,122,157.684391
285.180295,131,158.606267
266.112662,123,159.533093
269.690367,120,160.434972
268.261643,148,161.512427
358.157008,169,162.669595
291.187747,141,163.802593
321.096715,128,165.422877
330.272636,153,166.487159
306.983286,164,167.633677
282.155671,115,168.426131
323.08235,149,169.518016
335.881618,147,170.645885
325.763114,131,171.570596
270.067059,133,172.928353
241.066072,130,173.976814
130.147155,80,174.602488
326.410514,149,175.801109
412.125634,186,177.189823
349.478055,137,178.167308
366.864148,177,179.370331
350.016879,145,180.775311
285.660412,154,181.933885
274.232693,144,183.046359
311.181676,178,184.598423
327.003336,155,185.948902
306.583312,153,187.32652
255.457517,135,188.503978
289.891579,148,190.244127
369.935235,162,191.460166
353.587172,167,192.87527
373.358093,183,194.316526
398.363437,222,196.060756
483.502052,213,197.675318
349.735369,177,199.494369
350.494905,157,200.70907
206.657326,107,201.499809
353.217943,145,202.637424
111.712531,66,203.147106
399.552877,191,204.619272
320.9567,185,205.953289
320.934415,144,207.394252
355.911106,171,208.686483
450.258402,224,210.462048
323.266029,122,211.516766
347.592369,159,212.736233
383.323049,188,214.268841
473.138053,256,216.643136
361.725396,169,217.855114
343.459479,166,219.064363
321.298825,141,220.124599
421.439038,215,221.795505
409.806483,215,223.897699
350.883882,147,225.00095
438.409745,237,226.681848
370.661844,180,228.037181
350.227544,155,229.183378
298.307284,147,230.333614
263.724103,128,231.679469
344.552116,157,232.821106
376.160138,167,234.122988
394.706935,194,235.716002
305.585261,161,237.185593
620.352218,311,240.786211
507.50063,261,242.852798
404.395608,220,244.563933
380.684684,186,246.005334
347.1963,151,247.147944
380.70307,175,248.96701
636.41603,289,251.147873
420.265363,244,253.002928
348.080406,155,254.126009
800.744897,352,257.196743
400.757988,189,258.65304
427.171882,192,260.058095
504.093179,200,261.444868
358.678042,161,262.672938
462.488791,251,265.16351
360.55294,170,266.388609
746.977559,293,268.576817
423.394128,218,270.044095
198.880181,113,270.891873
664.847617,328,273.964345
761.689864,423,276.991499
433.736883,206,278.452629
548.354411,234,280.214997
519.369542,289,282.961837
554.716086,255,284.89078
430.026713,219,286.590615
614.113648,276,289.442834
550.907718,249,292.693283
536.807665,203,294.191225
321.051137,143,295.258776
791.581804,323,297.56278
589.238293,205,299.512339
1006.735115,444,302.844763
389.771124,183,304.211249
575.879181,223,305.851058
1207.045234,452,309.764131
692.882757,254,311.711871
1292.345181,498,315.878955
894.237812,371,318.681042
425.2234,185,320.079088
570.938554,209,321.598913
770.266215,332,324.587874
602.588204,275,326.548333
426.406474,152,327.734791
854.825583,333,330.296671
752.305626,289,333.034861
995.745926,388,335.916774
1283.439321,470,340.235051
1706.839083,651,345.858679
755.703964,300,348.155808
736.131359,278,350.626775
1438.498657,553,354.645376
86.393817,48,354.970386
220.283295,126,355.98309
729.115888,339,359.009763
696.524407,284,360.98247
960.595982,390,364.115295
1097.504192,451,368.139399
262.346992,139,369.184445
2005.991893,902,376.125627
1306.622093,449,379.404565
1327.020579,519,383.961592
2062.389186,769,391.002801
271.686456,131,392.231123
680.322908,291,394.433
1209.00069,476,397.950986
780.701275,309,400.77889
1176.945099,431,403.941347
229.713527,125,404.869446
753.167972,332,407.817012
279.552066,136,408.825231
1878.278042,732,414.284766
2449.684917,1000,422.336612
461.905361,232,424.511319
898.076366,331,427.077036
240.346374,129,428.027812
528.726822,269,430.043745
1979.553929,785,436.332245
221.177068,131,437.342234
2450.253249,1000,446.386492
244.044895,132,447.361603
1701.906981,662,452.675248
216.413089,124,453.610471
254.663642,128,454.631484
1264.408565,441,458.383204
244.13472,130,459.280391
1006.047863,420,462.374126
655.651954,228,464.186457
2501.520928,1000,472.314587
1617.024669,616,477.227903
996.681284,444,480.809874
1142.491145,436,484.531616
959.56352,371,487.198563
996.319159,380,490.516022
1398.478455,562,495.383596
1285.544164,453,499.487877
214.89743,124,500.455906
278.621101,134,501.490395
76.093794,44,501.833044
215.137809,126,502.77072
270.596787,139,503.885965
1606.599087,545,508.430505
349.62311,178,509.797356
323.915336,230,511.668679
1622.680005,566,516.809949
1904.65148,699,521.966587
2182.993618,742,527.95214
1527.377626,553,532.427424
900.309983,304,534.671416
1987.380727,739,540.620278
1966.845431,664,546.039269
459.905209,194,547.755795
383.832511,173,549.678012
1146.588905,432,553.21133
459.855369,188,554.661426
1184.538094,399,557.950047
920.3823,413,560.990255
1088.408717,459,564.665493
836.753201,305,567.359469
1619.162222,609,571.873873
48.729253,29,572.121307
204.52122,121,573.438556
1732.229406,638,578.170747
1625.484618,626,583.15805
2181.689218,793,589.682863
354.52974,188,591.034645
2341.232387,848,598.649979
1672.848356,623,603.54344
2345.647741,792,610.101618
2235.680777,775,616.50115
401.88503,205,617.999551
522.254321,177,619.362618
707.752625,280,621.601969
554.977961,234,623.97834
2726.009001,1000,631.642132
2755.150417,913,638.268611
2918.368584,1000,646.497264
1011.268383,374,650.55726
672.817272,262,652.602563
1317.688887,465,656.141618
1645.614422,608,661.332636
1811.992426,641,666.801251
991.15039,330,669.19202
1363.752947,454,672.515735
664.490778,251,674.787252
1142.112559,362,677.442818
1671.461964,579,682.18685
2869.970694,1000,690.110807
3059.753662,1000,698.714756
1443.858349,470,703.117089
1630.740373,514,707.363822
1219.861195,478,710.79663
1185.321128,364,713.631385
955.867558,334,716.751643
923.624507,322,719.034141
690.525233,232,720.794576
1101.106876,334,723.745294
1452.856434,446,727.005656
1613.189747,531,731.036289
942.486144,296,733.695239
42.620804,31,733.914897
1144.782731,382,736.627875
444.933002,247,738.412532
807.94614,309,741.338695
366.793075,158,742.537022
445.121792,187,743.912551
1519.356038,476,748.092224
818.212987,279,750.861052
2218.395228,750,757.267622
2077.064483,640,762.214561
976.297843,337,764.925834
257.304588,130,766.473018
894.121223,274,768.424963
1429.295471,450,771.546108
2223.890407,743,777.449844
1543.443492,465,780.79525
1010.104079,349,783.92524
1631.392691,552,787.824554
784.614518,259,790.444819
466.340298,239,792.511692
500.06698,167,793.796598
860.996585,297,795.999717
734.851709,235,798.246327
