EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
19.469805,0.542459100484848,3051,103.4729938940482,46,24.15643,0.13597074,0.13597074,0.0069124615,46,21.925,10.554244041442871,0.0
24.285229,0.537122368812561,6048,124.90656855666182,83,24.150944,0.15498185,0.15498185,0.006867319,37,26.6,19.73693084716797,0.0
22.889133,0.3921164274215698,9123,123.68020773104244,122,24.126692,0.17472562,0.17472562,0.0068360805,39,26.325,28.94460105895996,0.0
25.85722,0.41126948595046997,12231,141.80087360093145,156,24.081219,0.15462445,0.15462445,0.006667559,34,30.3,38.25187706947327,0.0
26.975458,0.5056366622447968,15222,149.69047950176122,185,24.101242,0.14042352,0.14042352,0.0071243937,29,32.1,47.53878664970398,0.0
30.63832,0.5759459733963013,18426,168.34550958888386,214,24.112963,0.14184219,0.14184219,0.007540863,29,35.325,56.20667862892151,0.0
31.697077,0.564595103263855,21525,174.76838946391177,241,24.081804,0.14158338,0.14158338,0.006864045,27,36.55,64.63782691955566,0.0
34.7538,0.5585273206233978,24534,180.9051516450676,265,24.075603,0.1458436,0.1458436,0.0077951914,24,37.9,73.09696292877197,0.0
43.18279,0.5362630486488342,27612,204.31804472936875,288,24.057068,0.14655913,0.14655913,0.0076843007,23,43.15,81.59084177017212,0.0
38.427834,0.46651023626327515,30588,199.69382936100527,312,24.035812,0.1722906,0.1722906,0.007527099,24,42.375,90.06447100639343,0.0
41.2262,0.5385504066944122,33648,217.18366628242475,333,24.02075,0.16545057,0.16545057,0.007843044,21,45.875,98.55858206748962,0.0
46.928246,0.7129452228546143,36804,240.12208235257634,353,24.00051,0.16417614,0.16417614,0.007750852,20,50.175,107.00486755371094,0.0
58.582294,0.5626362562179565,39870,272.3534755847074,370,23.993637,0.16716208,0.16716208,0.0076483595,17,55.65,115.4868712425232,0.0
64.80267,0.6801773905754089,42933,288.74168983293293,387,24.016352,0.16448419,0.16448419,0.0077960757,17,58.875,124.01753759384155,0.0
65.5464,0.7176149785518646,45945,295.8022625988991,404,23.989496,0.18079242,0.18079242,0.008024644,17,60.325,132.52522587776184,0.0
63.089546,0.7891900837421417,48990,301.6254820705004,420,23.965637,0.162942,0.162942,0.0078349635,16,62.0,141.0686206817627,0.0
59.313526,0.7059391140937805,51996,303.0944715483944,436,23.942448,0.19023383,0.19023383,0.007844605,16,61.6,149.68070340156555,0.0
63.56366,0.7219439148902893,55047,311.86926067281786,452,23.942694,0.16849868,0.16849868,0.008326635,16,62.75,158.48706150054932,0.0
