# {"env_id": "Humanoid-v2", "t_start": 1551147922.0667562} 
r,l,t
115.581811,24,25.963326
89.981516,19,26.006151
81.69583,17,26.041611
196.725043,41,26.133534
89.399296,19,26.174367
96.826331,20,26.217263
84.643367,18,26.256892
81.257504,17,26.294534
140.214598,29,26.355739
164.373952,33,26.426521
76.096056,16,26.458181
81.302599,17,26.491716
85.536873,18,26.528414
129.158772,27,26.586453
109.063073,25,26.642576
90.329538,19,26.682904
112.183184,23,26.733397
81.25118,17,26.769678
80.386996,17,26.807354
148.061826,30,26.882635
86.583039,18,26.928216
85.426339,18,26.970357
87.411217,18,27.017594
122.686694,26,27.083801
81.60648,17,27.132342
130.652968,29,27.207922
83.801078,18,27.256918
106.736585,22,27.315182
80.951763,17,27.360407
122.904625,26,27.428156
86.39949,18,27.472578
95.731642,23,27.521412
123.006057,26,27.578121
74.453339,16,27.612275
107.539878,23,27.662403
91.687626,19,27.703093
100.569876,22,27.751374
158.785763,33,27.827351
91.0052,20,27.870671
76.442869,16,27.905524
80.26442,17,27.940957
91.273154,19,27.98198
163.688482,36,28.061122
86.720269,18,28.103032
76.388996,16,28.136539
94.572506,20,28.181289
81.411623,17,28.217177
101.970323,21,29.101668
107.134407,24,29.15871
107.184519,23,29.211732
96.922697,20,29.265166
86.231777,18,29.310223
113.03099,24,29.374038
76.278279,16,29.413366
133.246857,30,29.497374
98.759566,21,29.554452
175.64299,40,29.665644
81.566846,17,29.708436
106.195575,22,29.76194
156.936169,33,29.842569
158.190872,35,29.920143
143.37779,30,29.985761
124.709034,27,30.046829
90.245088,19,30.087057
75.546159,16,30.124458
81.215731,17,30.160464
123.011531,25,30.215536
110.870984,23,30.267598
79.424463,17,30.3034
75.782958,16,30.341929
122.348611,26,30.399383
89.892548,19,30.440507
85.735428,18,30.478341
168.225405,36,30.557949
81.442681,17,30.591215
85.289377,18,30.629632
95.39281,20,30.672625
88.688067,19,30.712998
76.062659,16,30.747645
80.349004,17,30.782837
137.092076,30,30.847715
81.177877,17,30.88436
107.445502,23,30.932443
85.415975,18,30.96981
90.482875,19,31.009887
118.426386,27,31.068374
119.238153,26,31.128975
113.113975,24,31.181174
82.274348,17,31.216781
75.991041,16,31.251348
99.200474,21,31.302122
131.78592,28,31.372383
76.712612,16,31.407282
135.57458,30,31.7907
87.744122,18,31.839789
85.377447,18,31.888214
71.503741,15,31.933605
95.616144,20,31.988053
85.657822,18,32.036355
94.267418,21,32.096735
169.570404,36,32.19665
80.866813,17,32.236875
103.586258,22,32.288097
88.618429,19,32.328201
135.127116,28,32.387607
85.715437,18,32.424966
79.991919,17,32.461865
81.500012,18,32.498849
79.567194,17,32.535768
85.075997,18,32.574442
75.89722,16,32.607563
126.378386,27,32.668129
85.764378,18,32.706326
96.423287,20,32.747608
155.812736,31,32.816349
129.902021,28,32.879517
81.479266,17,32.914853
80.213186,17,32.951912
179.675794,40,33.040592
105.754932,22,33.08953
117.276716,24,33.142721
76.036809,16,33.175995
80.203381,17,33.211551
117.219517,24,33.263515
81.32153,17,33.297593
76.34956,16,33.331447
223.257969,47,33.439983
87.927684,18,33.478313
81.26871,17,33.514174
100.779053,21,33.558434
80.944698,17,33.594247
141.81637,31,33.661265
163.992024,36,33.739292
116.165055,24,33.788637
121.664877,25,33.846753
122.397539,26,33.906944
84.493917,18,33.949746
97.679881,22,34.015304
90.897716,19,34.070688
268.747618,53,35.354087
86.217871,18,35.392002
84.737937,18,35.431016
124.431422,26,35.484568
79.9108,17,35.522315
80.759784,17,35.557204
81.144003,17,35.593934
214.036763,47,35.702046
143.025371,29,35.765424
75.319876,16,35.79861
177.289023,37,35.880045
178.679635,40,35.966031
91.180185,20,36.008127
113.470808,23,36.057616
208.204282,49,36.170554
81.332049,17,36.206253
147.120219,33,36.288155
142.396059,31,36.367181
77.462636,17,36.424538
139.480532,30,36.500427
85.014262,18,36.554152
80.061503,17,36.598674
73.884744,16,36.63788
101.0477,21,36.697861
89.458559,19,36.748186
77.858261,17,36.788639
101.953593,21,36.844548
151.109618,35,36.929022
94.0185,20,36.972899
175.511936,36,37.055948
99.884169,21,37.107816
142.296556,32,37.180134
73.802775,16,37.214179
92.227057,19,37.252414
81.448263,17,37.288222
85.971725,18,37.326504
112.240581,23,37.376417
193.211893,42,37.470472
114.984596,24,37.5307
127.449083,26,37.593351
126.705617,29,37.926596
116.60552,25,37.984293
76.38867,16,38.019487
73.378393,16,38.055857
96.790633,21,38.102104
182.298226,39,38.188679
79.691446,17,38.224239
182.333116,37,38.307825
132.188743,29,38.370378
126.480306,27,38.427569
192.179443,41,38.51752
126.262445,26,38.572387
81.486452,17,38.61113
80.277454,17,38.652962
85.944566,18,38.69398
102.341874,21,38.745167
162.776674,35,38.831571
134.429695,29,38.908935
113.01893,25,38.975015
108.453437,24,39.042417
136.579134,30,39.123417
164.508201,36,39.226722
135.202066,30,39.301154
139.026908,29,39.369375
86.057851,18,39.413633
85.815792,18,39.457469
81.197362,17,39.497277
76.043481,16,39.53193
128.921621,26,39.58778
99.190644,21,39.63153
86.694591,18,39.668796
162.56569,35,39.744452
92.81415,19,39.784613
200.705114,41,39.874373
157.5327,34,39.949018
82.348706,18,39.987666
85.387433,18,40.026412
95.604605,20,40.068532
108.644942,24,40.127005
79.432774,17,40.166633
247.25774,50,40.29324
81.815124,17,40.601103
156.913738,31,40.671942
163.797835,35,40.748937
148.602292,31,40.817651
100.193176,21,40.863912
138.685439,31,40.930454
80.343525,17,40.972552
92.811165,19,41.018932
81.188378,17,41.058803
87.035495,18,41.108495
85.825175,18,41.151086
105.543259,23,41.20727
84.345755,18,41.25084
71.974947,16,41.289974
196.908698,40,41.395513
84.9798,18,41.442446
75.988258,16,41.485362
76.948014,16,41.527308
95.464464,21,41.582444
136.208201,28,41.653439
117.824817,25,41.71271
90.762062,19,41.754625
122.431827,28,41.820842
201.340737,40,41.90937
81.257602,17,41.942987
102.526957,25,41.996792
81.340434,17,42.032155
80.376179,17,42.065886
161.482121,34,42.142755
81.223752,17,42.177595
191.27459,39,42.263424
90.13819,19,42.306231
81.259509,17,42.341792
78.182154,17,42.375317
113.170321,23,42.424583
