EpRewMean,entloss,EpTrueRewMean,TimeElapsed,EpLenMean,optimgain,EpThisIter,entropy,surrgain,ev_tdlam_before,TimestepsSoFar,meankl,EpisodesSoFar
21.0205,0.0,106.57203021086248,9.867072582244873,22.55,0.18219045,46,24.138258,0.18219045,0.2728392481803894,3063,0.007194396,46
19.837585,0.0,107.20519406973945,18.46598482131958,22.65,0.16359213,44,24.104475,0.16359213,0.33625757694244385,6123,0.007187061,90
21.928343,0.0,119.85408365026883,27.04429531097412,25.525,0.13444325,40,24.084894,0.13444325,0.4246593117713928,9186,0.0074068727,130
23.16251,0.0,130.49496179331226,35.80648112297058,28.025,0.15391186,36,24.062485,0.15391186,0.4647938013076782,12246,0.007697424,166
28.672836,0.0,154.07497250026864,44.56611204147339,32.55,0.1471955,29,24.046062,0.1471955,0.5846836864948273,15270,0.006895587,195
32.11843,0.0,167.72200717833175,53.37658500671387,35.65,0.14718953,29,24.013504,0.14718953,0.531910628080368,18324,0.007096827,224
33.357895,0.0,173.41589911594735,62.21260142326355,36.675,0.16055629,27,24.007345,0.16055629,0.4407978057861328,21417,0.0076902104,251
40.292965,0.0,198.3799680888349,71.03321528434753,41.85,0.16097468,22,23.97217,0.16097468,0.4779896140098572,24387,0.007507683,273
43.416786,0.0,214.8137793245935,79.85136675834656,45.4,0.16564175,22,23.958187,0.16564175,0.4217108488082886,27477,0.0076847915,295
44.928,0.0,223.31559930339435,88.7577805519104,47.575,0.15302776,21,23.961897,0.15302776,0.6690963506698608,30522,0.0075661885,316
51.035007,0.0,243.5075050870734,97.7108223438263,50.85,0.151418,20,23.922056,0.151418,0.6522201299667358,33702,0.007576868,336
52.878315,0.0,255.47584377908532,106.66968083381653,53.35,0.16884634,19,23.934816,0.16884634,0.6783474981784821,36765,0.00745341,355
57.29477,0.0,261.67856887677647,115.63045811653137,54.425,0.16194671,17,23.918459,0.16194671,0.6976771056652069,39717,0.007926846,372
66.66984,0.0,280.538636055158,124.62367153167725,58.0,0.15648805,18,23.884842,0.15648805,0.6966700851917267,42840,0.0077919746,390
76.69473,0.0,304.34095717523803,133.51705074310303,63.175,0.16802505,14,23.882322,0.16802505,0.7171679735183716,45840,0.0079765925,404
69.50934,0.0,307.49901652763367,142.51375699043274,63.775,0.165458,18,23.867254,0.165458,0.7005913257598877,48963,0.007560257,422
64.740204,0.0,298.68689927082767,151.54716062545776,60.7,0.18255775,17,23.869635,0.18255775,0.7689875960350037,51972,0.008161185,439
67.04248,0.0,298.72394012357455,160.70687699317932,61.05,0.17410433,15,23.882893,0.17410433,0.7970480173826218,55065,0.007998701,454
73.77394,0.0,326.88240596965244,169.71458864212036,66.25,0.20519075,16,23.906265,0.20519075,0.8023291677236557,58215,0.008118702,470
