entloss,optimgain,TimestepsSoFar,meankl,entropy,EpTrueRewMean,ev_tdlam_before,EpThisIter,TimeElapsed,EpisodesSoFar,surrgain,EpRewMean,EpLenMean
0.0,0.16982171,3075,0.0069051324,24.14844,104.21019882487164,0.48515528440475464,46,6.318650722503662,46,0.16982171,17.501873,22.075
0.0,0.13948494,6153,0.007144118,24.120785,114.56882137042139,0.5786828100681305,42,11.705524921417236,88,0.13948494,21.695808,24.3
0.0,0.13881418,9207,0.0072971587,24.113995,124.81951347845832,0.5513452589511871,37,17.152982711791992,125,0.13881418,23.361057,26.925
0.0,0.16195923,12264,0.007444253,24.119856,129.43307256224108,0.5076344013214111,37,22.56431746482849,162,0.16195923,22.38839,27.425
0.0,0.15329807,15459,0.007330123,24.132996,144.33905605902154,0.4736131429672241,33,27.983567714691162,195,0.15329807,26.961447,30.975
0.0,0.1459111,18633,0.007622284,24.11824,156.38970593098193,0.504605621099472,31,33.52718901634216,226,0.1459111,27.64384,33.4
0.0,0.15322974,21678,0.0071105603,24.147953,174.68150154283043,0.616921454668045,24,39.08604145050049,250,0.15322974,31.260372,37.3
0.0,0.16378477,24846,0.007645201,24.147047,198.23164945842086,0.5359592139720917,25,44.56969952583313,275,0.16378477,38.556713,42.425
0.0,0.18428603,27984,0.007828552,24.12883,216.16994355340313,0.5907289981842041,22,50.08869171142578,297,0.18428603,43.236355,46.05
0.0,0.15955898,31131,0.0074964208,24.127705,238.54236058630917,0.639776736497879,20,55.60079383850098,317,0.15955898,53.435852,49.975
0.0,0.15574315,34152,0.008266179,24.117367,225.45736979566564,0.5270932912826538,23,61.113237142562866,340,0.15574315,47.848927,47.025
0.0,0.16191575,37287,0.007703381,24.099915,239.3747346738014,0.6230730712413788,18,66.65233182907104,358,0.16191575,50.877594,50.175
0.0,0.18233602,40305,0.007877637,24.078127,270.7646621219493,0.6421217620372772,18,72.1085934638977,376,0.18233602,59.713493,56.475
0.0,0.22460634,43530,0.008297273,24.086407,290.97178481657795,0.737829715013504,16,77.65178418159485,392,0.22460634,62.07193,60.275
0.0,0.16971284,46545,0.007973112,24.082987,292.3649359376242,0.7208588719367981,18,83.24361658096313,410,0.16971284,65.26532,60.025
0.0,0.16435185,49602,0.007833277,24.079998,271.0912124669783,0.7551179677248001,18,88.90111231803894,428,0.16435185,61.310535,56.125
0.0,0.18523684,52680,0.007820306,24.07202,281.1739983655174,0.7653446644544601,17,94.48066353797913,445,0.18523684,65.27113,57.675
0.0,0.1804076,55728,0.008242427,24.083673,293.37464715675617,0.7690780758857727,17,100.06638836860657,462,0.1804076,66.33854,59.6
0.0,0.18581963,58734,0.00882134,24.07886,297.07019032837354,0.7593995779752731,16,105.66268682479858,478,0.18581963,65.65664,60.25
0.0,0.18230648,61818,0.008931231,24.031317,292.52621357826666,0.6289504170417786,17,111.36055374145508,495,0.18230648,65.3207,60.25
0.0,0.17388752,64848,0.00781215,24.022444,318.2792757031531,0.781805232167244,14,117.00651121139526,509,0.17388752,73.09584,65.65
0.0,0.2181183,68031,0.0095823705,24.013365,318.2277691576711,0.7676725089550018,17,122.68746519088745,526,0.2181183,68.49373,65.45
0.0,0.20508912,70926,0.00870667,23.983088,320.153356652269,0.7811689525842667,15,128.32133960723877,541,0.20508912,65.57954,65.175
