TimestepsSoFar,entloss,meankl,EpRewMean,EpisodesSoFar,ev_tdlam_before,optimgain,TimeElapsed,entropy,surrgain,EpTrueRewMean,EpThisIter,EpLenMean
3033,0.0,0.006905813,18.967043,42,0.38297295570373535,0.14440003,6.125346422195435,24.117657,0.14440003,112.35872538614595,42,23.9
6138,0.0,0.0066801556,22.095007,89,0.5701515376567841,0.20574984,11.464092493057251,24.102215,0.20574984,107.57147819447316,47,22.675
9219,0.0,0.0071763573,22.829926,129,0.5191926062107086,0.14027104,16.91604781150818,24.076414,0.14027104,119.63072203354045,40,25.675
12330,0.0,0.0070733195,26.708393,163,0.42194974422454834,0.1515809,22.457831382751465,24.082987,0.1515809,143.5864875198418,34,30.4
15408,0.0,0.0072874287,31.697397,192,0.5472445487976074,0.1537483,27.931069374084473,24.047365,0.1537483,163.96431421635293,29,34.25
18522,0.0,0.006759882,27.616806,223,0.45625269412994385,0.16563576,33.46005463600159,24.026613,0.16563576,162.36110601338777,31,33.925
21606,0.0,0.0077498946,29.65445,254,0.5419665277004242,0.15463904,38.97769260406494,24.031906,0.15463904,161.62020001889445,31,34.05
24615,0.0,0.0073293094,38.471355,278,0.5656087398529053,0.15721285,44.45040488243103,24.02879,0.15721285,192.44198001649482,24,39.95
27693,0.0,0.007524167,41.79928,301,0.62559974193573,0.16007994,50.074713706970215,24.03563,0.16007994,208.5358178634038,23,43.325
30741,0.0,0.008046077,48.153103,323,0.5964051485061646,0.16154182,55.49611210823059,24.013918,0.16154182,222.76437720778327,22,45.925
33828,0.0,0.007550625,50.291943,343,0.6394724547863007,0.15395936,60.94799852371216,24.025696,0.15395936,236.2894859559646,20,48.85
36930,0.0,0.008159386,52.407604,362,0.7066798210144043,0.18783522,66.46907234191895,23.99658,0.18783522,255.61566090431228,19,52.75
40044,0.0,0.007946953,54.33557,381,0.6491360366344452,0.172346,72.01852250099182,23.981424,0.172346,263.32926528347787,19,54.625
43107,0.0,0.007826445,55.2123,398,0.6942932307720184,0.16616882,77.51043200492859,23.960224,0.16616882,267.0356391700752,17,55.8
45996,0.0,0.008511999,66.28441,413,0.7645307630300522,0.1798586,83.0989134311676,23.929462,0.1798586,299.06443486612466,15,61.4
49050,0.0,0.007989414,65.946686,430,0.6248941719532013,0.18924436,88.72648811340332,23.949224,0.18924436,302.48808259515454,17,61.525
52110,0.0,0.008071321,61.962475,446,0.6982598006725311,0.19368985,94.3294849395752,23.929934,0.19368985,296.42331670502665,16,60.375
55233,0.0,0.008789292,63.448875,463,0.7150144577026367,0.19747838,99.9446268081665,23.880922,0.19747838,302.9107617471717,17,61.7
58365,0.0,0.0076907296,67.73442,479,0.7600474208593369,0.19995722,105.51926684379578,23.86916,0.19995722,311.81067160380996,16,63.65
61464,0.0,0.008562654,66.689964,495,0.7793556451797485,0.17852761,111.25290322303772,23.833761,0.17852761,308.0769043503421,16,62.725
64737,0.0,0.008095185,71.67973,510,0.7912032306194305,0.17033938,116.85582709312439,23.803446,0.17033938,332.6912712362706,15,67.825
67779,0.0,0.008356079,69.40993,525,0.8116930276155472,0.17143703,122.39454984664917,23.761473,0.17143703,336.7227321741167,15,68.7
70767,0.0,0.00863594,68.116165,539,0.7795149981975555,0.19386101,128.06083989143372,23.732893,0.19386101,344.79728900717043,14,69.075
73800,0.0,0.009353796,67.47992,554,0.7736367732286453,0.19948626,133.69056153297424,23.68846,0.19948626,344.7138144874233,15,69.075
76680,0.0,0.008863138,73.55623,566,0.7050042450428009,0.21538319,139.31740355491638,23.680647,0.21538319,360.5316696415967,12,72.575
79878,0.0,0.009702599,71.422424,581,0.7278194725513458,0.265285,145.00715589523315,23.680902,0.265285,362.7825552394435,15,72.775
82866,0.0,0.009295679,68.03149,596,0.8060252517461777,0.19925907,150.55712127685547,23.66382,0.19925907,353.71569919096584,15,71.8
85797,0.0,0.008162859,60.147552,611,0.8108264952898026,0.19055179,156.14312863349915,23.659403,0.19055179,333.0913408118694,15,67.775
88890,0.0,0.0089486595,61.9055,626,0.7515215277671814,0.257407,161.93454480171204,23.662107,0.257407,329.49807889245943,15,66.625
91824,0.0,0.009208574,64.46556,640,0.8035625517368317,0.19892435,167.6338667869568,23.672384,0.19892435,337.4140463364334,14,68.8
94830,0.0,0.0094326185,64.38712,654,0.7932877689599991,0.22442302,173.3500373363495,23.6591,0.22442302,342.2689607580122,14,69.85
97950,0.0,0.009681841,68.98069,667,0.8634376525878906,0.20196657,178.9603545665741,23.631838,0.20196657,356.54770522480584,13,73.4
101043,0.0,0.008822294,72.442566,681,0.6590300798416138,0.23602593,184.65446710586548,23.632063,0.23602593,366.4282968919283,14,74.925
104232,0.0,0.010101506,76.379,696,0.8076780587434769,0.22405526,190.36842918395996,23.605875,0.22405526,364.7906162901792,15,74.525
107184,0.0,0.009200633,74.0945,709,0.7478514611721039,0.2017279,196.08527326583862,23.57155,0.2017279,354.45107931861725,13,72.325
110043,0.0,0.009482529,74.92514,722,0.7382296025753021,0.21596539,201.83911633491516,23.555601,0.21596539,355.9597047459589,13,72.6
113103,0.0,0.009905348,75.6172,737,0.8056389540433884,0.20439184,207.58836674690247,23.564947,0.20439184,348.4578627508321,15,71.7
116148,0.0,0.009383831,73.9598,751,0.7978889793157578,0.19903034,213.41128396987915,23.558283,0.19903034,343.0926284692413,14,70.5
119295,0.0,0.009346141,75.176346,766,0.7495942115783691,0.215854,219.10516476631165,23.545164,0.215854,336.14136630819394,15,69.875
122391,0.0,0.00946947,80.28717,779,0.7096781730651855,0.19794409,224.8723738193512,23.526531,0.19794409,357.90936619843217,13,74.4
125412,0.0,0.009495385,77.63626,793,0.8165090382099152,0.19552636,230.67852354049683,23.52834,0.19552636,356.86590024859595,14,73.975
128670,0.0,0.010016281,82.13778,806,0.8279417455196381,0.20192164,236.4747598171234,23.528975,0.20192164,379.89404434868715,13,78.125
131799,0.0,0.010760015,76.76516,820,0.8197943717241287,0.30753106,242.2611906528473,23.541262,0.30753106,375.4841592792849,14,76.275
135030,0.0,0.010672599,74.260994,835,0.8499377965927124,0.19323984,248.08653378486633,23.547117,0.19323984,366.6683823760411,15,75.425
138180,0.0,0.010080525,74.38268,848,0.7938756495714188,0.24999672,253.83237838745117,23.552309,0.24999672,368.50829841489866,13,75.225
