EpTrueRewMean,ev_tdlam_before,TimestepsSoFar,EpLenMean,meankl,optimgain,EpThisIter,entropy,surrgain,EpisodesSoFar,entloss,TimeElapsed,EpRewMean
111.74908096426967,0.42960309982299805,3171,23.7,0.0068447874,0.16552237,44,24.133543,0.16552237,44,0.0,6.228115081787109,22.696718
106.67878291519847,0.6300236880779266,6240,22.75,0.0069037527,0.14539698,45,24.139328,0.14539698,89,0.0,11.546000003814697,21.718204
125.8825218872212,0.44912445545196533,9285,26.925,0.0070761456,0.16256055,37,24.117899,0.16256055,126,0.0,16.881734371185303,23.594143
117.58390173394805,0.5042745471000671,12285,25.0,0.007934831,0.14073941,40,24.1568,0.14073941,166,0.0,22.25630521774292,19.88209
148.88345383097115,0.40435510873794556,15438,31.9,0.0076543875,0.16228788,32,24.123367,0.16228788,198,0.0,27.817270278930664,31.320349
152.02119042049122,0.5493747889995575,18549,32.1,0.0074535655,0.14795607,32,24.13655,0.14795607,230,0.0,33.30809020996094,29.58076
180.20327965081106,0.5100067853927612,21639,38.975,0.0075197704,0.14295284,25,24.100828,0.14295284,255,0.0,38.80413484573364,38.54477
201.7168778221515,0.5898625552654266,24732,43.225,0.0077206036,0.16170701,23,24.10667,0.16170701,278,0.0,44.31152606010437,44.99592
207.11532248462407,0.5552476346492767,27852,43.825,0.0072537353,0.15624894,23,24.078445,0.15624894,301,0.0,49.861427307128906,43.66973
220.34336808692655,0.6025464236736298,30924,46.65,0.008168744,0.16160117,22,24.05446,0.16160117,323,0.0,55.53656983375549,49.103893
232.4712997776337,0.5471373498439789,34035,48.975,0.008082003,0.1749078,20,24.038815,0.1749078,343,0.0,61.09835433959961,57.98694
253.12284591999727,0.7153663635253906,37152,52.925,0.0081054745,0.16234037,19,24.056171,0.16234037,362,0.0,66.58176732063293,61.276325
265.8821603175538,0.6685045957565308,40287,55.525,0.007898984,0.16753237,18,24.043924,0.16753237,380,0.0,72.19347834587097,59.165028
273.02107730151465,0.7220330536365509,43248,57.4,0.0076928996,0.16124912,17,24.017597,0.16124912,397,0.0,77.7771406173706,61.06144
282.180913739796,0.7568759173154831,46323,58.725,0.007991189,0.17839348,17,23.99666,0.17839348,414,0.0,83.38532066345215,62.85077
298.91032971112907,0.7272956669330597,49203,61.725,0.007738705,0.18183365,15,23.947527,0.18183365,429,0.0,89.00337338447571,64.690895
306.76701339267436,0.672633707523346,52260,63.4,0.008037904,0.17854768,16,23.94899,0.17854768,445,0.0,94.67145705223083,64.14805
315.04125477466465,0.6876285076141357,55458,64.55,0.008121984,0.19857374,16,23.94995,0.19857374,461,0.0,100.31421780586243,67.432396
332.10476209848383,0.7047810554504395,58602,68.9,0.008447913,0.16321483,15,23.957762,0.16321483,476,0.0,105.97002744674683,70.756226
333.3153615992907,0.8152417987585068,61617,68.925,0.009003411,0.18990517,15,23.91009,0.18990517,491,0.0,111.66845965385437,68.75022
324.1611390152032,0.7509875595569611,64794,67.375,0.0076611615,0.1715427,16,23.895184,0.1715427,507,0.0,117.37988519668579,67.07707
326.81019365675957,0.759224534034729,68088,67.9,0.00889313,0.20536724,16,23.920168,0.20536724,523,0.0,122.9916603565216,68.989944
