entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.13689837,19.252558,3048,105.73779750862857,0.0072557777,0.5889052748680115,46,9.967737674713135,22.225,0.13689837,46,24.122065
0.0,0.13757186,16.64041,6156,120.78117337020994,0.0070581036,0.4645566940307617,40,18.65596079826355,25.9,0.13757186,86,24.125713
0.0,0.16686633,14.966768,9162,125.28616856593597,0.007143843,0.3157549500465393,38,27.304903507232666,26.475,0.16686633,124,24.1176
0.0,0.14490268,15.925075,12297,138.20680230821964,0.007185659,0.47555702924728394,35,35.538527488708496,29.4,0.14490268,159,24.097147
0.0,0.14648432,19.018147,15393,152.59602348320547,0.0070964415,0.5141099691390991,31,43.742236375808716,32.475,0.14648432,190,24.00999
0.0,0.16267057,20.514282,18387,159.63151461372345,0.0074156234,0.4677138328552246,29,50.62576651573181,33.675,0.16267057,219,24.02977
0.0,0.15425189,22.39317,21438,174.9184343086791,0.0072921887,0.3658762574195862,26,56.99822211265564,37.35,0.15425189,245,24.033514
0.0,0.1665683,29.820282,24450,200.73704477110022,0.0071995906,0.49880772829055786,22,63.468188762664795,42.6,0.1665683,267,24.04303
0.0,0.15739703,29.628338,27477,204.55192977722797,0.007855272,0.4911159873008728,25,69.89760375022888,42.4,0.15739703,292,24.015627
0.0,0.16027795,31.630325,30564,211.88829341179098,0.008040965,0.5735196769237518,22,76.3927435874939,43.625,0.16027795,314,24.01009
0.0,0.16024435,39.6896,33627,240.91006643071438,0.007837078,0.560166746377945,19,82.98960947990417,49.75,0.16024435,333,23.986261
0.0,0.17718013,45.43882,36633,266.2507659610188,0.0078025153,0.5152359306812286,18,89.53028321266174,54.75,0.17718013,351,23.95697
0.0,0.16883563,41.663147,39708,263.7216983299116,0.008006167,0.5796756148338318,18,96.14992189407349,54.975,0.16883563,369,23.910728
0.0,0.17782402,44.016666,42837,279.93822348334993,0.008297836,0.6678407788276672,17,102.78662276268005,58.725,0.17782402,386,23.87526
0.0,0.17666528,41.841713,45693,281.0790842798709,0.0075742356,0.6397625803947449,17,109.45007801055908,58.55,0.17666528,403,23.829407
0.0,0.17522316,42.92309,48783,291.88968825718814,0.008080583,0.6878156661987305,16,116.0550901889801,60.875,0.17522316,419,23.786139
0.0,0.18976754,41.181755,51828,291.59797393944143,0.008429082,0.7215558588504791,16,122.73613500595093,60.525,0.18976754,435,23.775799
0.0,0.1938664,43.27671,54861,298.5124432992489,0.008916103,0.6820643246173859,17,129.3506362438202,61.125,0.1938664,452,23.750893
0.0,0.1744517,42.715343,57981,299.67037638703994,0.0083471015,0.6975808441638947,16,135.89158368110657,60.9,0.1744517,468,23.733889
0.0,0.19555765,47.419987,60990,325.95423214609264,0.008608028,0.7969265580177307,14,142.51012682914734,65.5,0.19555765,482,23.701887
0.0,0.21867695,51.908306,64185,344.9812479181362,0.00863919,0.762884333729744,15,149.19210386276245,68.95,0.21867695,497,23.701433
0.0,0.1916439,53.343834,67257,350.6227689840363,0.008940438,0.7761062830686569,15,155.76599955558777,70.475,0.1916439,512,23.66429
0.0,0.25291857,49.877296,70353,341.20557763105654,0.008607758,0.8504760712385178,15,162.38686776161194,69.625,0.25291857,527,23.62824
0.0,0.19330773,46.030476,73368,333.5402483559319,0.0094657745,0.7463549077510834,15,169.0645694732666,67.975,0.19330773,542,23.614992
0.0,0.19467923,44.108223,76413,336.00449776073526,0.009344074,0.779684454202652,15,175.68034529685974,68.225,0.19467923,557,23.622234
0.0,0.45040494,46.142006,79635,347.03461527098455,0.0087923445,0.697920024394989,15,182.30080795288086,70.15,0.45040494,572,23.607603
0.0,0.2261979,54.72462,82758,368.65725887142673,0.009327905,0.7101335823535919,12,188.881023645401,75.125,0.2261979,584,23.609053
0.0,0.20683108,57.675426,85827,383.5160914950663,0.009243708,0.7340610921382904,13,195.64271569252014,78.45,0.20683108,597,23.598452
0.0,0.18832111,58.468803,88905,378.6653072724512,0.009566067,0.8101613521575928,15,202.28005290031433,77.25,0.18832111,612,23.584051
0.0,0.20188674,55.03877,91947,365.1898482391741,0.009336946,0.84124556183815,13,208.93750524520874,74.3,0.20188674,625,23.576593
