EpRewMean,ev_tdlam_before,entloss,EpThisIter,optimgain,meankl,TimeElapsed,EpLenMean,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,entropy,surrgain
18.778074,0.4755876064300537,0.0,41,0.15060906,0.0069226944,10.10776686668396,24.625,3021,41,116.26288713647996,24.106522,0.15060906
16.938297,0.666847288608551,0.0,45,0.1532153,0.006646787,18.709618091583252,23.05,6159,86,108.51860347932504,24.129229,0.1532153
16.360788,0.4327884316444397,0.0,40,0.14992638,0.007277986,27.344958782196045,25.45,9213,126,121.07269688650476,24.135662,0.14992638
13.387004,0.4466971755027771,0.0,41,0.14382532,0.007329095,35.49675369262695,24.775,12294,167,117.31509719431801,24.129808,0.14382532
15.706839,0.46399247646331787,0.0,35,0.1772089,0.007232396,43.661823749542236,28.55,15396,202,136.0980863001651,24.15778,0.1772089
17.168344,0.5450597107410431,0.0,31,0.14045471,0.007415858,50.406543016433716,32.75,18525,233,152.3991611555776,24.149664,0.14045471
22.696747,0.5476236343383789,0.0,27,0.15630363,0.007541395,56.84055781364441,37.6,21657,260,173.38898711175025,24.105244,0.15630363
26.647772,0.5273844003677368,0.0,25,0.1746448,0.007480833,63.310720920562744,40.125,24765,285,188.4662820152771,24.054865,0.1746448
35.431732,0.4466400146484375,0.0,22,0.17076069,0.007438685,69.79149079322815,46.05,27909,307,218.3688923962555,24.056473,0.17076069
28.971893,0.4980934262275696,0.0,26,0.16259512,0.0074675856,76.2278163433075,41.075,31002,333,198.0739062522003,24.033205,0.16259512
29.807257,0.4440736770629883,0.0,23,0.16516167,0.008073151,82.67092609405518,44.35,34176,356,210.7315602830231,24.017643,0.16516167
34.549965,0.39807045459747314,0.0,19,0.17642692,0.0075962213,89.12031626701355,50.025,37305,375,240.09958447340296,23.996414,0.17642692
41.655937,0.6119738519191742,0.0,17,0.17348936,0.008026384,95.66372013092041,56.55,40425,392,273.8392937373589,23.989666,0.17348936
46.212704,0.6150223314762115,0.0,17,0.17377207,0.007186419,102.25719213485718,60.425,43503,409,291.0989497647535,23.973856,0.17377207
45.737934,0.5203806161880493,0.0,18,0.17213163,0.008030089,108.81334638595581,59.15,46560,427,286.44421289919427,23.997967,0.17213163
41.637794,0.67127326130867,0.0,19,0.15892342,0.007699459,115.41858792304993,53.6,49497,446,260.12565025061446,23.963848,0.15892342
40.511116,0.6944912672042847,0.0,18,0.18008748,0.008319141,121.95204019546509,55.825,52560,464,270.82806448426834,23.982502,0.18008748
39.890423,0.6390261352062225,0.0,16,0.17719926,0.008382319,128.5559480190277,59.175,55635,480,288.3369272181254,23.942062,0.17719926
47.385933,0.6183323562145233,0.0,16,0.17729321,0.007930778,135.0884747505188,63.525,58713,496,308.3903329257745,23.948078,0.17729321
47.901684,0.6228812634944916,0.0,17,0.17007163,0.008335574,141.6825168132782,62.675,61740,513,305.7262385382422,23.935543,0.17007163
44.52198,0.7519314587116241,0.0,17,0.18780445,0.007929984,148.21342134475708,59.95,64842,530,298.09576817335903,23.917238,0.18780445
46.07769,0.7426063120365143,0.0,17,0.19437537,0.008406552,154.7213258743286,62.925,67995,547,307.8920615688924,23.938232,0.19437537
45.29885,0.5799979865550995,0.0,15,0.17814441,0.007865085,161.29152965545654,63.85,71121,562,310.78102250405874,23.957947,0.17814441
43.90868,0.6848955154418945,0.0,16,0.20359364,0.00904568,167.86537528038025,64.375,74124,578,312.8024675549998,23.937923,0.20359364
43.411762,0.7281374931335449,0.0,17,0.21631847,0.008803862,174.38162684440613,61.5,77220,595,297.05195472268343,23.934591,0.21631847
44.204338,0.6148502230644226,0.0,16,0.1761812,0.008534983,180.93505191802979,62.45,80286,611,302.6194404273972,23.916754,0.1761812
44.33056,0.7451829314231873,0.0,15,0.18674144,0.00856782,187.50374841690063,64.8,83325,626,312.650175536559,23.907408,0.18674144
45.60891,0.7913687974214554,0.0,16,0.17925629,0.008432848,194.08035802841187,67.05,86475,642,327.57456004912467,23.904617,0.17925629
47.17574,0.6684274673461914,0.0,14,0.21693403,0.008568066,200.71393823623657,68.3,89538,656,335.56267247334154,23.897627,0.21693403
