EpRewMean,EpThisIter,EpTrueRewMean,entloss,optimgain,ev_tdlam_before,entropy,EpLenMean,TimestepsSoFar,EpisodesSoFar,TimeElapsed,surrgain,meankl
15.983383,47,101.35630776907695,0.0,0.13845126,0.4873747229576111,24.114437,21.4,3108,47,7.169387102127075,0.13845126,0.006913868
15.11922,42,115.35803949737056,0.0,0.14593075,0.43505698442459106,24.092218,24.425,6171,89,13.42149043083191,0.14593075,0.0071871253
17.678488,37,132.48154449792304,0.0,0.14121707,0.48896265029907227,24.060795,28.45,9303,126,19.718179941177368,0.14121707,0.007205775
13.921168,38,123.71790687191307,0.0,0.1342799,0.42372262477874756,24.037031,26.375,12291,164,26.022798776626587,0.1342799,0.007403913
16.897858,32,144.02884783912305,0.0,0.15149058,0.4394775629043579,24.043625,30.425,15330,196,32.30168581008911,0.15149058,0.007766393
16.736734,33,148.74914312147956,0.0,0.15188202,0.5224417746067047,24.008564,31.675,18438,229,38.59046244621277,0.15188202,0.007663966
25.114935,24,182.24336708641897,0.0,0.16219929,0.4929494261741638,23.963133,38.7,21519,253,44.915863275527954,0.16219929,0.0074059255
29.95047,24,205.39929149212048,0.0,0.15979937,0.4590989947319031,23.953386,42.85,24576,277,51.25697636604309,0.15979937,0.0075913155
29.692394,22,210.8064379179792,0.0,0.20086592,0.5469065606594086,23.918451,44.1,27654,299,57.61899423599243,0.20086592,0.0077670394
30.801437,23,216.41296185592006,0.0,0.16352224,0.5541561841964722,23.89451,46.175,30825,322,64.0180869102478,0.16352224,0.007616235
31.972301,19,233.33336582880165,0.0,0.15711021,0.6010803282260895,23.882318,49.8,33930,341,70.36350536346436,0.15711021,0.008184241
33.630493,20,250.27367319524328,0.0,0.16649728,0.6091949045658112,23.877192,53.1,37068,361,76.64343285560608,0.16649728,0.007815181
44.114166,15,285.4506101301916,0.0,0.1794888,0.6700564622879028,23.87995,59.5,40080,376,82.95650744438171,0.1794888,0.0076652803
45.76957,17,293.43227614997306,0.0,0.18463592,0.6147586405277252,23.906,60.325,43092,393,89.34600138664246,0.18463592,0.0075284764
