TimestepsSoFar,entropy,entloss,TimeElapsed,EpisodesSoFar,optimgain,EpThisIter,EpTrueRewMean,EpRewMean,meankl,surrgain,EpLenMean,ev_tdlam_before
3171,24.140871,0.0,7.236717462539673,44,0.17647311,44,112.33599980644257,21.86554,0.0067620995,0.17647311,23.7,0.4873446226119995
6258,24.141281,0.0,13.466413736343384,88,0.21921024,44,110.79319352077516,16.37274,0.0058593135,0.21921024,23.525,0.5479117631912231
9342,24.14793,0.0,19.71520972251892,127,0.17736357,39,123.48153369808423,15.924105,0.007416337,0.17736357,26.25,0.5845493972301483
12453,24.143084,0.0,25.83703589439392,164,0.14619246,37,130.0053544558903,16.599752,0.0073729903,0.14619246,27.825,0.3674672245979309
15456,24.149105,0.0,32.12333869934082,196,0.14664155,32,139.1091790452169,16.217981,0.0076016625,0.14664155,30.05,0.5352910161018372
18522,24.087727,0.0,38.34876012802124,231,0.15633702,35,137.1588998631849,13.151392,0.0074035944,0.15633702,29.425,0.1259440779685974
21579,24.087727,0.0,44.69233012199402,257,0.16150692,26,165.3590738077624,22.529743,0.0069697765,0.16150692,35.375,0.4806337356567383
24603,24.072983,0.0,51.05304837226868,285,0.16037467,28,171.1356020103163,23.188288,0.007718139,0.16037467,36.625,0.401430606842041
27552,24.027893,0.0,57.37981963157654,307,0.15873688,22,184.8563501897961,25.869486,0.0074273697,0.15873688,40.025,0.45275646448135376
30654,24.022482,0.0,63.74842047691345,331,0.18078177,24,206.56076865846381,30.608753,0.0079169925,0.18078177,44.375,0.40999501943588257
33702,23.96893,0.0,70.19883012771606,352,0.15342234,21,208.62858466004445,31.457184,0.0077661574,0.15342234,44.425,0.5355837345123291
36678,23.97705,0.0,76.6898021697998,372,0.16930327,20,233.8317669199213,35.520275,0.008672636,0.16930327,48.925,0.6281501650810242
39795,23.94318,0.0,83.06263947486877,392,0.1687734,20,243.98376017148524,37.485302,0.008154986,0.1687734,50.775,0.5983651876449585
42915,23.92926,0.0,89.40916013717651,412,0.16494827,20,249.28462995702898,42.388844,0.008001456,0.16494827,51.975,0.6809571385383606
46149,23.906002,0.0,95.90756130218506,429,0.19590226,17,274.3164055565832,47.516735,0.008371254,0.19590226,57.05,0.6558705270290375
49191,23.895428,0.0,102.29779362678528,445,0.18006198,16,302.07153044363884,50.650074,0.007987518,0.18006198,61.725,0.667268306016922
52299,23.89771,0.0,108.7288146018982,462,0.21333376,17,305.94805987192365,52.080284,0.00826762,0.21333376,61.825,0.7677098363637924
55344,23.864075,0.0,115.04107522964478,479,0.17649119,17,307.353685720561,51.019035,0.008091927,0.17649119,61.875,0.6569626331329346
58362,23.841816,0.0,121.52959489822388,495,0.19871616,16,302.20134446848203,49.489452,0.008076523,0.19871616,61.325,0.716961145401001
61506,23.838947,0.0,128.0074291229248,512,0.18205439,17,305.8247191142772,47.40806,0.0077140485,0.18205439,61.825,0.6226215958595276
64644,23.817606,0.0,134.47234892845154,527,0.1687341,15,323.0994649189558,50.615276,0.008603791,0.1687341,65.35,0.7748100310564041
67764,23.77337,0.0,140.86377429962158,542,0.19567159,15,335.0171956127807,53.304268,0.008605003,0.19567159,67.925,0.7752334773540497
70779,23.749449,0.0,147.28259921073914,558,0.18367037,16,331.12764917274524,48.7422,0.008431527,0.18367037,66.775,0.819975346326828
73512,23.751886,0.0,153.9683802127838,571,0.21082863,13,329.1444281557547,46.52455,0.009319631,0.21082863,66.825,0.7210758030414581
76653,23.74357,0.0,160.37354850769043,585,0.20400059,14,344.2277951656694,48.821297,0.008873536,0.20400059,69.925,0.7111373841762543
79716,23.698793,0.0,166.80779504776,600,0.18256828,15,346.2116533557021,49.15335,0.009105694,0.18256828,71.55,0.7680491060018539
