TimestepsSoFar,meankl,optimgain,ev_tdlam_before,EpRewMean,surrgain,EpThisIter,entloss,EpisodesSoFar,TimeElapsed,entropy,EpTrueRewMean,EpLenMean
3072,0.0063733025,0.21384071,0.48568224906921387,16.77102,0.21384071,46,0.0,46,7.196826457977295,24.134443,106.2662930108302,22.725
6105,0.0065812636,0.16765285,0.528859555721283,16.765982,0.16765285,44,0.0,90,13.415908575057983,24.13263,109.57156524734542,23.325
9114,0.006946474,0.15762803,0.4527497887611389,14.879332,0.15762803,40,0.0,130,19.66438388824463,24.135677,115.91878277123246,25.075
12225,0.0069040786,0.14347796,0.5218321084976196,16.539593,0.14347796,35,0.0,165,25.906915187835693,24.101055,134.03915630609907,28.825
15348,0.007225095,0.15439276,0.5086042582988739,16.442886,0.15439276,36,0.0,201,32.2009756565094,24.119564,139.91141611458562,29.45
18426,0.0074325576,0.15730107,0.4206109642982483,13.615395,0.15730107,35,0.0,236,38.43183875083923,24.104486,131.7301020110812,28.0
21426,0.0073605673,0.15677592,0.5248222351074219,18.33501,0.15677592,30,0.0,266,44.69354605674744,24.088394,154.0863348585529,32.575
24528,0.007076592,0.15867785,0.42949140071868896,27.300182,0.15867785,26,0.0,292,50.97598910331726,24.053705,187.18579654578852,39.525
27600,0.007549484,0.16371113,0.470980167388916,34.714653,0.16371113,23,0.0,315,57.28511667251587,24.0039,207.21348289910225,43.125
30609,0.007882954,0.14590585,0.5252607464790344,30.987,0.14590585,25,0.0,340,63.65803337097168,23.984314,203.03070300944447,41.95
33684,0.00767468,0.17556086,0.5028467774391174,29.817474,0.17556086,20,0.0,360,70.00581574440002,23.96437,221.56012508919312,46.2
36705,0.007856825,0.1590895,0.5419286787509918,36.66179,0.1590895,18,0.0,378,76.40037107467651,23.941486,254.7183580577007,52.75
39765,0.00792679,0.1875218,0.5648663341999054,36.517036,0.1875218,19,0.0,397,82.81194996833801,23.938398,263.7002028823722,55.05
42846,0.008224904,0.17555985,0.5626107752323151,32.526955,0.17555985,20,0.0,417,89.18599963188171,23.915216,252.52390287385947,52.875
46095,0.008242184,0.17207396,0.6735306978225708,33.395744,0.17207396,22,0.0,439,95.61876392364502,23.90999,241.13369668969216,49.775
49287,0.007905353,0.17361459,0.5422622561454773,33.687386,0.17361459,20,0.0,459,102.02911734580994,23.913815,242.18199135283376,50.175
52476,0.007982597,0.16090116,0.6997081637382507,40.526207,0.16090116,19,0.0,478,108.48330473899841,23.891193,266.731203205012,55.325
55542,0.008209106,0.1819489,0.7030092477798462,42.68445,0.1819489,17,0.0,495,114.82443046569824,23.854229,277.8986921271837,57.475
58755,0.008522253,0.16171591,0.6618486046791077,42.888653,0.16171591,18,0.0,513,121.31249594688416,23.817377,286.884360418183,58.55
61809,0.0087253405,0.17189987,0.7154002487659454,47.208183,0.17189987,15,0.0,528,127.74533438682556,23.800556,307.0224383953566,62.875
64863,0.008842727,0.17217834,0.7480802237987518,45.76269,0.17217834,17,0.0,545,134.2893569469452,23.825438,303.50379895145085,62.85
67995,0.008662861,0.17480995,0.8086020350456238,43.10966,0.17480995,15,0.0,560,140.79366517066956,23.803793,307.63268866936727,64.9
