# {"t_start": 1551125048.4463465, "env_id": "Humanoid-v2"} 
r,l,t
86.519734,18,12.446054
119.955409,26,12.488898
225.183034,49,12.580442
78.526413,17,12.609879
87.16601,18,12.640041
79.359178,17,12.668297
135.945683,30,12.717407
134.079719,27,12.768672
175.809377,36,12.824227
86.60739,19,12.852077
153.945378,32,12.897707
112.203131,25,12.932835
90.190258,19,12.959634
97.702434,20,12.99321
148.678567,31,13.056626
81.423602,17,13.08937
76.273305,16,13.116992
220.758291,49,13.20917
81.483328,17,13.234599
78.923627,17,13.260727
138.627314,33,13.31718
80.617498,17,13.342975
85.948263,18,13.374784
95.576106,20,13.412262
138.974516,29,13.472073
98.057001,21,13.514913
88.643236,19,13.552109
125.912926,26,13.599077
149.334694,31,13.647053
111.153792,22,13.68349
179.476965,40,13.765291
99.37811,21,13.807101
97.269692,20,13.844605
191.338359,40,13.920601
101.799835,21,13.963352
79.907751,17,13.997124
90.022491,20,14.030758
118.198044,24,14.073694
110.089958,23,14.110391
81.33316,17,14.143947
76.589217,17,14.170945
76.326646,16,14.196102
85.568077,18,14.837578
74.865692,16,14.869889
142.062902,30,14.923107
76.420982,16,14.946799
121.350683,25,14.984642
101.115775,21,15.022249
130.521387,27,15.07493
219.616755,48,15.15521
92.384134,19,15.183164
74.731279,16,15.20852
111.997065,22,15.245091
86.178731,18,15.275015
113.634427,23,15.313016
203.442676,43,15.389161
81.476298,17,15.417444
80.738173,17,15.446882
86.472047,18,15.477515
130.642023,28,15.521719
86.038015,18,15.554477
97.591879,20,15.590946
131.515914,28,15.640549
85.579979,18,15.667741
168.007969,36,15.736975
102.767132,22,15.775453
80.762666,17,15.805201
86.879879,18,15.838877
162.717642,35,15.897182
81.216601,17,15.923409
94.797577,20,15.958785
117.90267,25,16.004446
90.597527,19,16.035248
76.377146,16,16.061506
81.269955,17,16.088729
88.745351,19,16.119338
268.906043,56,16.218662
84.519811,18,16.252177
81.411308,17,16.282506
106.599392,23,16.318649
124.352162,27,16.361871
104.668114,22,16.397027
75.357458,17,16.430257
105.215548,22,16.464667
102.163968,22,16.500363
91.771106,19,16.534972
76.477589,16,16.557181
86.329258,18,16.794233
97.675093,20,16.831147
81.225187,17,16.857068
196.643696,40,16.928082
111.055712,23,16.96691
86.111235,18,17.002401
153.830151,33,17.066543
101.685663,24,17.116365
94.086166,20,17.154348
120.892795,26,17.200282
