entropy,meankl,TimeElapsed,optimgain,EpisodesSoFar,EpLenMean,entloss,surrgain,TimestepsSoFar,EpRewMean,EpTrueRewMean,ev_tdlam_before,EpThisIter
24.113531,0.0065402472,7.236771583557129,0.16774532,42,24.0,0.0,0.16774532,3033,17.683548,112.57531445155549,0.3487154245376587,42
24.097431,0.0073395586,13.469827890396118,0.17883968,85,23.225,0.0,0.17883968,6081,15.810702,108.65470094225711,0.6084779500961304,43
24.063702,0.0070483238,19.702545642852783,0.14033388,124,27.025,0.0,0.14033388,9234,16.351727,127.54192007936675,0.5490367710590363,39
24.061787,0.007842485,25.981353998184204,0.14757916,164,25.25,0.0,0.14757916,12264,13.293823,118.00065793959297,0.4111930727958679,40
24.045187,0.0070237014,32.176745653152466,0.14332959,199,27.725,0.0,0.14332959,15294,13.935461,131.857372832996,0.420507550239563,35
24.028305,0.007480908,38.517096519470215,0.15881306,229,34.025,0.0,0.15881306,18426,18.248995,161.0862747353495,0.4842293858528137,30
23.992022,0.007893978,44.8672149181366,0.14703205,258,35.1,0.0,0.14703205,21537,19.120184,165.84974892538807,0.5413529574871063,29
23.93337,0.007503714,51.14284038543701,0.15505551,282,39.075,0.0,0.15505551,24585,23.14497,184.33156686163622,0.5678505897521973,24
23.941097,0.0074371733,57.5173773765564,0.17660949,307,41.625,0.0,0.17660949,27537,27.883123,199.45587660410905,0.37812620401382446,25
23.918053,0.0075639333,63.83940243721008,0.16678074,330,42.875,0.0,0.16678074,30672,30.714245,208.00995707644432,0.43789297342300415,23
23.902752,0.007697718,70.1844871044159,0.15691695,349,50.725,0.0,0.15691695,33813,40.05552,245.44563061184908,0.5168487727642059,19
23.860676,0.008273428,76.52014183998108,0.15480697,370,52.95,0.0,0.15480697,37026,42.362915,258.6898662441229,0.6234853565692902,21
23.842104,0.007879406,82.9881842136383,0.16799808,388,53.05,0.0,0.16799808,40014,40.92254,258.28550369121723,0.5586254000663757,18
23.83522,0.0080372635,89.44666385650635,0.1638605,405,55.075,0.0,0.1638605,42954,45.6401,268.28931542587594,0.6737118363380432,17
23.834797,0.0076428237,95.84704232215881,0.16756502,423,57.525,0.0,0.16756502,46032,46.659584,284.8867295328146,0.6609804332256317,18
23.793638,0.00795492,102.25957822799683,0.20381266,441,57.625,0.0,0.20381266,49083,45.606094,283.9679325755705,0.6766118705272675,18
23.7574,0.008367211,108.68021440505981,0.16574097,458,58.225,0.0,0.16574097,52158,43.141026,285.7399273837526,0.7671247273683548,17
23.74683,0.008074597,115.05072569847107,0.17611262,474,60.325,0.0,0.17611262,55242,42.922043,297.7348719900899,0.6859771907329559,16
23.712156,0.009483573,121.36386179924011,0.28982377,489,65.525,0.0,0.28982377,58272,46.573895,322.11770647220726,0.6422647535800934,15
23.708414,0.008236287,127.82828855514526,0.20487984,505,65.5,0.0,0.20487984,61311,49.215645,322.05935244119894,0.7403779923915863,16
