EpLenMean,surrgain,EpRewMean,entropy,entloss,EpThisIter,ev_tdlam_before,EpTrueRewMean,meankl,EpisodesSoFar,optimgain,TimestepsSoFar,TimeElapsed
23.7,0.17339492,21.420649,24.140623,0.0,44,0.4868519902229309,112.38986476579585,0.006813405,44,0.17339492,3171,7.219109535217285
23.975,0.22278982,15.711772,24.160173,0.0,43,0.5465274751186371,112.99043398743632,0.006267511,87,0.22278982,6213,13.434543371200562
24.75,0.15695646,13.923513,24.13356,0.0,41,0.47062528133392334,116.89728367191984,0.0069289566,128,0.15695646,9315,19.669797658920288
31.075,0.14406854,19.997355,24.097336,0.0,31,0.5310613512992859,143.56452226965513,0.007970758,159,0.14406854,12252,25.895087480545044
30.675,0.14484587,17.547855,24.094463,0.0,31,0.49874526262283325,140.76070344684362,0.0075058686,190,0.14484587,15225,32.09271597862244
30.775,0.14174792,16.301065,24.032974,0.0,33,0.4686993956565857,143.3253090752623,0.0075638806,223,0.14174792,18273,38.36702799797058
36.675,0.1598922,26.333282,24.016863,0.0,26,0.42782050371170044,172.71314993432233,0.0072823884,249,0.1598922,21333,44.70241689682007
39.975,0.16432902,25.40821,23.991379,0.0,25,0.47041577100753784,185.25413406240668,0.007138777,274,0.16432902,24420,51.133981227874756
45.45,0.20143959,31.515148,24.02287,0.0,20,0.5725189745426178,211.60795731286936,0.007122776,294,0.20143959,27567,57.44880414009094
50.425,0.21559459,36.902157,24.015158,0.0,21,0.5543900430202484,235.53973672609877,0.0075408313,315,0.21559459,30633,63.7574827671051
49.925,0.16470861,33.0895,23.99195,0.0,20,0.5579931437969208,235.49897878748098,0.008334852,335,0.16470861,33708,70.04861497879028
51.85,0.1597419,33.163258,23.969402,0.0,20,0.6058754324913025,244.09432676379598,0.007880978,355,0.1597419,36855,76.51171660423279
54.05,0.17550817,37.713753,23.952312,0.0,19,0.6295006275177002,255.47777811427477,0.007914783,374,0.17550817,39945,82.94601249694824
55.85,0.1788111,40.79165,23.964924,0.0,18,0.5624253153800964,265.96033778266815,0.008019751,392,0.1788111,43011,89.34446620941162
56.975,0.180114,41.32302,23.962482,0.0,16,0.7182457149028778,272.95312492134957,0.007817471,408,0.180114,45984,95.91831159591675
60.275,0.18620327,42.57439,23.967287,0.0,17,0.6624154448509216,289.71913794851025,0.008175868,425,0.18620327,49143,102.37313437461853
58.975,0.1586011,41.256145,23.97023,0.0,19,0.6075901687145233,284.1577714062906,0.008225897,444,0.1586011,52305,108.88193225860596
59.725,0.18928835,43.58654,23.935305,0.0,16,0.6466582715511322,290.0389397211893,0.0075889872,460,0.18928835,55416,115.35690712928772
61.25,0.18366799,46.40508,23.914125,0.0,16,0.6932736337184906,302.1155310587772,0.008269976,476,0.18366799,58425,121.87251329421997
61.925,0.17386654,43.917545,23.875225,0.0,17,0.6940140128135681,307.5428428915822,0.008392124,493,0.17386654,61521,128.3837206363678
63.175,0.1778017,44.568356,23.852541,0.0,16,0.7357458174228668,313.14005880192883,0.008315755,509,0.1778017,64575,134.94169068336487
66.95,0.18982518,48.05542,23.852768,0.0,14,0.7556484490633011,330.10748870263785,0.008630771,523,0.18982518,67686,141.49757361412048
69.85,0.19608802,49.20855,23.847162,0.0,15,0.6612804234027863,337.75019699431175,0.00908028,538,0.19608802,70830,147.92500853538513
69.85,0.18962821,45.304436,23.848408,0.0,15,0.6421490609645844,337.50727984009745,0.008013025,553,0.18962821,73854,154.41744565963745
67.5,0.215754,41.82773,23.837152,0.0,15,0.7102999091148376,326.4372025637073,0.009131203,568,0.215754,76989,160.8999834060669
66.925,0.19070733,42.895752,23.81551,0.0,16,0.7568286955356598,326.5554275531018,0.00861574,584,0.19070733,80142,167.37934255599976
68.5,0.20306247,45.19613,23.811201,0.0,14,0.7176993191242218,336.5430002728981,0.00911332,598,0.20306247,83052,173.99044346809387
68.275,0.19847408,43.714886,23.796206,0.0,15,0.8054157495498657,335.61632411425444,0.008161465,613,0.19847408,86277,180.5339527130127
68.3,0.20486718,44.80786,23.794453,0.0,15,0.6489248871803284,335.8686716958464,0.009137963,628,0.20486718,89235,187.05604362487793
66.9,0.19627528,42.524975,23.778399,0.0,15,0.6961507201194763,326.2338046838036,0.009330034,643,0.19627528,92250,193.6083242893219
68.85,0.25055587,43.648457,23.781511,0.0,15,0.6288411915302277,335.6287376777858,0.009386775,658,0.25055587,95373,200.1774411201477
68.325,0.19456534,40.53342,23.76642,0.0,15,0.726614385843277,333.9738586884424,0.008996584,673,0.19456534,98370,206.6754469871521
66.375,0.17885426,36.310326,23.772705,0.0,16,0.6939745545387268,327.28662547161383,0.008546215,689,0.17885426,101406,213.14463424682617
67.75,0.22955465,38.41207,23.784685,0.0,14,0.7184364199638367,331.36878336239,0.009487744,703,0.22955465,104553,219.5949547290802
68.0,0.19523768,39.551506,23.768536,0.0,16,0.7005200684070587,332.89008906683745,0.009142308,719,0.19523768,107673,226.04390501976013
67.55,0.22604355,46.050064,23.77344,0.0,15,0.7333472371101379,334.3073095293163,0.009268547,734,0.22604355,110787,232.54699683189392
65.45,0.21459171,43.41259,23.793047,0.0,16,0.7489418983459473,325.94649426882523,0.009257979,750,0.21459171,113847,239.15693283081055
67.225,0.24836028,44.469276,23.77271,0.0,14,0.697035938501358,329.8295735945588,0.010236539,764,0.24836028,116778,245.6187767982483
68.125,0.20432475,46.27647,23.75374,0.0,15,0.7734260708093643,333.4083432493024,0.009106159,779,0.20432475,119916,251.9593915939331
73.5,0.23561573,56.370556,23.761885,0.0,13,0.7336992025375366,361.0166662882988,0.009644775,792,0.23561573,123057,258.52806544303894
72.525,0.2006063,55.86748,23.749754,0.0,15,0.6804891228675842,356.5971584605292,0.009624336,807,0.2006063,126147,265.025119304657
76.275,0.2248758,59.05719,23.724588,0.0,13,0.7464421093463898,373.77719514858046,0.0101456735,820,0.2248758,129246,271.6526041030884
73.55,0.21885023,51.335743,23.689962,0.0,14,0.7614988386631012,357.44814512703294,0.010475768,834,0.21885023,132288,278.1193332672119
74.65,0.18547897,50.102516,23.659647,0.0,14,0.7142098844051361,362.8127226503498,0.010400841,848,0.18547897,135273,284.65006947517395
72.4,0.20950459,45.723846,23.64968,0.0,14,0.754431813955307,354.52570646814576,0.010123275,862,0.20950459,138321,291.1032109260559
77.975,0.20696184,51.69007,23.61701,0.0,11,0.7209057807922363,378.75920510067016,0.009958805,873,0.20696184,141444,297.5513000488281
77.425,0.22078128,52.7723,23.56854,0.0,14,0.6881445348262787,377.8537488877445,0.008979992,887,0.22078128,144330,304.07092475891113
77.8,0.24196185,54.45879,23.578047,0.0,13,0.8391647636890411,382.37376668892756,0.010731503,900,0.24196185,147198,310.8484961986542
71.225,0.21716669,48.477768,23.591143,0.0,15,0.831924170255661,357.77381870344186,0.009751881,915,0.21716669,150381,317.344274520874
73.575,0.2423945,50.493755,23.590353,0.0,13,0.7824696153402328,366.69324768366994,0.010160729,928,0.2423945,153384,323.83889412879944
76.1,0.2129835,53.52704,23.543211,0.0,13,0.79410819709301,377.97029222351813,0.010031227,941,0.2129835,156561,330.3186492919922
76.55,0.20908761,49.744377,23.543278,0.0,14,0.7808767259120941,378.97026054848965,0.010153472,955,0.20908761,159567,336.87199544906616
76.5,0.22379287,46.91128,23.538084,0.0,13,0.80056431889534,378.55723909632945,0.009637666,968,0.22379287,162564,343.4089164733887
75.325,0.22094923,45.605797,23.516048,0.0,13,0.8277364075183868,373.1987357965577,0.010595856,981,0.22094923,165600,349.8979616165161
74.3,0.21902375,47.11794,23.488527,0.0,14,0.7756036072969437,365.17852066856,0.010779398,995,0.21902375,168483,356.4279296398163
73.425,0.22589538,47.672577,23.467936,0.0,13,0.7410697042942047,361.8211452117972,0.009802264,1008,0.22589538,171375,363.0594115257263
75.375,0.2315006,48.26169,23.434633,0.0,11,0.796799436211586,367.48772686128615,0.010408575,1019,0.2315006,174321,369.5339386463165
80.325,0.2821928,51.917744,23.414385,0.0,12,0.7404225468635559,389.3864148689778,0.010654045,1031,0.2821928,177294,376.192444562912
80.275,0.21749187,52.412086,23.42121,0.0,14,0.7303660809993744,390.07281013032406,0.010803459,1045,0.21749187,180402,382.68916726112366
