meankl,optimgain,TimeElapsed,EpLenMean,entloss,EpTrueRewMean,EpRewMean,EpisodesSoFar,entropy,ev_tdlam_before,EpThisIter,surrgain,TimestepsSoFar
0.006740571,0.14351219,7.692176818847656,23.0,0.0,108.17465719915904,18.47192,45,24.10816,0.2596926689147949,45,0.14351219,1009
0.00719088,0.14434876,14.293416976928711,26.225,0.0,123.91318218165152,17.101883,83,24.14264,0.4154019355773926,38,0.14434876,2008
0.007207395,0.12558213,20.984951496124268,23.55,0.0,110.91092001648121,12.561114,126,24.122635,0.4319051504135132,43,0.12558213,3012
0.00723501,0.16503762,27.729162216186523,26.95,0.0,127.96287492591955,15.7762375,164,24.116928,0.3637208342552185,38,0.16503762,4052
0.007259533,0.13753426,34.46627712249756,30.9,0.0,144.3572224169305,19.988232,195,24.118895,0.5149398148059845,31,0.13753426,5047
0.0071714115,0.14862463,41.20874643325806,31.075,0.0,143.47458535913555,19.241064,230,24.080889,0.4145040512084961,35,0.14862463,6098
0.007419554,0.14950177,47.99109601974487,36.9,0.0,171.0613339966103,26.76417,254,24.093567,0.5931892395019531,24,0.14950177,7100
0.007125837,0.15451258,54.738261222839355,42.65,0.0,198.14172685243597,33.72631,276,24.099592,0.5937239527702332,22,0.15451258,8077
0.007920128,0.1479456,61.52877449989319,42.55,0.0,199.57811429176076,36.542988,300,24.077656,0.5747179090976715,24,0.1479456,9102
0.008104266,0.16980855,68.40229344367981,42.325,0.0,199.53224568724755,38.059944,322,24.06633,0.5794945359230042,22,0.16980855,10103
0.008404501,0.16475719,75.26282501220703,44.375,0.0,208.2173232926992,41.055244,345,24.045914,0.6162542998790741,23,0.16475719,11129
0.007948313,0.1774708,82.17238926887512,48.875,0.0,229.01370637102028,47.19283,365,24.047382,0.6593292057514191,20,0.1774708,12172
0.007854896,0.18463148,89.1152913570404,51.925,0.0,247.54237968310912,50.235817,384,24.03963,0.7012603580951691,19,0.18463148,13179
0.007797767,0.1672274,96.04232716560364,54.475,0.0,256.94919874719295,51.88053,402,24.023357,0.6919279396533966,18,0.1672274,14195
0.008899902,0.16421351,102.97428035736084,58.2,0.0,275.82029516056457,58.61667,418,23.994156,0.7786134034395218,16,0.16421351,15233
