# {"env_id": "Humanoid-v2", "t_start": 1551142513.3409321} 
r,l,t
80.731329,17,14.345488
135.635956,30,14.398992
144.84018,34,14.459748
161.50127,35,14.523709
85.62749,18,14.560068
120.766193,26,14.606554
139.293361,32,14.668936
198.75208,39,14.742355
86.735624,18,14.7729
81.449111,17,14.807247
133.950867,29,14.863406
85.593521,18,14.897996
165.034439,36,14.970929
76.091344,16,14.998206
76.262186,16,15.023639
144.584812,29,15.079498
98.180442,21,15.115222
125.892021,27,15.167501
122.491574,26,15.21153
187.92374,40,15.286627
79.436509,17,15.317578
81.3534,17,15.348445
185.778074,43,15.424279
81.371342,18,15.457946
76.197405,16,15.485489
71.612841,15,15.513308
73.90711,16,15.541572
76.323009,16,15.568971
79.033454,17,15.600442
92.480953,20,15.635029
97.422872,20,15.668157
85.996178,18,15.696783
98.056846,21,15.732443
85.137608,18,15.764302
71.955012,16,15.790061
81.328816,17,15.818662
128.097431,26,15.866832
84.096784,18,15.897048
97.863941,21,15.932966
81.579444,17,15.961766
76.655103,16,15.989695
80.901016,17,16.021997
167.114721,39,16.090607
86.130737,18,16.121016
76.306166,16,16.150239
75.320027,16,17.018603
123.861666,25,17.067134
80.988453,17,17.104726
152.703286,32,17.163687
90.368388,19,17.198062
80.685249,17,17.225785
124.337272,28,17.277329
93.311793,20,17.312982
76.453227,16,17.340147
115.678607,28,17.393917
81.030559,17,17.424636
80.277589,17,17.458132
86.720582,18,17.489747
81.185786,17,17.521157
91.350094,19,17.55714
132.969363,29,17.610166
97.078281,21,17.646879
95.324909,20,17.681182
90.288853,19,17.717767
89.827279,19,17.750859
81.152426,17,17.780225
89.250017,20,17.81681
145.750928,33,17.87915
129.019237,26,17.92318
94.332854,20,17.958779
119.837008,24,18.008188
81.38675,17,18.036571
83.901463,18,18.072161
98.515394,21,18.110373
92.046083,19,18.143968
81.271886,17,18.173468
146.937231,30,18.23268
88.488243,19,18.26664
88.941068,19,18.305167
85.76672,18,18.337007
85.794002,18,18.366974
138.678568,29,18.419982
122.548931,25,18.463288
96.970103,20,18.497535
114.920436,27,18.544939
106.198173,22,18.582629
80.05387,17,18.611457
127.939645,26,18.655999
86.299369,18,18.685997
94.630397,20,18.719817
150.243807,32,18.777386
107.451925,23,18.82056
97.392869,20,18.859614
250.399045,49,19.274877
131.521597,27,19.327504
163.731545,37,19.393618
75.450399,16,19.420526
113.790988,23,19.459368
109.31612,24,19.501717
90.449269,19,19.535753
137.083714,29,19.592803
74.609791,16,19.620726
119.471306,25,19.66679
76.794491,16,19.693112
91.542189,19,19.725075
163.251207,33,19.784862
76.600427,16,19.81501
