EpThisIter,EpLenMean,TimeElapsed,EpisodesSoFar,surrgain,meankl,EpRewMean,EpTrueRewMean,TimestepsSoFar,entropy,ev_tdlam_before,entloss,optimgain
45,21.4,7.642332077026367,45,0.1843284,0.0060715713,15.594885,101.56816627457263,1008,24.132156,0.05720037221908569,0.0,0.1843284
39,26.125,14.248995542526245,84,0.13126718,0.007197966,17.519644,124.01316506135954,2034,24.13861,0.5328393280506134,0.0,0.13126718
41,24.575,20.92549705505371,125,0.16124141,0.006795685,14.864532,113.84367960427205,3036,24.151596,0.3385881185531616,0.0,0.16124141
34,29.75,27.615027904510498,159,0.1583437,0.006600177,20.49588,139.56744664456068,4066,24.173893,0.38653844594955444,0.0,0.1583437
32,32.875,34.357362031936646,191,0.14143682,0.0068252776,21.522724,154.6813860024149,5094,24.190369,0.40301215648651123,0.0,0.14143682
26,33.8,41.108442544937134,217,0.16429654,0.0071492763,24.419758,159.8164535333005,6083,24.173813,0.3982675075531006,0.0,0.16429654
26,39.9,47.88572072982788,243,0.15765423,0.00745742,29.579187,190.55294993113426,7108,24.160969,0.551665723323822,0.0,0.15765423
21,44.425,54.63744592666626,264,0.15582104,0.007042484,33.4253,209.31380057574748,8118,24.145525,0.2914995551109314,0.0,0.15582104
21,48.55,61.418580055236816,285,0.15923473,0.007437896,36.715534,228.05834646082803,9150,24.124517,0.5347108542919159,0.0,0.15923473
23,45.825,68.2359185218811,308,0.16252543,0.0074520647,32.655617,217.25531201723552,10162,24.113346,0.3995808959007263,0.0,0.16252543
21,46.85,75.0980703830719,329,0.1705337,0.00767931,35.560204,223.39577314864113,11198,24.105793,0.5452236831188202,0.0,0.1705337
18,50.9,82.02588415145874,347,0.15815364,0.00777511,42.62316,244.01323630803273,12161,24.100348,0.6098206043243408,0.0,0.15815364
19,53.175,88.94570994377136,366,0.16540572,0.008000806,47.680717,254.25280366620524,13158,24.093977,0.6745010316371918,0.0,0.16540572
17,55.575,95.85436058044434,383,0.16566068,0.007333732,52.11202,266.3456074724424,14170,24.082214,0.6786230206489563,0.0,0.16566068
16,58.75,102.76627159118652,399,0.17363383,0.0077680186,54.607506,283.166574859243,15178,24.041096,0.6510625183582306,0.0,0.17363383
17,59.375,109.67411851882935,416,0.1856003,0.007901059,53.61355,284.25139115472507,16190,24.031189,0.728069931268692,0.0,0.1856003
16,63.725,116.66078805923462,432,0.18925108,0.0081247315,61.355934,307.697776849867,17271,24.018719,0.7632933259010315,0.0,0.18925108
15,66.825,123.65575623512268,447,0.18545482,0.007907406,66.242615,319.2532263989848,18302,24.017155,0.7716304510831833,0.0,0.18545482
14,70.3,130.61591815948486,461,0.18587211,0.008012074,73.010216,336.224980766163,19374,24.026388,0.7337285280227661,0.0,0.18587211
14,72.6,137.54702496528625,475,0.18722424,0.008674499,70.37758,349.98412002058865,20408,24.00611,0.7772070616483688,0.0,0.18722424
12,77.675,144.58483147621155,487,0.18961853,0.008656427,77.71748,373.6725035876819,21409,23.983648,0.762139767408371,0.0,0.18961853
15,75.325,151.56042313575745,502,0.17199308,0.008523618,72.41598,362.7051449342406,22450,23.947283,0.7923637926578522,0.0,0.17199308
15,72.775,158.5090367794037,517,0.1779652,0.008625429,69.745155,350.63782536472826,23470,23.930353,0.6988091766834259,0.0,0.1779652
16,67.0,165.51070189476013,533,0.17820522,0.0085074045,59.42758,330.6379100537724,24510,23.894709,0.7232062220573425,0.0,0.17820522
16,64.35,172.49191689491272,549,0.1949813,0.009151716,55.963676,318.4207902606295,25520,23.852554,0.7930765897035599,0.0,0.1949813
16,65.25,179.54099535942078,565,0.20574848,0.009326598,60.05854,319.98108919812296,26563,23.876215,0.7307344079017639,0.0,0.20574848
14,67.775,186.4992434978485,579,0.20147182,0.008448888,66.48844,328.47013478873305,27608,23.88176,0.6882616579532623,0.0,0.20147182
14,70.925,193.52275776863098,593,0.18498808,0.009428112,69.68577,346.1611239702728,28627,23.911545,0.793332502245903,0.0,0.18498808
15,73.95,200.51737689971924,608,0.1891067,0.009218966,71.1544,359.973786170336,29703,23.907465,0.8208180516958237,0.0,0.1891067
15,71.125,207.52893781661987,623,0.18635917,0.008376569,64.48198,346.18299920127254,30718,23.896744,0.8192148059606552,0.0,0.18635917
16,67.65,214.51386499404907,639,0.17560464,0.008755877,62.083515,331.4383027761176,31736,23.87158,0.7718640863895416,0.0,0.17560464
15,65.575,221.54390501976013,654,0.20276001,0.0094401045,60.60221,324.3625495698695,32721,23.83008,0.780658558011055,0.0,0.20276001
15,67.8,228.5537657737732,669,0.21417761,0.009200795,62.135365,333.36427764832285,33809,23.7937,0.8524414747953415,0.0,0.21417761
15,70.25,235.581444978714,684,0.18590951,0.008415754,65.17726,344.496699361694,34841,23.797674,0.8143863677978516,0.0,0.18590951
14,70.3,242.58367562294006,698,0.18224242,0.009289088,68.30138,346.05486741618944,35825,23.81291,0.8615258783102036,0.0,0.18224242
14,71.15,249.54695200920105,712,0.22905214,0.009361662,71.384575,351.95672377861894,36855,23.803463,0.8108456283807755,0.0,0.22905214
12,74.425,256.515825510025,724,0.23085366,0.009245375,76.10997,368.66302217805276,37818,23.805243,0.8324528336524963,0.0,0.23085366
15,73.425,263.512499332428,739,0.22681603,0.0096710725,76.440704,363.1575223629999,38869,23.785482,0.8403820246458054,0.0,0.22681603
14,72.725,270.5322730541229,753,0.19916992,0.00971995,76.50087,364.1493354956732,39890,23.771666,0.8595224320888519,0.0,0.19916992
14,73.275,277.49163842201233,767,0.22341782,0.009928193,77.47221,369.60470962297705,40949,23.768085,0.8552951812744141,0.0,0.22341782
13,75.225,284.4783706665039,780,0.2099265,0.010583771,80.08916,375.88256949137815,41949,23.769125,0.7641617655754089,0.0,0.2099265
13,76.225,291.49333930015564,793,0.20125252,0.010530895,79.80166,376.45379358309026,42939,23.746645,0.8110981732606888,0.0,0.20125252
14,74.8,298.48220705986023,807,0.19844103,0.010177754,72.53645,367.82601203049717,43941,23.739908,0.8413540869951248,0.0,0.19844103
13,74.875,305.99318861961365,820,0.19532186,0.009860076,70.91816,369.5086945185145,44944,23.703062,0.8072050511837006,0.0,0.19532186
13,74.3,314.0735185146332,833,0.20149368,0.010344554,67.1531,367.0111274303862,45911,23.691181,0.8633006662130356,0.0,0.20149368
12,77.75,322.1171898841858,845,0.19931391,0.010301177,69.79185,384.16287022696713,46880,23.668947,0.8613315522670746,0.0,0.19931391
13,78.525,330.2146723270416,858,0.208727,0.009830916,65.76778,386.06381132694906,47907,23.664862,0.8937136754393578,0.0,0.208727
13,79.575,338.28188586235046,871,0.18926436,0.008806402,64.470764,395.03825534268907,48936,23.648863,0.8515900522470474,0.0,0.18926436
12,79.65,346.29555773735046,883,0.20477803,0.010058665,61.67693,394.73285440834854,49914,23.62476,0.8155446797609329,0.0,0.20477803
12,80.825,354.3726782798767,895,0.21260677,0.009666064,61.844006,400.8292122917812,50875,23.602295,0.8371936231851578,0.0,0.21260677
13,80.25,361.9503347873688,908,0.21585709,0.009918802,58.361195,395.6791503620399,51911,23.60565,0.8586812317371368,0.0,0.21585709
13,80.65,369.48914670944214,921,0.23533477,0.009843874,57.35155,404.5067569368849,52953,23.576334,0.8216373920440674,0.0,0.23533477
13,79.55,377.08213329315186,934,0.2586194,0.01034687,54.883656,398.82370199877585,53955,23.578306,0.866669550538063,0.0,0.2586194
13,79.275,384.62042808532715,947,0.20510079,0.009680937,53.968456,397.92893180289263,55002,23.559324,0.8655003756284714,0.0,0.20510079
13,78.975,392.2175943851471,960,0.2296615,0.010754273,50.835682,393.44161835607736,56058,23.555243,0.8337317109107971,0.0,0.2296615
12,81.7,399.80203342437744,972,0.21071792,0.010627424,51.728863,405.364868567362,57022,23.568605,0.834219828248024,0.0,0.21071792
12,81.15,407.38844203948975,984,0.24552527,0.010192482,50.608925,404.2564903000748,58026,23.543867,0.8126969486474991,0.0,0.24552527
12,83.7,414.9605219364166,996,0.22607905,0.010633737,53.76129,415.55951260808285,59062,23.544207,0.8474013805389404,0.0,0.22607905
12,85.85,422.5662488937378,1008,0.18837787,0.012380272,55.512897,425.22156189377364,60083,23.541996,0.8081466406583786,0.0,0.18837787
13,83.7,429.9822506904602,1021,0.23559101,0.0109891035,57.01533,415.14480557622994,61119,23.530596,0.7645408362150192,0.0,0.23559101
10,86.5,437.01387453079224,1031,0.25376356,0.01147886,60.530334,429.53940330058975,62106,23.522966,0.8099100440740585,0.0,0.25376356
12,86.375,443.9597828388214,1043,0.2627723,0.010431813,62.372368,436.3215272733197,63122,23.546953,0.7532899379730225,0.0,0.2627723
13,85.575,450.8942847251892,1056,0.19561914,0.010431292,65.13484,430.14939124438735,64147,23.531008,0.8052243739366531,0.0,0.19561914
13,83.125,457.8702824115753,1069,0.21160603,0.010568415,66.13112,414.0795800572793,65155,23.517252,0.8496347963809967,0.0,0.21160603
