# {"t_start": 1551142513.2059999, "env_id": "Humanoid-v2"} 
r,l,t
100.677984,21,15.72455
97.555057,21,15.761771
128.881436,28,15.810686
100.924529,22,15.850732
139.391089,29,15.902811
74.624058,16,15.930793
85.366778,18,15.963135
126.453636,26,16.010655
159.897534,36,16.0772
81.13915,17,16.106729
80.562072,17,16.134652
167.513087,38,16.201907
81.254862,17,16.229878
99.810429,21,16.267274
129.04133,27,16.321421
120.935066,26,16.368808
125.060112,26,16.417917
101.045738,21,16.459208
129.904934,27,16.513986
81.446047,17,16.543333
127.396989,27,16.594081
71.70799,15,16.619554
76.031236,16,16.648608
81.122138,17,16.67947
76.303938,16,16.705675
75.976567,16,16.731508
71.635903,15,16.760298
87.310713,18,16.796618
99.781982,21,16.836507
76.396082,16,16.866715
74.985889,16,16.898582
102.007087,21,16.939536
112.702111,24,16.991729
118.930835,28,17.052277
189.732552,39,17.133626
89.348472,19,17.169184
96.706967,20,17.205845
87.73928,18,17.238619
85.83661,18,17.270361
137.45363,30,17.327317
120.798401,25,17.369858
87.498581,18,17.401568
122.763324,25,17.447971
81.2394,17,17.478455
86.889839,18,17.509613
74.275292,16,17.541162
83.658581,18,17.571869
153.615911,32,18.447084
81.276287,17,18.476969
127.281775,26,18.526089
80.559011,17,18.556037
98.522985,20,18.592226
86.127628,18,18.622735
189.30149,41,18.69371
81.730845,17,18.724857
81.576303,17,18.75493
113.492176,28,18.803235
111.991274,24,18.846889
125.592032,27,18.892964
105.590562,22,18.936552
95.856913,20,18.97747
80.424602,17,19.009866
81.250723,17,19.044686
107.182385,24,19.096915
80.959813,17,19.137965
96.224917,20,19.181481
76.044659,16,19.21811
153.194384,32,19.296082
76.775222,16,19.327619
129.874377,27,19.382712
86.291214,18,19.417442
70.638535,15,19.44479
76.229279,17,19.475287
80.810457,17,19.504782
76.498916,16,19.53239
81.082317,17,19.562915
81.110524,17,19.591298
85.687776,18,19.621941
75.535836,16,19.65083
79.706796,17,19.68167
81.024221,17,19.712087
89.27393,19,19.743763
81.162906,17,19.772899
94.242575,21,19.807973
75.729293,16,19.833738
80.380023,17,19.862233
81.255564,17,19.890878
93.535904,20,19.927074
102.759894,21,19.965613
86.141567,18,19.999178
160.85281,33,20.055809
94.689964,20,20.095232
198.318805,42,20.177405
86.146561,18,20.207144
81.142679,17,20.239525
85.488443,18,20.270693
126.64209,28,20.602204
75.775678,16,20.631835
76.606739,16,20.661682
79.082007,17,20.691831
78.641292,17,20.724584
190.157541,41,20.800133
103.227727,21,20.839283
164.389112,34,20.898564
81.283577,17,20.927612
75.718076,16,20.955724
133.371936,29,21.010451
146.172709,34,21.071351
81.415388,17,21.099483
134.105038,27,21.152131
251.447371,52,21.254514
70.839274,15,21.284206
80.875612,17,21.319454
137.900943,28,21.384938
87.148692,18,21.423672
80.792683,17,21.46158
86.666141,18,21.499243
78.879434,17,21.535784
89.644556,19,21.57185
80.998303,17,21.607076
134.232401,28,21.660049
75.5318,16,21.690293
162.697352,33,21.753832
90.459249,19,21.789367
76.437665,16,21.815928
82.230275,17,21.843693
110.10695,23,21.883909
125.925136,26,21.932878
138.895218,29,21.986622
81.325064,17,22.015308
95.008876,20,22.04988
146.173662,32,22.107024
98.398033,21,22.150369
89.575894,19,22.186137
90.886431,19,22.221301
90.485018,19,22.256745
87.713041,19,22.289949
141.997513,29,22.341282
90.555883,19,22.377118
82.132455,17,22.405512
85.441933,18,22.435246
87.29758,18,22.46681
118.922603,24,22.938294
181.010733,36,23.00551
80.078605,17,23.033392
76.356279,16,23.060092
90.828179,19,23.093673
87.792711,19,23.131122
76.69971,16,23.157105
83.211904,18,23.188041
81.191156,17,23.21665
142.218405,32,23.274601
96.754957,20,23.30956
100.922783,21,23.346242
81.1355,17,23.374987
96.990307,20,23.410152
80.527463,17,23.440123
85.974698,18,23.470634
78.57828,17,23.503768
92.037158,19,23.541374
86.084607,18,23.575651
109.436725,24,23.622823
81.318098,17,23.657
86.416444,18,23.699638
85.985359,18,23.741756
80.739788,17,23.777414
91.553538,19,23.818332
73.760074,16,23.852934
117.832395,24,23.901136
79.539535,17,23.930234
120.175967,27,23.983569
94.298817,20,24.022042
75.616297,16,24.049278
100.596947,22,24.086732
76.38301,16,24.12036
122.098057,25,24.169543
130.47455,27,24.221362
145.214077,32,24.281979
103.180887,22,24.321373
228.121772,47,24.409098
86.617552,18,24.43925
79.890352,17,24.469046
103.423883,21,24.507314
75.578137,16,24.53428
85.830042,18,24.566483
142.73236,31,24.622015
219.969612,47,24.709449
79.514776,17,24.737968
81.167128,17,24.767952
80.16014,17,24.800593
99.27111,21,24.838301
85.122314,18,25.147166
139.757278,29,25.203924
97.240384,20,25.24396
78.870312,17,25.275951
81.355418,17,25.306103
125.58095,27,25.354929
143.682897,32,25.408715
81.383792,17,25.437846
188.508965,40,25.513095
116.221105,25,25.557091
110.461037,24,25.603895
134.941975,28,25.660235
75.89865,16,25.688352
142.22598,29,25.744101
113.33516,23,25.792962
97.837323,20,25.834793
101.745879,21,25.880951
94.93382,20,25.923157
154.002762,31,25.994251
136.912122,30,26.055503
139.972371,30,26.113535
145.069536,33,26.177094
87.048299,18,26.210631
76.387054,16,26.241641
188.967702,41,26.314535
127.562138,29,26.365906
86.134562,18,26.396072
80.452722,17,26.424903
135.678036,28,26.47435
98.076452,21,26.509245
110.471323,23,26.554694
125.122639,29,26.609101
89.141364,20,26.644049
123.304525,26,26.692848
84.674659,18,26.723232
97.051523,20,26.758758
148.324185,32,26.817889
139.780816,30,26.870033
76.328724,16,26.897709
99.749708,21,26.933266
86.600137,18,26.965799
155.285881,33,27.02347
81.056126,17,27.329774
209.289246,49,27.425838
87.201435,18,27.459897
85.514539,18,27.491516
81.350145,17,27.5195
75.367687,16,27.54594
107.505252,22,27.586262
78.75432,17,27.619758
86.873572,18,27.655066
225.496708,48,27.748104
85.964972,18,27.783293
81.260954,17,27.813373
90.723722,19,27.84606
96.344052,23,27.885366
161.20031,34,27.949544
96.847252,20,27.995095
76.528289,16,28.025277
87.065497,18,28.063552
124.179961,26,28.118392
81.584886,17,28.156975
99.404548,21,28.203778
81.105601,17,28.243675
162.314272,33,28.314862
169.731896,35,28.379762
128.158464,29,28.438208
76.352596,16,28.466449
150.170914,35,28.529011
92.728607,19,28.559518
94.58874,22,28.599499
85.782489,18,28.635095
99.400347,21,28.675508
84.298058,18,28.709542
176.751438,40,28.789125
80.668435,17,28.81891
105.826908,22,28.858134
87.428586,18,28.88847
80.668515,17,28.918744
92.684735,19,28.952662
115.878686,25,28.99915
100.312636,21,29.034277
148.045301,30,29.085888
87.560687,18,29.117652
125.61675,26,29.164035
106.734447,24,29.205439
76.699242,16,29.233104
180.921425,40,29.615865
99.862722,21,29.65408
255.162504,53,29.755137
122.980668,26,29.80561
172.140519,40,29.884084
180.955593,37,29.949522
